seed,domain,arm,updates
seed31,Drishti_GS,J_MSE,2100
seed31,Drishti_GS,J_SCE,2100
seed31,Drishti_GS,SUP,2100
seed31,Drishti_GS,T_MSE,2100
seed31,Drishti_GS,T_SCE,2100
seed31,RIM_ONE_r3,J_MSE,3200
seed31,RIM_ONE_r3,J_SCE,3200
seed31,RIM_ONE_r3,SUP,3200
seed31,RIM_ONE_r3,T_MSE,3200
seed31,RIM_ONE_r3,T_SCE,3200
seed32,Drishti_GS,J_MSE,2100
seed32,Drishti_GS,J_SCE,2100
seed32,Drishti_GS,SUP,2100
seed32,Drishti_GS,T_MSE,2100
seed32,Drishti_GS,T_SCE,2100
seed32,RIM_ONE_r3,J_MSE,3200
seed32,RIM_ONE_r3,J_SCE,3200
seed32,RIM_ONE_r3,SUP,3200
seed32,RIM_ONE_r3,T_MSE,3200
seed32,RIM_ONE_r3,T_SCE,3200
seed33,Drishti_GS,J_MSE,2100
seed33,Drishti_GS,J_SCE,2100
seed33,Drishti_GS,SUP,2100
seed33,Drishti_GS,T_MSE,2100
seed33,Drishti_GS,T_SCE,2100
seed33,RIM_ONE_r3,J_MSE,3200
seed33,RIM_ONE_r3,J_SCE,3200
seed33,RIM_ONE_r3,SUP,3200
seed33,RIM_ONE_r3,T_MSE,3200
seed33,RIM_ONE_r3,T_SCE,3200
