epoch,domain,arm,seed,head_mode,model,n_cases,n_evaluable,background_dice,rim_dice,cup_dice,macro_fg_dice,evaluable_only_background_dice,evaluable_only_rim_dice,evaluable_only_cup_dice,evaluable_only_macro_fg_dice
20,Drishti_GS,J_MSE,31,raw_linear3_same_geometry,student,25,25,0.986430313714402,0.6634176392845282,0.764738083127008,0.714077861205768,0.986430313714402,0.6634176392845282,0.764738083127008,0.714077861205768
20,Drishti_GS,J_MSE,31,raw_linear3_same_geometry,ema,25,25,0.9863733814368242,0.6635006687906213,0.7516619827030433,0.7075813257468323,0.9863733814368242,0.6635006687906213,0.7516619827030433,0.7075813257468323
40,Drishti_GS,J_MSE,31,raw_linear3_same_geometry,student,25,25,0.9864839317804348,0.6682165323681771,0.7616739720354125,0.7149452522017948,0.9864839317804348,0.6682165323681771,0.7616739720354125,0.7149452522017948
40,Drishti_GS,J_MSE,31,raw_linear3_same_geometry,ema,25,25,0.9872937930590766,0.6746681468438095,0.7642058947644961,0.7194370208041527,0.9872937930590766,0.6746681468438095,0.7642058947644961,0.7194370208041527
60,Drishti_GS,J_MSE,31,raw_linear3_same_geometry,student,25,25,0.9856311131896188,0.668628433183691,0.7595410789495964,0.7140847560666437,0.9856311131896188,0.668628433183691,0.7595410789495964,0.7140847560666437
60,Drishti_GS,J_MSE,31,raw_linear3_same_geometry,ema,25,25,0.986856601618534,0.6766786182157841,0.7659280878893991,0.7213033530525916,0.986856601618534,0.6766786182157841,0.7659280878893991,0.7213033530525916
80,Drishti_GS,J_MSE,31,raw_linear3_same_geometry,student,25,25,0.9854422775233806,0.6668907937822871,0.7580494533639343,0.7124701235731107,0.9854422775233806,0.6668907937822871,0.7580494533639343,0.7124701235731107
80,Drishti_GS,J_MSE,31,raw_linear3_same_geometry,ema,25,25,0.9858114385269807,0.6720851286093819,0.7606468638800891,0.7163659962447355,0.9858114385269807,0.6720851286093819,0.7606468638800891,0.7163659962447355
100,Drishti_GS,J_MSE,31,raw_linear3_same_geometry,student,25,25,0.9845044263325643,0.663768168058407,0.7499771907776445,0.7068726794180259,0.9845044263325643,0.663768168058407,0.7499771907776445,0.7068726794180259
100,Drishti_GS,J_MSE,31,raw_linear3_same_geometry,ema,25,25,0.9846667239025007,0.666267279797466,0.7520827262434906,0.7091750030204785,0.9846667239025007,0.666267279797466,0.7520827262434906,0.7091750030204785
20,Drishti_GS,J_SCE,31,raw_linear3_same_geometry,student,25,25,0.986430313714402,0.6634176392845282,0.764738083127008,0.714077861205768,0.986430313714402,0.6634176392845282,0.764738083127008,0.714077861205768
20,Drishti_GS,J_SCE,31,raw_linear3_same_geometry,ema,25,25,0.9863733814368242,0.6635006687906213,0.7516619827030433,0.7075813257468323,0.9863733814368242,0.6635006687906213,0.7516619827030433,0.7075813257468323
40,Drishti_GS,J_SCE,31,raw_linear3_same_geometry,student,25,25,0.9876249557102206,0.6741715378579514,0.7669826939355427,0.7205771158967471,0.9876249557102206,0.6741715378579514,0.7669826939355427,0.7205771158967471
40,Drishti_GS,J_SCE,31,raw_linear3_same_geometry,ema,25,25,0.9871917688273026,0.6785580918241209,0.7652380621044946,0.7218980769643077,0.9871917688273026,0.6785580918241209,0.7652380621044946,0.7218980769643077
60,Drishti_GS,J_SCE,31,raw_linear3_same_geometry,student,25,25,0.9851673051010148,0.6791333034373853,0.7675424091133287,0.7233378562753571,0.9851673051010148,0.6791333034373853,0.7675424091133287,0.7233378562753571
60,Drishti_GS,J_SCE,31,raw_linear3_same_geometry,ema,25,25,0.9857894626730774,0.6749232749126189,0.7670919892015722,0.7210076320570954,0.9857894626730774,0.6749232749126189,0.7670919892015722,0.7210076320570954
80,Drishti_GS,J_SCE,31,raw_linear3_same_geometry,student,25,25,0.9843859083124066,0.6600143472522649,0.7604149568710207,0.7102146520616428,0.9843859083124066,0.6600143472522649,0.7604149568710207,0.7102146520616428
80,Drishti_GS,J_SCE,31,raw_linear3_same_geometry,ema,25,25,0.9844369129602477,0.6710897590457886,0.7620768873304129,0.7165833231881007,0.9844369129602477,0.6710897590457886,0.7620768873304129,0.7165833231881007
100,Drishti_GS,J_SCE,31,raw_linear3_same_geometry,student,25,25,0.9829770422576768,0.6589519057810334,0.7521636470625637,0.7055577764217985,0.9829770422576768,0.6589519057810334,0.7521636470625637,0.7055577764217985
100,Drishti_GS,J_SCE,31,raw_linear3_same_geometry,ema,25,25,0.9832086022239744,0.6617877498630169,0.7541495401471306,0.7079686450050737,0.9832086022239744,0.6617877498630169,0.7541495401471306,0.7079686450050737
20,Drishti_GS,SUP,31,raw_linear3_same_geometry,student,25,25,0.986430313714402,0.6634176392845282,0.764738083127008,0.714077861205768,0.986430313714402,0.6634176392845282,0.764738083127008,0.714077861205768
20,Drishti_GS,SUP,31,raw_linear3_same_geometry,ema,25,25,0.9863733814368242,0.6635006687906213,0.7516619827030433,0.7075813257468323,0.9863733814368242,0.6635006687906213,0.7516619827030433,0.7075813257468323
40,Drishti_GS,SUP,31,raw_linear3_same_geometry,student,25,25,0.9865377542560867,0.7025054344239297,0.7800175595310123,0.7412614969774711,0.9865377542560867,0.7025054344239297,0.7800175595310123,0.7412614969774711
40,Drishti_GS,SUP,31,raw_linear3_same_geometry,ema,25,25,0.9869083691300875,0.6718970659898266,0.7653328433659358,0.7186149546778811,0.9869083691300875,0.6718970659898266,0.7653328433659358,0.7186149546778811
60,Drishti_GS,SUP,31,raw_linear3_same_geometry,student,25,25,0.9852401897715088,0.6817432388812381,0.7511662792450851,0.7164547590631615,0.9852401897715088,0.6817432388812381,0.7511662792450851,0.7164547590631615
60,Drishti_GS,SUP,31,raw_linear3_same_geometry,ema,25,25,0.9863643577418858,0.6888236212644001,0.7611283168892465,0.7249759690768233,0.9863643577418858,0.6888236212644001,0.7611283168892465,0.7249759690768233
80,Drishti_GS,SUP,31,raw_linear3_same_geometry,student,25,25,0.9850533987247024,0.6797000815987445,0.7499045806638671,0.7148023311313058,0.9850533987247024,0.6797000815987445,0.7499045806638671,0.7148023311313058
80,Drishti_GS,SUP,31,raw_linear3_same_geometry,ema,25,25,0.9850803622689142,0.6860580782612916,0.7507466457574812,0.7184023620093862,0.9850803622689142,0.6860580782612916,0.7507466457574812,0.7184023620093862
100,Drishti_GS,SUP,31,raw_linear3_same_geometry,student,25,25,0.984596770702296,0.6809909026909942,0.7439032715683104,0.7124470871296523,0.984596770702296,0.6809909026909942,0.7439032715683104,0.7124470871296523
100,Drishti_GS,SUP,31,raw_linear3_same_geometry,ema,25,25,0.9846649014047978,0.6825549741861395,0.744514630936165,0.7135348025611523,0.9846649014047978,0.6825549741861395,0.744514630936165,0.7135348025611523
20,Drishti_GS,T_MSE,31,raw_linear3_same_geometry,student,25,25,0.986430313714402,0.6634176392845282,0.764738083127008,0.714077861205768,0.986430313714402,0.6634176392845282,0.764738083127008,0.714077861205768
20,Drishti_GS,T_MSE,31,raw_linear3_same_geometry,ema,25,25,0.9863733814368242,0.6635006687906213,0.7516619827030433,0.7075813257468323,0.9863733814368242,0.6635006687906213,0.7516619827030433,0.7075813257468323
40,Drishti_GS,T_MSE,31,raw_linear3_same_geometry,student,25,25,0.9859487991525023,0.6676513182581825,0.7687296057250568,0.7181904619916196,0.9859487991525023,0.6676513182581825,0.7687296057250568,0.7181904619916196
