seed,domain,metric,effect,value,mean,sample_SD,minimum,maximum,values
33,RIM_ONE_r3,rim_dice,mask_effect_MSE,-0.0008574235359725124,,,,,
33,RIM_ONE_r3,rim_dice,mask_effect_SCE,-0.010570592531666256,,,,,
33,RIM_ONE_r3,rim_dice,loss_effect_joint,0.003690928020047668,,,,,
33,RIM_ONE_r3,rim_dice,loss_effect_teacher,-0.006022240975646076,,,,,
33,RIM_ONE_r3,rim_dice,interaction,-0.009713168995693744,,,,,
33,RIM_ONE_r3,cup_dice,mask_effect_MSE,0.016634051195348554,,,,,
33,RIM_ONE_r3,cup_dice,mask_effect_SCE,0.004652466382885523,,,,,
33,RIM_ONE_r3,cup_dice,loss_effect_joint,0.019958427269009427,,,,,
33,RIM_ONE_r3,cup_dice,loss_effect_teacher,0.007976842456546396,,,,,
33,RIM_ONE_r3,cup_dice,interaction,-0.01198158481246303,,,,,
33,Drishti_GS,macro_fg_dice,mask_effect_MSE,0.0003301542586214845,,,,,
33,Drishti_GS,macro_fg_dice,mask_effect_SCE,-0.007511857357135998,,,,,
33,Drishti_GS,macro_fg_dice,loss_effect_joint,-0.012852602447653294,,,,,
33,Drishti_GS,macro_fg_dice,loss_effect_teacher,-0.020694614063410777,,,,,
33,Drishti_GS,macro_fg_dice,interaction,-0.007842011615757483,,,,,
33,Drishti_GS,rim_dice,mask_effect_MSE,0.0026290024780373233,,,,,
33,Drishti_GS,rim_dice,mask_effect_SCE,-0.003740960866300269,,,,,
33,Drishti_GS,rim_dice,loss_effect_joint,-0.007313231981369017,,,,,
33,Drishti_GS,rim_dice,loss_effect_teacher,-0.01368319532570661,,,,,
33,Drishti_GS,rim_dice,interaction,-0.0063699633443375925,,,,,
33,Drishti_GS,cup_dice,mask_effect_MSE,-0.0019686939607944653,,,,,
33,Drishti_GS,cup_dice,mask_effect_SCE,-0.01128275384797206,,,,,
33,Drishti_GS,cup_dice,loss_effect_joint,-0.018391972913937682,,,,,
33,Drishti_GS,cup_dice,loss_effect_teacher,-0.027706032801115277,,,,,
33,Drishti_GS,cup_dice,interaction,-0.009314059887177595,,,,,
all,RIM_ONE_r3,macro_fg_dice,mask_effect_MSE,,0.0026449265098644017,0.008584828530448587,-0.007262331504161557,0.00788831382968802,"[0.0073087972040667415, -0.007262331504161557, 0.00788831382968802]"
all,RIM_ONE_r3,macro_fg_dice,mask_effect_SCE,,0.0020246906780135854,0.004576873454318313,-0.0029590630743904223,0.006039531611044535,"[0.0029936034973866432, 0.006039531611044535, -0.0029590630743904223]"
all,RIM_ONE_r3,macro_fg_dice,loss_effect_joint,,0.00655415980044094,0.0046018086616306025,0.0033333462698216243,0.011824677644528547,"[0.004504455486972647, 0.0033333462698216243, 0.011824677644528547]"
all,RIM_ONE_r3,macro_fg_dice,loss_effect_teacher,,0.005933923968590123,0.009275957283414283,0.00018926178029254892,0.016635209385027716,"[0.00018926178029254892, 0.016635209385027716, 0.0009773007404501044]"
all,RIM_ONE_r3,macro_fg_dice,interaction,,-0.0006202358318508164,0.012491436412591853,-0.010847376904078443,0.013301863115206092,"[-0.004315193706680098, 0.013301863115206092, -0.010847376904078443]"
all,RIM_ONE_r3,rim_dice,mask_effect_MSE,,-0.0003025610489455118,0.00702195546074851,-0.007030624378130179,0.006980364767266156,"[0.006980364767266156, -0.007030624378130179, -0.0008574235359725124]"
all,RIM_ONE_r3,rim_dice,mask_effect_SCE,,-0.0009066332157174894,0.009588795196802648,-0.010570592531666256,0.008605187367009659,"[-0.000754494482495871, 0.008605187367009659, -0.010570592531666256]"
all,RIM_ONE_r3,rim_dice,loss_effect_joint,,0.004703421580997569,0.006676792789928995,-0.0014092971582612135,0.011828633881206252,"[0.011828633881206252, -0.0014092971582612135, 0.003690928020047668]"
all,RIM_ONE_r3,rim_dice,loss_effect_teacher,,0.004099349414225591,0.010124378932377583,-0.006022240975646076,0.014226514586878625,"[0.004093774631444225, 0.014226514586878625, -0.006022240975646076]"
all,RIM_ONE_r3,rim_dice,interaction,,-0.0006040721667719776,0.014098893554708159,-0.009713168995693744,0.015635811745139838,"[-0.007734859249762027, 0.015635811745139838, -0.009713168995693744]"
all,RIM_ONE_r3,cup_dice,mask_effect_MSE,,0.0055924140686742785,0.012193323283689387,-0.007494038630192934,0.016634051195348554,"[0.007637229640867216, -0.007494038630192934, 0.016634051195348554]"
all,RIM_ONE_r3,cup_dice,mask_effect_SCE,,0.004956014571744845,0.0016549251347054287,0.0034738758550796334,0.0067417014772693795,"[0.0067417014772693795, 0.0034738758550796334, 0.004652466382885523]"
all,RIM_ONE_r3,cup_dice,loss_effect_joint,,0.0084048980198842,0.011392636519980124,-0.0028197229072611796,0.019958427269009427,"[-0.0028197229072611796, 0.008075989697904351, 0.019958427269009427]"
all,RIM_ONE_r3,cup_dice,loss_effect_teacher,,0.007768498522954766,0.011381007967896612,-0.003715251070859016,0.01904390418317692,"[-0.003715251070859016, 0.01904390418317692, 0.007976842456546396]"
all,RIM_ONE_r3,cup_dice,interaction,,-0.0006363994969294332,0.011476943855121392,-0.01198158481246303,0.010967914485272567,"[-0.0008955281635978363, 0.010967914485272567, -0.01198158481246303]"
all,Drishti_GS,macro_fg_dice,mask_effect_MSE,,-0.004423930915582057,0.004221765941167039,-0.007734950632656279,0.0003301542586214845,"[-0.007734950632656279, -0.005866996372711375, 0.0003301542586214845]"
all,Drishti_GS,macro_fg_dice,mask_effect_SCE,,-0.0016539848132881934,0.005855586753689882,-0.007511857357135998,0.004199313470257038,"[-0.0016494105529856196, 0.004199313470257038, -0.007511857357135998]"
all,Drishti_GS,macro_fg_dice,loss_effect_joint,,-0.0054627002602862795,0.006415844481294921,-0.012852602447653294,-0.001314902996227385,"[-0.001314902996227385, -0.0022205953369781595, -0.012852602447653294]"
all,Drishti_GS,macro_fg_dice,loss_effect_teacher,,-0.0026927541579924164,0.015665702835474582,-0.020694614063410777,0.007845714505990253,"[0.004770637083443274, 0.007845714505990253, -0.020694614063410777]"
