task_id,seed,order,arm,domain,role,n_patients,n_evaluable,background_dice,rim_dice,cup_dice,macro_fg_dice
O2_s62_F_FULL,62,O2,F_FULL,Drishti_GS,old,25,25,0.9619251170863318,0.4076018054289649,0.3891557463060943,0.3983787758675296
O2_s62_F_FULL,62,O2,F_FULL,RIM_ONE_r3,current,40,40,0.9879806684177084,0.7335142104878016,0.6537936273708389,0.6936539189293203
O2_s62_F_CONV,62,O2,F_CONV,Drishti_GS,old,25,25,0.9629896874757535,0.38192387410502915,0.4321840830888325,0.4070539785969309
O2_s62_F_CONV,62,O2,F_CONV,RIM_ONE_r3,current,40,40,0.9901827532263061,0.7442245862098987,0.6634086830610206,0.7038166346354597
O2_s62_STATIC_SOURCE,62,O2,STATIC_SOURCE,RIM_ONE_r3,current,40,40,0.9688549864618551,0.3018931402038553,0.47201220713037306,0.38695267366711417
O2_s62_STATIC_SOURCE,62,O2,STATIC_SOURCE,Drishti_GS,old,25,25,0.9822998674965064,0.651530646158902,0.7189161741429807,0.6852234101509416
O2_s62_DPR_U,62,O2,DPR_U,Drishti_GS,old,25,25,0.96433169856756,0.4164476217934262,0.4979462308692159,0.45719692633132103
O2_s62_DPR_U,62,O2,DPR_U,RIM_ONE_r3,current,40,40,0.9902209112377145,0.7491593053948835,0.6743919933093991,0.7117756493521414
O2_s62_RESPONSE_U,62,O2,RESPONSE_U,Drishti_GS,old,25,25,0.9612082883435802,0.36059117305638433,0.47307762278968596,0.4168343979230351
O2_s62_RESPONSE_U,62,O2,RESPONSE_U,RIM_ONE_r3,current,40,40,0.9897690549927927,0.7423822482883511,0.6772465226403297,0.7098143854643404
O2_s62_DPR_L,62,O2,DPR_L,Drishti_GS,old,25,25,0.964933057996503,0.4239394656025137,0.47796665131689603,0.45095305845970485
O2_s62_DPR_L,62,O2,DPR_L,RIM_ONE_r3,current,40,40,0.9894654938030711,0.7424563779852478,0.6645210534734556,0.7034887157293517
O1_s63_SRC_CE,63,O1,SOURCE_STAGE_REFERENCE,RIM_ONE_r3,source,40,40,0.9881517883445639,0.7231632762247024,0.6465945539123543,0.6848789150685283
O1_s63_F_FULL,63,O1,F_FULL,RIM_ONE_r3,old,40,40,0.97129426849207,0.5587858051372026,0.5332771972643273,0.5460315012007649
O1_s63_F_FULL,63,O1,F_FULL,Drishti_GS,current,25,25,0.981033205288872,0.7047283624078582,0.7620849992752633,0.7334066808415608
O1_s63_F_CONV,63,O1,F_CONV,RIM_ONE_r3,old,40,40,0.9685158320619973,0.4942741473566602,0.5314422318474956,0.5128581896020779
O1_s63_F_CONV,63,O1,F_CONV,Drishti_GS,current,25,25,0.98676226116547,0.7023754786773773,0.7647312334963519,0.7335533560868646
O1_s63_STATIC_SOURCE,63,O1,STATIC_SOURCE,Drishti_GS,current,25,25,0.9618283036842211,0.3506009993967057,0.49873930161269137,0.42467015050469853
O1_s63_STATIC_SOURCE,63,O1,STATIC_SOURCE,RIM_ONE_r3,old,40,40,0.9881517883445639,0.7231632762247024,0.6465945539123543,0.6848789150685283
O1_s63_DPR_U,63,O1,DPR_U,RIM_ONE_r3,old,40,40,0.9685820762051502,0.5070756074102055,0.5433454251253789,0.5252105162677921
O1_s63_DPR_U,63,O1,DPR_U,Drishti_GS,current,25,25,0.9854233024960314,0.6947751792988526,0.7606843769432455,0.7277297781210491
O1_s63_RESPONSE_U,63,O1,RESPONSE_U,RIM_ONE_r3,old,40,40,0.9679202985536237,0.5023442544719346,0.5281691991505391,0.5152567268112369
O1_s63_RESPONSE_U,63,O1,RESPONSE_U,Drishti_GS,current,25,25,0.9855427565818211,0.6989068370223062,0.7648261146225436,0.7318664758224247
O1_s63_DPR_L,63,O1,DPR_L,RIM_ONE_r3,old,40,40,0.9675019819050414,0.4961882997482279,0.5351181786526382,0.5156532392004329
O1_s63_DPR_L,63,O1,DPR_L,Drishti_GS,current,25,25,0.9864817093912506,0.7008333675526862,0.7675339806991824,0.7341836741259344
O2_s63_SRC_CE,63,O2,SOURCE_STAGE_REFERENCE,Drishti_GS,source,25,25,0.9808198078250472,0.578734016718385,0.6931475476371536,0.6359407821777693
O2_s63_F_FULL,63,O2,F_FULL,Drishti_GS,old,25,25,0.9647770157405263,0.42975202094847087,0.42643782906001837,0.4280949250042447
O2_s63_F_FULL,63,O2,F_FULL,RIM_ONE_r3,current,40,40,0.9883778854968917,0.7424819752569652,0.6755174226037026,0.7089996989303339
O2_s63_F_CONV,63,O2,F_CONV,Drishti_GS,old,25,25,0.9693312401285376,0.4548875065474844,0.4669539860679926,0.46092074630773844
O2_s63_F_CONV,63,O2,F_CONV,RIM_ONE_r3,current,40,40,0.9883589291088419,0.7299427162752543,0.6815050832825534,0.7057238997789039
O2_s63_STATIC_SOURCE,63,O2,STATIC_SOURCE,RIM_ONE_r3,current,40,40,0.9608498788839348,0.28154445389947913,0.434212943318402,0.35787869860894056
O2_s63_STATIC_SOURCE,63,O2,STATIC_SOURCE,Drishti_GS,old,25,25,0.9808198078250472,0.578734016718385,0.6931475476371536,0.6359407821777693
O2_s63_DPR_U,63,O2,DPR_U,Drishti_GS,old,25,25,0.96600302243361,0.46686926425025627,0.5066421810342847,0.4867557226422705
O2_s63_DPR_U,63,O2,DPR_U,RIM_ONE_r3,current,40,40,0.9885154454711722,0.7172614946122222,0.6497931474200063,0.6835273210161142
O2_s63_RESPONSE_U,63,O2,RESPONSE_U,Drishti_GS,old,25,25,0.9652317418568701,0.42197769212997555,0.5335456047986613,0.47776164846431846
O2_s63_RESPONSE_U,63,O2,RESPONSE_U,RIM_ONE_r3,current,40,40,0.9889594872351879,0.7305465612947021,0.6598127271796119,0.6951796442371571
