arm,baseline,order,seed,domain,role,metric,delta
DPR_FINITE_U,DPR_FINITE_SIGN_U,O1,62,Drishti_GS,current,rim_dice,-0.005854452506648289
DPR_FINITE_U,DPR_FINITE_SIGN_U,O1,62,Drishti_GS,current,cup_dice,-0.01259233748820554
DPR_FINITE_U,DPR_FINITE_SIGN_U,O1,63,RIM_ONE_r3,old,rim_dice,-0.0021434672327055315
DPR_FINITE_U,DPR_FINITE_SIGN_U,O1,63,RIM_ONE_r3,old,cup_dice,-0.020542664115963505
DPR_FINITE_U,DPR_FINITE_SIGN_U,O1,63,Drishti_GS,current,rim_dice,-0.0064549903723429836
DPR_FINITE_U,DPR_FINITE_SIGN_U,O1,63,Drishti_GS,current,cup_dice,-0.008801938153774391
DPR_FINITE_U,DPR_FINITE_SIGN_U,O2,61,RIM_ONE_r3,current,rim_dice,0.011488405821511116
DPR_FINITE_U,DPR_FINITE_SIGN_U,O2,61,RIM_ONE_r3,current,cup_dice,-0.0022189308200627478
DPR_FINITE_U,DPR_FINITE_SIGN_U,O2,61,Drishti_GS,old,rim_dice,-0.027889441277376026
DPR_FINITE_U,DPR_FINITE_SIGN_U,O2,61,Drishti_GS,old,cup_dice,0.05770292181178416
DPR_FINITE_U,DPR_FINITE_SIGN_U,O2,62,RIM_ONE_r3,current,rim_dice,-0.015260917540945274
DPR_FINITE_U,DPR_FINITE_SIGN_U,O2,62,RIM_ONE_r3,current,cup_dice,0.004993121752663865
DPR_FINITE_U,DPR_FINITE_SIGN_U,O2,62,Drishti_GS,old,rim_dice,-0.10545524520340649
DPR_FINITE_U,DPR_FINITE_SIGN_U,O2,62,Drishti_GS,old,cup_dice,-0.04561233191090647
DPR_FINITE_U,DPR_FINITE_SIGN_U,O2,63,RIM_ONE_r3,current,rim_dice,-0.003411034524263834
DPR_FINITE_U,DPR_FINITE_SIGN_U,O2,63,RIM_ONE_r3,current,cup_dice,-0.03296779712636755
DPR_FINITE_U,DPR_FINITE_SIGN_U,O2,63,Drishti_GS,old,rim_dice,-0.044077205445329615
DPR_FINITE_U,DPR_FINITE_SIGN_U,O2,63,Drishti_GS,old,cup_dice,-0.09364143330591346
DPR_FINITE_U,DPR_U,O1,61,RIM_ONE_r3,old,rim_dice,-0.007143706693912066
DPR_FINITE_U,DPR_U,O1,61,RIM_ONE_r3,old,cup_dice,-0.00816977333129032
DPR_FINITE_U,DPR_U,O1,61,Drishti_GS,current,rim_dice,-0.011038234818603443
DPR_FINITE_U,DPR_U,O1,61,Drishti_GS,current,cup_dice,-0.0058245324494917705
DPR_FINITE_U,DPR_U,O1,62,RIM_ONE_r3,old,rim_dice,-0.0029347959299031445
DPR_FINITE_U,DPR_U,O1,62,RIM_ONE_r3,old,cup_dice,-0.0024420777827973694
DPR_FINITE_U,DPR_U,O1,62,Drishti_GS,current,rim_dice,-0.013178296648570287
DPR_FINITE_U,DPR_U,O1,62,Drishti_GS,current,cup_dice,-0.008243492679619657
DPR_FINITE_U,DPR_U,O1,63,RIM_ONE_r3,old,rim_dice,-0.028267596175164444
DPR_FINITE_U,DPR_U,O1,63,RIM_ONE_r3,old,cup_dice,-0.033322333022379524
DPR_FINITE_U,DPR_U,O1,63,Drishti_GS,current,rim_dice,-0.002706591680671888
DPR_FINITE_U,DPR_U,O1,63,Drishti_GS,current,cup_dice,-0.0022909660232917073
DPR_FINITE_U,DPR_U,O2,61,RIM_ONE_r3,current,rim_dice,0.005006385134416758
DPR_FINITE_U,DPR_U,O2,61,RIM_ONE_r3,current,cup_dice,-0.008783890488122892
DPR_FINITE_U,DPR_U,O2,61,Drishti_GS,old,rim_dice,-0.031956878991518944
DPR_FINITE_U,DPR_U,O2,61,Drishti_GS,old,cup_dice,0.03846765898923221
DPR_FINITE_U,DPR_U,O2,62,RIM_ONE_r3,current,rim_dice,-0.015759224284861206
DPR_FINITE_U,DPR_U,O2,62,RIM_ONE_r3,current,cup_dice,-0.0048124855913996845
DPR_FINITE_U,DPR_U,O2,62,Drishti_GS,old,rim_dice,-0.05239421868537475
DPR_FINITE_U,DPR_U,O2,62,Drishti_GS,old,cup_dice,-0.01576132926646434
DPR_FINITE_U,DPR_U,O2,63,RIM_ONE_r3,current,rim_dice,-0.008203409488028557
DPR_FINITE_U,DPR_U,O2,63,RIM_ONE_r3,current,cup_dice,-0.008271560084904261
DPR_FINITE_U,DPR_U,O2,63,Drishti_GS,old,rim_dice,-0.038412393347767526
DPR_FINITE_U,DPR_U,O2,63,Drishti_GS,old,cup_dice,-0.06432016634598736
DPR_FINITE_U,RESPONSE_U,O1,61,RIM_ONE_r3,old,rim_dice,-0.006924940623146969
DPR_FINITE_U,RESPONSE_U,O1,61,RIM_ONE_r3,old,cup_dice,-0.00846641217739219
DPR_FINITE_U,RESPONSE_U,O1,61,Drishti_GS,current,rim_dice,-0.017203064171680937
DPR_FINITE_U,RESPONSE_U,O1,61,Drishti_GS,current,cup_dice,-0.014420692031650195
DPR_FINITE_U,RESPONSE_U,O1,62,RIM_ONE_r3,old,rim_dice,-0.0012397021171674516
DPR_FINITE_U,RESPONSE_U,O1,62,RIM_ONE_r3,old,cup_dice,-0.0068971899310592555
DPR_FINITE_U,RESPONSE_U,O1,62,Drishti_GS,current,rim_dice,-0.008363932201276847
DPR_FINITE_U,RESPONSE_U,O1,62,Drishti_GS,current,cup_dice,-0.008329788291088547
DPR_FINITE_U,RESPONSE_U,O1,63,RIM_ONE_r3,old,rim_dice,-0.023536243236893573
DPR_FINITE_U,RESPONSE_U,O1,63,RIM_ONE_r3,old,cup_dice,-0.018146107047539717
DPR_FINITE_U,RESPONSE_U,O1,63,Drishti_GS,current,rim_dice,-0.006838249404125474
DPR_FINITE_U,RESPONSE_U,O1,63,Drishti_GS,current,cup_dice,-0.006432703702589748
DPR_FINITE_U,RESPONSE_U,O2,61,RIM_ONE_r3,current,rim_dice,0.004155914782031922
DPR_FINITE_U,RESPONSE_U,O2,61,RIM_ONE_r3,current,cup_dice,-0.00046713507215023764
DPR_FINITE_U,RESPONSE_U,O2,61,Drishti_GS,old,rim_dice,-0.054447723570056894
DPR_FINITE_U,RESPONSE_U,O2,61,Drishti_GS,old,cup_dice,0.028010052722258094
DPR_FINITE_U,RESPONSE_U,O2,62,RIM_ONE_r3,current,rim_dice,-0.008982167178328782
DPR_FINITE_U,RESPONSE_U,O2,62,RIM_ONE_r3,current,cup_dice,-0.00766701492233024
DPR_FINITE_U,RESPONSE_U,O2,62,Drishti_GS,old,rim_dice,0.0034622300516671256
DPR_FINITE_U,RESPONSE_U,O2,62,Drishti_GS,old,cup_dice,0.009107278813065611
DPR_FINITE_U,RESPONSE_U,O2,63,RIM_ONE_r3,current,rim_dice,-0.02148847617050842
DPR_FINITE_U,RESPONSE_U,O2,63,RIM_ONE_r3,current,cup_dice,-0.018291139844509918
DPR_FINITE_U,RESPONSE_U,O2,63,Drishti_GS,old,rim_dice,0.006479178772513194
DPR_FINITE_U,RESPONSE_U,O2,63,Drishti_GS,old,cup_dice,-0.09122359011036396
DPR_FINITE_U,DPR_L,O1,61,RIM_ONE_r3,old,rim_dice,-0.009211103833421053
DPR_FINITE_U,DPR_L,O1,61,RIM_ONE_r3,old,cup_dice,-0.007542899373405021
DPR_FINITE_U,DPR_L,O1,61,Drishti_GS,current,rim_dice,-0.021511367905729273
DPR_FINITE_U,DPR_L,O1,61,Drishti_GS,current,cup_dice,-0.006088816094888094
DPR_FINITE_U,DPR_L,O1,62,RIM_ONE_r3,old,rim_dice,-0.010267236072510955
DPR_FINITE_U,DPR_L,O1,62,RIM_ONE_r3,old,cup_dice,-0.01080633050237445
DPR_FINITE_U,DPR_L,O1,62,Drishti_GS,current,rim_dice,-0.0077027341237323466
DPR_FINITE_U,DPR_L,O1,62,Drishti_GS,current,cup_dice,-0.0139199978849458
