task_id,source_task_id,seed,order,source_domain,domain,arm,steps_per_epoch,updates,actual_diagnostic_positions,status,actual_updates,training_source,student_hash,source_student_hash
O1_s61_DPR_FINITE_U,O1_s61_SRC_CE,61,O1,RIM_ONE_r3,Drishti_GS,DPR_FINITE_U,21,2100,"[820, 1320, 1820]",COMPLETE,2100,91cb00bf2ac7458d82895256fbf71d91af84529d,9a85770e4850e174f0d4679322208320f642aeb0740bfca9c069f4d67cb2230d,4e9310c073e7b8b5ce34d6cad01a73acb99e80553502bce03f12dd4c630e421a
O1_s61_DPR_FINITE_SIGN_U,O1_s61_SRC_CE,61,O1,RIM_ONE_r3,Drishti_GS,DPR_FINITE_SIGN_U,21,2100,"[820, 1320, 1820]",COMPLETE,2100,91cb00bf2ac7458d82895256fbf71d91af84529d,f15d3a54f5b06101d3634e9ffac5006ec3f0d215cc0b68abae420f5a70eb1f9f,4e9310c073e7b8b5ce34d6cad01a73acb99e80553502bce03f12dd4c630e421a
O2_s61_DPR_FINITE_U,O2_s61_SRC_CE,61,O2,Drishti_GS,RIM_ONE_r3,DPR_FINITE_U,32,3200,"[1249, 1749, 2249, 2749]",COMPLETE,3200,91cb00bf2ac7458d82895256fbf71d91af84529d,6aeb9f17b6340cc9d0ac488f98dc0c700be88eb2295aa189b79b8faf202d3033,072c139af34818fecefb4bb96b0cdb062d470ce24ea39d53ee2537ab7f1ec3aa
O2_s61_DPR_FINITE_SIGN_U,O2_s61_SRC_CE,61,O2,Drishti_GS,RIM_ONE_r3,DPR_FINITE_SIGN_U,32,3200,"[1249, 1749, 2249, 2749]",COMPLETE,3200,91cb00bf2ac7458d82895256fbf71d91af84529d,ffce8ef54430a5822bae5decc0adec1caf0d2efd9bcb1f2b4183989f5b09407f,072c139af34818fecefb4bb96b0cdb062d470ce24ea39d53ee2537ab7f1ec3aa
O1_s62_DPR_FINITE_U,O1_s62_SRC_CE,62,O1,RIM_ONE_r3,Drishti_GS,DPR_FINITE_U,21,2100,"[820, 1320, 1820]",COMPLETE,2100,91cb00bf2ac7458d82895256fbf71d91af84529d,5fb3e93494617a4d4a9115f9e1c3ccc2379b92d345c0aa566da8923510dd4470,b531e6171d5097badd6863cdde48d7141f1ffc8bedb6c5eda2c5d0418921ec02
O1_s62_DPR_FINITE_SIGN_U,O1_s62_SRC_CE,62,O1,RIM_ONE_r3,Drishti_GS,DPR_FINITE_SIGN_U,21,2100,"[820, 1320, 1820]",COMPLETE,2100,91cb00bf2ac7458d82895256fbf71d91af84529d,c3f36c9d200b31e92f8a0e36d4591c6456983ec6596b14662dd1f6b2bc9bc431,b531e6171d5097badd6863cdde48d7141f1ffc8bedb6c5eda2c5d0418921ec02
O2_s62_DPR_FINITE_U,O2_s62_SRC_CE,62,O2,Drishti_GS,RIM_ONE_r3,DPR_FINITE_U,32,3200,"[1249, 1749, 2249, 2749]",COMPLETE,3200,91cb00bf2ac7458d82895256fbf71d91af84529d,3219ab2cb140686bad9d9443feababf69aecf009fafadedc92aeab5e95f49af8,877a146319f5e5e7d4d0e6eea2a8bc7850e4b787471596394110f856d085fd47
O2_s62_DPR_FINITE_SIGN_U,O2_s62_SRC_CE,62,O2,Drishti_GS,RIM_ONE_r3,DPR_FINITE_SIGN_U,32,3200,"[1249, 1749, 2249, 2749]",COMPLETE,3200,91cb00bf2ac7458d82895256fbf71d91af84529d,1674fee3a7503be8abdada00534224ba1133080afe86c9c8d8a66d47f5a097e3,877a146319f5e5e7d4d0e6eea2a8bc7850e4b787471596394110f856d085fd47
O1_s63_DPR_FINITE_U,O1_s63_SRC_CE,63,O1,RIM_ONE_r3,Drishti_GS,DPR_FINITE_U,21,2100,"[820, 1320, 1820]",COMPLETE,2100,91cb00bf2ac7458d82895256fbf71d91af84529d,6081419d167bd4f55df5392cc580d1f6d15d176b6e92f5faa11e5fc9323a5401,d8883da08f329a28aa3d0d8f4739746ee387b8e99b991627cacd11d1d2ca69f9
O1_s63_DPR_FINITE_SIGN_U,O1_s63_SRC_CE,63,O1,RIM_ONE_r3,Drishti_GS,DPR_FINITE_SIGN_U,21,2100,"[820, 1320, 1820]",COMPLETE,2100,91cb00bf2ac7458d82895256fbf71d91af84529d,2710da4c19227c93f796d2ad915494cfdbbbb40b2b988fd57a8862137c50b3d9,d8883da08f329a28aa3d0d8f4739746ee387b8e99b991627cacd11d1d2ca69f9
O2_s63_DPR_FINITE_U,O2_s63_SRC_CE,63,O2,Drishti_GS,RIM_ONE_r3,DPR_FINITE_U,32,3200,"[1249, 1749, 2249, 2749]",COMPLETE,3200,91cb00bf2ac7458d82895256fbf71d91af84529d,c56b93804ad8f39120cf6589fde26347b0ac35df3654dced1bcbe1afc7a80e82,4632e0f40bdcd46dccdf272f870b1062e5be533252efa7b99584b248990d9e69
O2_s63_DPR_FINITE_SIGN_U,O2_s63_SRC_CE,63,O2,Drishti_GS,RIM_ONE_r3,DPR_FINITE_SIGN_U,32,3200,"[1249, 1749, 2249, 2749]",COMPLETE,3200,91cb00bf2ac7458d82895256fbf71d91af84529d,edc3214e25fb3010591b3aa8b476b4c90618674880134f3941f490d031102692,4632e0f40bdcd46dccdf272f870b1062e5be533252efa7b99584b248990d9e69
