seed,transition,variant,class_a,class_b,pair_cosine,old_pair_cosine,pair_cosine_change_vs_old,gram_offdiag_rms_distortion,hidden_gt_usage
0,REFUGE->RIM_ONE_r3,old,0,1,-0.05015441030263901,-0.05015441030263901,0.0,0.0,none
0,REFUGE->RIM_ONE_r3,old,0,2,-0.6528785824775696,-0.6528785824775696,0.0,0.0,none
0,REFUGE->RIM_ONE_r3,old,1,2,0.0021988307125866413,0.0021988307125866413,0.0,0.0,none
0,REFUGE->RIM_ONE_r3,static,0,1,-0.05015441030263901,-0.05015441030263901,0.0,0.0,none
0,REFUGE->RIM_ONE_r3,static,0,2,-0.6528785824775696,-0.6528785824775696,0.0,0.0,none
0,REFUGE->RIM_ONE_r3,static,1,2,0.0021988307125866413,0.0021988307125866413,0.0,0.0,none
0,REFUGE->RIM_ONE_r3,global,0,1,0.13725531101226807,-0.05015441030263901,0.18740972876548767,0.21675939857959747,none
0,REFUGE->RIM_ONE_r3,global,0,2,-0.5395892858505249,-0.6528785824775696,0.11328929662704468,0.21675939857959747,none
0,REFUGE->RIM_ONE_r3,global,1,2,0.30715298652648926,0.0021988307125866413,0.3049541413784027,0.21675939857959747,none
0,REFUGE->RIM_ONE_r3,class,0,1,0.29598942399024963,-0.05015441030263901,0.34614384174346924,0.27395302057266235,none
0,REFUGE->RIM_ONE_r3,class,0,2,-0.3379502296447754,-0.6528785824775696,0.3149283528327942,0.27395302057266235,none
0,REFUGE->RIM_ONE_r3,class,1,2,0.08065500855445862,0.0021988307125866413,0.07845617830753326,0.27395302057266235,none
0,RIM_ONE_r3->Drishti_GS,old,0,1,0.17767708003520966,0.17767708003520966,0.0,0.0,none
0,RIM_ONE_r3->Drishti_GS,old,0,2,-0.24511417746543884,-0.24511417746543884,0.0,0.0,none
0,RIM_ONE_r3->Drishti_GS,old,1,2,0.37275248765945435,0.37275248765945435,0.0,0.0,none
0,RIM_ONE_r3->Drishti_GS,static,0,1,0.17767708003520966,0.17767708003520966,0.0,0.0,none
0,RIM_ONE_r3->Drishti_GS,static,0,2,-0.24511417746543884,-0.24511417746543884,0.0,0.0,none
0,RIM_ONE_r3->Drishti_GS,static,1,2,0.37275248765945435,0.37275248765945435,0.0,0.0,none
0,RIM_ONE_r3->Drishti_GS,global,0,1,-0.21106967329978943,0.17767708003520966,-0.3887467384338379,0.35486695170402527,none
0,RIM_ONE_r3->Drishti_GS,global,0,2,0.14403627812862396,-0.24511417746543884,0.3891504406929016,0.35486695170402527,none
0,RIM_ONE_r3->Drishti_GS,global,1,2,0.6470324397087097,0.37275248765945435,0.27427995204925537,0.35486695170402527,none
0,RIM_ONE_r3->Drishti_GS,class,0,1,-0.2643863558769226,0.17767708003520966,-0.44206345081329346,0.2785378396511078,none
0,RIM_ONE_r3->Drishti_GS,class,0,2,-0.2166954129934311,-0.24511417746543884,0.02841876447200775,0.2785378396511078,none
0,RIM_ONE_r3->Drishti_GS,class,1,2,0.1816445291042328,0.37275248765945435,-0.19110795855522156,0.2785378396511078,none
1,REFUGE->RIM_ONE_r3,old,0,1,-0.244434654712677,-0.244434654712677,0.0,0.0,none
1,REFUGE->RIM_ONE_r3,old,0,2,-0.5638849139213562,-0.5638849139213562,0.0,0.0,none
1,REFUGE->RIM_ONE_r3,old,1,2,-0.1574820727109909,-0.1574820727109909,0.0,0.0,none
1,REFUGE->RIM_ONE_r3,static,0,1,-0.244434654712677,-0.244434654712677,0.0,0.0,none
1,REFUGE->RIM_ONE_r3,static,0,2,-0.5638849139213562,-0.5638849139213562,0.0,0.0,none
