seed,transition,variant,class_id,region,pixel_count,top1_top2_margin_abs_error,all_pair_margin_abs_error,margin_agreement,hidden_gt_usage
0,RIM_ONE_r3->Drishti_GS,static,1,boundary,8291,0.23791169872934978,0.7711207700744783,0.7620882810262068,post_hoc_visible_previous_val_only
0,RIM_ONE_r3->Drishti_GS,static,1,interior,17643,0.19960275723645932,1.0510824162734513,0.8003972401689498,post_hoc_visible_previous_val_only
0,RIM_ONE_r3->Drishti_GS,static,2,all,11540,0.16566304251474154,0.44859056852925794,0.8343369535185022,post_hoc_visible_previous_val_only
0,RIM_ONE_r3->Drishti_GS,static,2,boundary,2747,0.1910273791834967,0.722139929961325,0.808972609012744,post_hoc_visible_previous_val_only
0,RIM_ONE_r3->Drishti_GS,static,2,interior,8793,0.15773903278310483,0.3631316746486463,0.8422609656984782,post_hoc_visible_previous_val_only
0,RIM_ONE_r3->Drishti_GS,global,ALL,all,368640,0.05830231077141232,0.0737636665503184,0.9416977034674751,post_hoc_visible_previous_val_only
0,RIM_ONE_r3->Drishti_GS,global,ALL,boundary,16684,0.32625846890230253,0.45462415681929075,0.6737415548766783,post_hoc_visible_previous_val_only
0,RIM_ONE_r3->Drishti_GS,global,ALL,interior,351956,0.04560021053823578,0.055709488738249595,0.9543997731605656,post_hoc_visible_previous_val_only
0,RIM_ONE_r3->Drishti_GS,global,0,all,331166,0.018125970385373433,0.020919973649258298,0.9818740473999444,post_hoc_visible_previous_val_only
0,RIM_ONE_r3->Drishti_GS,global,0,boundary,5646,0.2317349578824991,0.3191281169008964,0.7682650407662089,post_hoc_visible_previous_val_only
0,RIM_ONE_r3->Drishti_GS,global,0,interior,325520,0.01442101723030411,0.015747685923450962,0.9855789810821916,post_hoc_visible_previous_val_only
0,RIM_ONE_r3->Drishti_GS,global,1,all,25934,0.4488181405954779,0.6100738894887021,0.5511818641114825,post_hoc_visible_previous_val_only
0,RIM_ONE_r3->Drishti_GS,global,1,boundary,8291,0.3686088237180423,0.5291798069054076,0.6313911707607458,post_hoc_visible_previous_val_only
0,RIM_ONE_r3->Drishti_GS,global,1,interior,17643,0.4865110090636602,0.6480885673081437,0.5134889805579762,post_hoc_visible_previous_val_only
0,RIM_ONE_r3->Drishti_GS,global,2,all,11540,0.33364034418010213,0.3849738083017967,0.6663596538365197,post_hoc_visible_previous_val_only
0,RIM_ONE_r3->Drishti_GS,global,2,boundary,2747,0.3927138057412952,0.5080896633774487,0.6072861900926722,post_hoc_visible_previous_val_only
0,RIM_ONE_r3->Drishti_GS,global,2,interior,8793,0.3151853473116266,0.34651148030474016,0.6848146370703703,post_hoc_visible_previous_val_only
0,RIM_ONE_r3->Drishti_GS,class,ALL,all,368640,0.044046247833304936,0.06049763494067722,0.9559537569681803,post_hoc_visible_previous_val_only
0,RIM_ONE_r3->Drishti_GS,class,ALL,boundary,16684,0.2650747324345181,0.3918489407246932,0.7349252748820914,post_hoc_visible_previous_val_only
0,RIM_ONE_r3->Drishti_GS,class,ALL,interior,351956,0.033568690305981516,0.044790373923804576,0.9664313063990954,post_hoc_visible_previous_val_only
0,RIM_ONE_r3->Drishti_GS,class,0,all,331166,0.017457825386375102,0.01948586205309658,0.9825421590399528,post_hoc_visible_previous_val_only
0,RIM_ONE_r3->Drishti_GS,class,0,boundary,5646,0.22397127330535446,0.305830661937188,0.7760287537204852,post_hoc_visible_previous_val_only
0,RIM_ONE_r3->Drishti_GS,class,0,interior,325520,0.013875942014599057,0.014519338720288374,0.9861240584775897,post_hoc_visible_previous_val_only
0,RIM_ONE_r3->Drishti_GS,class,1,all,25934,0.3023110356834296,0.48066603518712764,0.6976889760839716,post_hoc_visible_previous_val_only
0,RIM_ONE_r3->Drishti_GS,class,1,boundary,8291,0.2902937523203813,0.4530202975794772,0.7097062550412345,post_hoc_visible_previous_val_only
0,RIM_ONE_r3->Drishti_GS,class,1,interior,17643,0.30795833555430313,0.49365762287761084,0.6920416514727423,post_hoc_visible_previous_val_only
0,RIM_ONE_r3->Drishti_GS,class,2,all,11540,0.22665822576195568,0.29317161255940616,0.773341768949036,post_hoc_visible_previous_val_only
0,RIM_ONE_r3->Drishti_GS,class,2,boundary,2747,0.2734399496272212,0.38401764854761655,0.7265600337086481,post_hoc_visible_previous_val_only
0,RIM_ONE_r3->Drishti_GS,class,2,interior,8793,0.2120432632985978,0.26479063855087365,0.7879567453780706,post_hoc_visible_previous_val_only
1,REFUGE->RIM_ONE_r3,static,ALL,all,921600,0.039010622898737586,1.2611020872328016,0.960989367167155,post_hoc_visible_previous_val_only
1,REFUGE->RIM_ONE_r3,static,ALL,boundary,44098,0.1493495557252942,1.0436016897467715,0.8506504439286858,post_hoc_visible_previous_val_only
1,REFUGE->RIM_ONE_r3,static,ALL,interior,877502,0.0334656480506063,1.2720323571912087,0.9665343488889484,post_hoc_visible_previous_val_only
1,REFUGE->RIM_ONE_r3,static,0,all,814355,0.025258744827554285,1.316821916386281,0.9747412613932191,post_hoc_visible_previous_val_only
1,REFUGE->RIM_ONE_r3,static,0,boundary,15130,0.13277437118056273,1.2571823533607176,0.8672256278109252,post_hoc_visible_previous_val_only
1,REFUGE->RIM_ONE_r3,static,0,interior,799225,0.023223384036341846,1.3179509202274078,0.9767766112288467,post_hoc_visible_previous_val_only
1,REFUGE->RIM_ONE_r3,static,1,all,79920,0.14719850465700074,0.7893497944355489,0.852801489233374,post_hoc_visible_previous_val_only
1,REFUGE->RIM_ONE_r3,static,1,boundary,22041,0.15400078761686317,0.9828588851680179,0.8459992068448077,post_hoc_visible_previous_val_only
1,REFUGE->RIM_ONE_r3,static,1,interior,57879,0.1446081157643397,0.7156592815129408,0.855391887399251,post_hoc_visible_previous_val_only
1,REFUGE->RIM_ONE_r3,static,2,all,27325,0.13242454144895785,0.9802870048390325,0.8675754646936471,post_hoc_visible_previous_val_only
1,REFUGE->RIM_ONE_r3,static,2,boundary,6927,0.17075344430982112,0.7703747193810226,0.8292465551394791,post_hoc_visible_previous_val_only
1,REFUGE->RIM_ONE_r3,static,2,interior,20398,0.11940834486948554,1.051571569696152,0.8805916602266268,post_hoc_visible_previous_val_only
1,REFUGE->RIM_ONE_r3,global,ALL,all,921600,0.23634437825944687,1.1219855414496527,0.7636556137932672,post_hoc_visible_previous_val_only
1,REFUGE->RIM_ONE_r3,global,ALL,boundary,44098,0.21099477876335093,0.968984178017746,0.7890052157003293,post_hoc_visible_previous_val_only
1,REFUGE->RIM_ONE_r3,global,ALL,interior,877502,0.2376182985640631,1.1296744640610505,0.7623816980972693,post_hoc_visible_previous_val_only
1,REFUGE->RIM_ONE_r3,global,0,all,814355,0.2436934458242643,1.1695631579209926,0.7563065655679956,post_hoc_visible_previous_val_only
1,REFUGE->RIM_ONE_r3,global,0,boundary,15130,0.22754308293374736,1.157241548990778,0.772456919587533,post_hoc_visible_previous_val_only
1,REFUGE->RIM_ONE_r3,global,0,interior,799225,0.24399918549024055,1.1697963994416467,0.756000810844099,post_hoc_visible_previous_val_only
1,REFUGE->RIM_ONE_r3,global,1,all,79920,0.19937470391228632,0.6809281586884737,0.8006252987606748,post_hoc_visible_previous_val_only
1,REFUGE->RIM_ONE_r3,global,1,boundary,22041,0.21229159724371094,0.9057061831545826,0.7877084089869093,post_hoc_visible_previous_val_only
1,REFUGE->RIM_ONE_r3,global,1,interior,57879,0.1944557980443644,0.5953300733247783,0.8055442045919613,post_hoc_visible_previous_val_only
1,REFUGE->RIM_ONE_r3,global,2,all,27325,0.1254520630552915,0.9940531096323193,0.8745479556517326,post_hoc_visible_previous_val_only
1,REFUGE->RIM_ONE_r3,global,2,boundary,6927,0.17072350524179825,0.7591352037352987,0.8292764977870505,post_hoc_visible_previous_val_only
1,REFUGE->RIM_ONE_r3,global,2,interior,20398,0.11007823629909455,1.0738293643745327,0.8899217596801196,post_hoc_visible_previous_val_only
1,REFUGE->RIM_ONE_r3,class,ALL,all,921600,0.034121881458494395,0.06452473441759746,0.9658781051635742,post_hoc_visible_previous_val_only
1,REFUGE->RIM_ONE_r3,class,ALL,boundary,44098,0.21805140365413042,0.486964352628618,0.7819486004981093,post_hoc_visible_previous_val_only
