task_id,source_task_id,student_hash,EMA_hash,parent_student_hash,optimizer_state_empty,source_EMA_loaded,source_Adam_loaded,source_RNG_loaded,final_student_hash
O1_s61_SRC_CE,,874c3a725a6660a4daba1cadd04576ccee28f4d22297459f4209187f2de1d64b,874c3a725a6660a4daba1cadd04576ccee28f4d22297459f4209187f2de1d64b,,True,False,False,False,4e9310c073e7b8b5ce34d6cad01a73acb99e80553502bce03f12dd4c630e421a
O1_s61_T_CE,O1_s61_SRC_CE,4e9310c073e7b8b5ce34d6cad01a73acb99e80553502bce03f12dd4c630e421a,4e9310c073e7b8b5ce34d6cad01a73acb99e80553502bce03f12dd4c630e421a,4e9310c073e7b8b5ce34d6cad01a73acb99e80553502bce03f12dd4c630e421a,True,False,False,False,d27f2f541b8c457e1201a9ca55877c674062403d392a0a86f4fb7902b3040459
O1_s61_T_CED,O1_s61_SRC_CE,4e9310c073e7b8b5ce34d6cad01a73acb99e80553502bce03f12dd4c630e421a,4e9310c073e7b8b5ce34d6cad01a73acb99e80553502bce03f12dd4c630e421a,4e9310c073e7b8b5ce34d6cad01a73acb99e80553502bce03f12dd4c630e421a,True,False,False,False,97f9fbce56e07530213d5d8b7064eba39a4d5e716ff21c078e6ceeb651cf4699
O1_s61_T_LCTX,O1_s61_SRC_CE,4e9310c073e7b8b5ce34d6cad01a73acb99e80553502bce03f12dd4c630e421a,4e9310c073e7b8b5ce34d6cad01a73acb99e80553502bce03f12dd4c630e421a,4e9310c073e7b8b5ce34d6cad01a73acb99e80553502bce03f12dd4c630e421a,True,False,False,False,6f7afca37f918b22b1b9c8083e270c2d9b3c872f27136fc550d0af308b7cbbe9
O1_s61_T_UCTX,O1_s61_SRC_CE,4e9310c073e7b8b5ce34d6cad01a73acb99e80553502bce03f12dd4c630e421a,4e9310c073e7b8b5ce34d6cad01a73acb99e80553502bce03f12dd4c630e421a,4e9310c073e7b8b5ce34d6cad01a73acb99e80553502bce03f12dd4c630e421a,True,False,False,False,09bfab2cd0ff121f219675ce5b09729e9fcfe7808d23ca8ff20f12f1c95e4415
O1_s61_T_AMS,O1_s61_SRC_CE,4e9310c073e7b8b5ce34d6cad01a73acb99e80553502bce03f12dd4c630e421a,4e9310c073e7b8b5ce34d6cad01a73acb99e80553502bce03f12dd4c630e421a,4e9310c073e7b8b5ce34d6cad01a73acb99e80553502bce03f12dd4c630e421a,True,False,False,False,654de93d78757b25c252d31b804d993b1692a47bdbfad52f28963d38b2881a59
O2_s61_SRC_CE,,151462e94b74048a20487ad9db8c9342686f0b116d0512b72918b597668accc4,151462e94b74048a20487ad9db8c9342686f0b116d0512b72918b597668accc4,,True,False,False,False,072c139af34818fecefb4bb96b0cdb062d470ce24ea39d53ee2537ab7f1ec3aa
O2_s61_T_CE,O2_s61_SRC_CE,072c139af34818fecefb4bb96b0cdb062d470ce24ea39d53ee2537ab7f1ec3aa,072c139af34818fecefb4bb96b0cdb062d470ce24ea39d53ee2537ab7f1ec3aa,072c139af34818fecefb4bb96b0cdb062d470ce24ea39d53ee2537ab7f1ec3aa,True,False,False,False,348af3c2abd8d21beb0138de1e4e7e12a7920e895727ef348c1cebb6f8c7cf1c
O2_s61_T_CED,O2_s61_SRC_CE,072c139af34818fecefb4bb96b0cdb062d470ce24ea39d53ee2537ab7f1ec3aa,072c139af34818fecefb4bb96b0cdb062d470ce24ea39d53ee2537ab7f1ec3aa,072c139af34818fecefb4bb96b0cdb062d470ce24ea39d53ee2537ab7f1ec3aa,True,False,False,False,790418d28de305ca2665047549d81ebf9b96b920eff2328f5c3409a0633db199
O2_s61_T_LCTX,O2_s61_SRC_CE,072c139af34818fecefb4bb96b0cdb062d470ce24ea39d53ee2537ab7f1ec3aa,072c139af34818fecefb4bb96b0cdb062d470ce24ea39d53ee2537ab7f1ec3aa,072c139af34818fecefb4bb96b0cdb062d470ce24ea39d53ee2537ab7f1ec3aa,True,False,False,False,423b4c784b6de72226c96f573769b6c7cd91f642d0fed1b5c449fd6c19f53bb4
O2_s61_T_UCTX,O2_s61_SRC_CE,072c139af34818fecefb4bb96b0cdb062d470ce24ea39d53ee2537ab7f1ec3aa,072c139af34818fecefb4bb96b0cdb062d470ce24ea39d53ee2537ab7f1ec3aa,072c139af34818fecefb4bb96b0cdb062d470ce24ea39d53ee2537ab7f1ec3aa,True,False,False,False,297e7a12f2991f9876ad8c0364a7b922c16e71a69395d25b519fb4da05c58e03
O2_s61_T_AMS,O2_s61_SRC_CE,072c139af34818fecefb4bb96b0cdb062d470ce24ea39d53ee2537ab7f1ec3aa,072c139af34818fecefb4bb96b0cdb062d470ce24ea39d53ee2537ab7f1ec3aa,072c139af34818fecefb4bb96b0cdb062d470ce24ea39d53ee2537ab7f1ec3aa,True,False,False,False,d967a3ede4512abc49f3e1f5f01a3eeebe89e4f15063361b501781860f9db23c
O1_s62_SRC_CE,,dbe4ed127776c39532cc32a725474f81283a1a7133d7e6b97132e058faecb6a9,dbe4ed127776c39532cc32a725474f81283a1a7133d7e6b97132e058faecb6a9,,True,False,False,False,b531e6171d5097badd6863cdde48d7141f1ffc8bedb6c5eda2c5d0418921ec02
O1_s62_T_CE,O1_s62_SRC_CE,b531e6171d5097badd6863cdde48d7141f1ffc8bedb6c5eda2c5d0418921ec02,b531e6171d5097badd6863cdde48d7141f1ffc8bedb6c5eda2c5d0418921ec02,b531e6171d5097badd6863cdde48d7141f1ffc8bedb6c5eda2c5d0418921ec02,True,False,False,False,2069b25e62ca4b7885c112dfce76be7b4a3a202b8d63b7e26cbbb3723855ad7e
O1_s62_T_CED,O1_s62_SRC_CE,b531e6171d5097badd6863cdde48d7141f1ffc8bedb6c5eda2c5d0418921ec02,b531e6171d5097badd6863cdde48d7141f1ffc8bedb6c5eda2c5d0418921ec02,b531e6171d5097badd6863cdde48d7141f1ffc8bedb6c5eda2c5d0418921ec02,True,False,False,False,9fecfe5e8b18c6090980382eac75b0357b3782bbe26790b0b0ca633a16060a2e
O1_s62_T_LCTX,O1_s62_SRC_CE,b531e6171d5097badd6863cdde48d7141f1ffc8bedb6c5eda2c5d0418921ec02,b531e6171d5097badd6863cdde48d7141f1ffc8bedb6c5eda2c5d0418921ec02,b531e6171d5097badd6863cdde48d7141f1ffc8bedb6c5eda2c5d0418921ec02,True,False,False,False,81215581c381bb2ef77041246ee221edebad03f0ea6f40855c70408e3d4ab74b
O1_s62_T_UCTX,O1_s62_SRC_CE,b531e6171d5097badd6863cdde48d7141f1ffc8bedb6c5eda2c5d0418921ec02,b531e6171d5097badd6863cdde48d7141f1ffc8bedb6c5eda2c5d0418921ec02,b531e6171d5097badd6863cdde48d7141f1ffc8bedb6c5eda2c5d0418921ec02,True,False,False,False,82570eaf6ae484e8650c84fc191becd755c4b1e8688ceb334c56895beb74f73c
O1_s62_T_AMS,O1_s62_SRC_CE,b531e6171d5097badd6863cdde48d7141f1ffc8bedb6c5eda2c5d0418921ec02,b531e6171d5097badd6863cdde48d7141f1ffc8bedb6c5eda2c5d0418921ec02,b531e6171d5097badd6863cdde48d7141f1ffc8bedb6c5eda2c5d0418921ec02,True,False,False,False,663f898c8cf15ae9327086d32dc348db64d2affb1714ddf10bbfa388779d189b
O2_s62_SRC_CE,,285dd1d6f0a268e6eba9ea3ee8b1d4fdc4b8737c600c6c9d4984dd87810ebf34,285dd1d6f0a268e6eba9ea3ee8b1d4fdc4b8737c600c6c9d4984dd87810ebf34,,True,False,False,False,877a146319f5e5e7d4d0e6eea2a8bc7850e4b787471596394110f856d085fd47
O2_s62_T_CE,O2_s62_SRC_CE,877a146319f5e5e7d4d0e6eea2a8bc7850e4b787471596394110f856d085fd47,877a146319f5e5e7d4d0e6eea2a8bc7850e4b787471596394110f856d085fd47,877a146319f5e5e7d4d0e6eea2a8bc7850e4b787471596394110f856d085fd47,True,False,False,False,3f5b413b526eee2e9bf4e3d27cde846f8e8a407ac4c3af9332b19e87ffc6239c
O2_s62_T_CED,O2_s62_SRC_CE,877a146319f5e5e7d4d0e6eea2a8bc7850e4b787471596394110f856d085fd47,877a146319f5e5e7d4d0e6eea2a8bc7850e4b787471596394110f856d085fd47,877a146319f5e5e7d4d0e6eea2a8bc7850e4b787471596394110f856d085fd47,True,False,False,False,ced4638f808a229a174ac4200b6da73c504769c08ba3652f08d49e17ff56242c
O2_s62_T_LCTX,O2_s62_SRC_CE,877a146319f5e5e7d4d0e6eea2a8bc7850e4b787471596394110f856d085fd47,877a146319f5e5e7d4d0e6eea2a8bc7850e4b787471596394110f856d085fd47,877a146319f5e5e7d4d0e6eea2a8bc7850e4b787471596394110f856d085fd47,True,False,False,False,cd57471cfd612aabb8a65a575086638415c32dbaeddaef38c3642a2addaa9fda
O2_s62_T_UCTX,O2_s62_SRC_CE,877a146319f5e5e7d4d0e6eea2a8bc7850e4b787471596394110f856d085fd47,877a146319f5e5e7d4d0e6eea2a8bc7850e4b787471596394110f856d085fd47,877a146319f5e5e7d4d0e6eea2a8bc7850e4b787471596394110f856d085fd47,True,False,False,False,839198d76e409cd0dbbe344d5bb3553d2969db1aaf13c89cc060b110201ae1c7
O2_s62_T_AMS,O2_s62_SRC_CE,877a146319f5e5e7d4d0e6eea2a8bc7850e4b787471596394110f856d085fd47,877a146319f5e5e7d4d0e6eea2a8bc7850e4b787471596394110f856d085fd47,877a146319f5e5e7d4d0e6eea2a8bc7850e4b787471596394110f856d085fd47,True,False,False,False,4e208e46db8c3af1d6cedd5cd4121128f167b09a25fa0a3417369564a079d804
O1_s63_SRC_CE,,927e4f3c3605eee06403aa3ce2771ac1987f62e7e70f0e9faa0c761cffdd5f2a,927e4f3c3605eee06403aa3ce2771ac1987f62e7e70f0e9faa0c761cffdd5f2a,,True,False,False,False,d8883da08f329a28aa3d0d8f4739746ee387b8e99b991627cacd11d1d2ca69f9
O1_s63_T_CE,O1_s63_SRC_CE,d8883da08f329a28aa3d0d8f4739746ee387b8e99b991627cacd11d1d2ca69f9,d8883da08f329a28aa3d0d8f4739746ee387b8e99b991627cacd11d1d2ca69f9,d8883da08f329a28aa3d0d8f4739746ee387b8e99b991627cacd11d1d2ca69f9,True,False,False,False,ec7490753fb4ce026585d1f31956b233ec1df5b00bb384631fcb98e54a16684e
