arm,baseline,order,metric,resampling,replicates,analysis_seed,lower_95,upper_95,contains_zero,condition
T_AMS,T_UCTX,O2,Old,paired_patient_within_physical_domain,2000,2026090901,0.004452126051973335,0.0259638331763404,False,fixed trained models and development cohort; shared weights across methods/seeds/orders/stages
T_AMS,T_UCTX,O2,Forget,paired_patient_within_physical_domain,2000,2026090901,-0.025963833176340403,-0.004452126051973345,False,fixed trained models and development cohort; shared weights across methods/seeds/orders/stages
T_LCTX,T_CE,both,Final,paired_patient_within_physical_domain,2000,2026090901,0.034290320742161304,0.06818017505794283,False,fixed trained models and development cohort; shared weights across methods/seeds/orders/stages
T_LCTX,T_CE,both,Incoming,paired_patient_within_physical_domain,2000,2026090901,-0.0022750402960990774,0.04480934910266163,True,fixed trained models and development cohort; shared weights across methods/seeds/orders/stages
T_LCTX,T_CE,both,Old,paired_patient_within_physical_domain,2000,2026090901,0.05484403494784818,0.1072602597047268,False,fixed trained models and development cohort; shared weights across methods/seeds/orders/stages
T_LCTX,T_CE,both,Forget,paired_patient_within_physical_domain,2000,2026090901,-0.10726025970472684,-0.05484403494784819,False,fixed trained models and development cohort; shared weights across methods/seeds/orders/stages
T_LCTX,T_CE,O1,Final,paired_patient_within_physical_domain,2000,2026090901,0.045873728932023086,0.09564971217772991,False,fixed trained models and development cohort; shared weights across methods/seeds/orders/stages
T_LCTX,T_CE,O1,Incoming,paired_patient_within_physical_domain,2000,2026090901,-0.023193903367852802,0.04633997405614264,True,fixed trained models and development cohort; shared weights across methods/seeds/orders/stages
T_LCTX,T_CE,O1,Old,paired_patient_within_physical_domain,2000,2026090901,0.0924709622501709,0.16821201134561428,False,fixed trained models and development cohort; shared weights across methods/seeds/orders/stages
T_LCTX,T_CE,O1,Forget,paired_patient_within_physical_domain,2000,2026090901,-0.16821201134561428,-0.09247096225017093,False,fixed trained models and development cohort; shared weights across methods/seeds/orders/stages
T_LCTX,T_CE,O2,Final,paired_patient_within_physical_domain,2000,2026090901,0.007087539357611232,0.05682751601396884,False,fixed trained models and development cohort; shared weights across methods/seeds/orders/stages
T_LCTX,T_CE,O2,Incoming,paired_patient_within_physical_domain,2000,2026090901,-0.0012119021905322934,0.06335818830641307,True,fixed trained models and development cohort; shared weights across methods/seeds/orders/stages
T_LCTX,T_CE,O2,Old,paired_patient_within_physical_domain,2000,2026090901,-0.006163309943309107,0.06955287232209559,True,fixed trained models and development cohort; shared weights across methods/seeds/orders/stages
T_LCTX,T_CE,O2,Forget,paired_patient_within_physical_domain,2000,2026090901,-0.06955287232209562,0.006163309943309106,True,fixed trained models and development cohort; shared weights across methods/seeds/orders/stages
T_UCTX,T_CE,both,Final,paired_patient_within_physical_domain,2000,2026090901,0.024024417129581508,0.052879406555409104,False,fixed trained models and development cohort; shared weights across methods/seeds/orders/stages
T_UCTX,T_CE,both,Incoming,paired_patient_within_physical_domain,2000,2026090901,0.004033172059198645,0.05261962318044717,False,fixed trained models and development cohort; shared weights across methods/seeds/orders/stages
T_UCTX,T_CE,both,Old,paired_patient_within_physical_domain,2000,2026090901,0.029963849775434884,0.06920368582128097,False,fixed trained models and development cohort; shared weights across methods/seeds/orders/stages
T_UCTX,T_CE,both,Forget,paired_patient_within_physical_domain,2000,2026090901,-0.06920368582128097,-0.029963849775434884,False,fixed trained models and development cohort; shared weights across methods/seeds/orders/stages
T_UCTX,T_CE,O1,Final,paired_patient_within_physical_domain,2000,2026090901,0.03224014667317714,0.07794358152407699,False,fixed trained models and development cohort; shared weights across methods/seeds/orders/stages
T_UCTX,T_CE,O1,Incoming,paired_patient_within_physical_domain,2000,2026090901,-0.020461104454014844,0.04906051590883467,True,fixed trained models and development cohort; shared weights across methods/seeds/orders/stages
T_UCTX,T_CE,O1,Old,paired_patient_within_physical_domain,2000,2026090901,0.06580098875301445,0.12836048887886062,False,fixed trained models and development cohort; shared weights across methods/seeds/orders/stages
T_UCTX,T_CE,O1,Forget,paired_patient_within_physical_domain,2000,2026090901,-0.12836048887886065,-0.06580098875301446,False,fixed trained models and development cohort; shared weights across methods/seeds/orders/stages
T_UCTX,T_CE,O2,Final,paired_patient_within_physical_domain,2000,2026090901,0.0015128334329804706,0.043311417630239574,False,fixed trained models and development cohort; shared weights across methods/seeds/orders/stages
T_UCTX,T_CE,O2,Incoming,paired_patient_within_physical_domain,2000,2026090901,0.007979093796097085,0.07620022074846819,False,fixed trained models and development cohort; shared weights across methods/seeds/orders/stages
T_UCTX,T_CE,O2,Old,paired_patient_within_physical_domain,2000,2026090901,-0.021937157176752948,0.02610977969581246,True,fixed trained models and development cohort; shared weights across methods/seeds/orders/stages
T_UCTX,T_CE,O2,Forget,paired_patient_within_physical_domain,2000,2026090901,-0.026109779695812477,0.021937157176752948,True,fixed trained models and development cohort; shared weights across methods/seeds/orders/stages
T_UCTX,T_CED,both,Final,paired_patient_within_physical_domain,2000,2026090901,0.027852175258850295,0.05912047524842941,False,fixed trained models and development cohort; shared weights across methods/seeds/orders/stages
T_UCTX,T_CED,both,Incoming,paired_patient_within_physical_domain,2000,2026090901,0.014953247383707714,0.06397958307211148,False,fixed trained models and development cohort; shared weights across methods/seeds/orders/stages
