task_id,arm,domain,seed,epoch,context_source,steps,CE,GT_Dice,dice_weight,SCE,target_entropy,KL,loss,labeled_image_records,anchor_label_records,U_image_records,donor_context_records,donor_extra_image_reads,labeled_source_pixels,mix_steps,L_pixels_0,L_pixels_1,L_pixels_2,U_predicted_0,U_predicted_1,U_predicted_2,U_accepted_0,U_accepted_1,U_accepted_2
O1_s61_SRC_CE,SRC_CE,RIM_ONE_r3,61,1,NONE,32,7.525059640407562,22.93810495341951,0,0.0,0.0,0.0,7.525059640407562,64,64,0,0,0,9437184,0,8541428,721124,174632,0,0,0,0,0,0
O1_s61_SRC_CE,SRC_CE,RIM_ONE_r3,61,2,NONE,32,3.31666661798954,19.09573147934394,0,0.0,0.0,0.0,3.31666661798954,64,64,0,0,0,9437184,0,8541428,721124,174632,0,0,0,0,0,0
O1_s61_SRC_CE,SRC_CE,RIM_ONE_r3,61,3,NONE,32,2.687573581933975,16.95168935653966,0,0.0,0.0,0.0,2.687573581933975,64,64,0,0,0,9437184,0,8541428,721124,174632,0,0,0,0,0,0
O1_s61_SRC_CE,SRC_CE,RIM_ONE_r3,61,4,NONE,32,2.283562805503607,15.01227760241268,0,0.0,0.0,0.0,2.283562805503607,64,64,0,0,0,9437184,0,8541428,721124,174632,0,0,0,0,0,0
O1_s61_SRC_CE,SRC_CE,RIM_ONE_r3,61,5,NONE,32,2.0827212557196617,13.52790865460398,0,0.0,0.0,0.0,2.0827212557196617,64,64,0,0,0,9437184,0,8541428,721124,174632,0,0,0,0,0,0
O1_s61_SRC_CE,SRC_CE,RIM_ONE_r3,61,6,NONE,32,2.1384069472551346,13.587221246767145,0,0.0,0.0,0.0,2.1384069472551346,64,64,0,0,0,9437184,0,8541428,721124,174632,0,0,0,0,0,0
O1_s61_SRC_CE,SRC_CE,RIM_ONE_r3,61,7,NONE,32,1.8326648846268654,12.253673857323038,0,0.0,0.0,0.0,1.8326648846268654,64,64,0,0,0,9437184,0,8541428,721124,174632,0,0,0,0,0,0
O1_s61_SRC_CE,SRC_CE,RIM_ONE_r3,61,8,NONE,32,1.7564564496278763,11.159634746019995,0,0.0,0.0,0.0,1.7564564496278763,64,64,0,0,0,9437184,0,8541428,721124,174632,0,0,0,0,0,0
O1_s61_SRC_CE,SRC_CE,RIM_ONE_r3,61,9,NONE,32,1.7065901346504688,11.535986738531278,0,0.0,0.0,0.0,1.7065901346504688,64,64,0,0,0,9437184,0,8541428,721124,174632,0,0,0,0,0,0
O1_s61_SRC_CE,SRC_CE,RIM_ONE_r3,61,10,NONE,32,1.5169128105044365,10.368063760917448,0,0.0,0.0,0.0,1.5169128105044365,64,64,0,0,0,9437184,0,8541428,721124,174632,0,0,0,0,0,0
O1_s61_SRC_CE,SRC_CE,RIM_ONE_r3,61,11,NONE,32,1.5369817316532135,10.204722645916247,0,0.0,0.0,0.0,1.5369817316532135,64,64,0,0,0,9437184,0,8541428,721124,174632,0,0,0,0,0,0
O1_s61_SRC_CE,SRC_CE,RIM_ONE_r3,61,12,NONE,32,1.5148623548448086,10.327281661689945,0,0.0,0.0,0.0,1.5148623548448086,64,64,0,0,0,9437184,0,8541428,721124,174632,0,0,0,0,0,0
O1_s61_SRC_CE,SRC_CE,RIM_ONE_r3,61,13,NONE,32,1.4135190341621637,9.991285573469499,0,0.0,0.0,0.0,1.4135190341621637,64,64,0,0,0,9437184,0,8541428,721124,174632,0,0,0,0,0,0
O1_s61_SRC_CE,SRC_CE,RIM_ONE_r3,61,14,NONE,32,1.4208740275353193,9.595485680854216,0,0.0,0.0,0.0,1.4208740275353193,64,64,0,0,0,9437184,0,8541428,721124,174632,0,0,0,0,0,0
O1_s61_SRC_CE,SRC_CE,RIM_ONE_r3,61,15,NONE,32,1.3882643170654774,9.860447334258474,0,0.0,0.0,0.0,1.3882643170654774,64,64,0,0,0,9437184,0,8541428,721124,174632,0,0,0,0,0,0
O1_s61_SRC_CE,SRC_CE,RIM_ONE_r3,61,16,NONE,32,1.4552682545036077,10.139438505947856,0,0.0,0.0,0.0,1.4552682545036077,64,64,0,0,0,9437184,0,8541428,721124,174632,0,0,0,0,0,0
O1_s61_SRC_CE,SRC_CE,RIM_ONE_r3,61,17,NONE,32,1.2591582331806421,8.914695015061321,0,0.0,0.0,0.0,1.2591582331806421,64,64,0,0,0,9437184,0,8541428,721124,174632,0,0,0,0,0,0
O1_s61_SRC_CE,SRC_CE,RIM_ONE_r3,61,18,NONE,32,1.2086656987667084,8.731562895706402,0,0.0,0.0,0.0,1.2086656987667084,64,64,0,0,0,9437184,0,8541428,721124,174632,0,0,0,0,0,0
