arm,seed,order,Final,Old,Incoming,Forget
C0,163,1,0.6683732324349658,0.6405721650060532,0.7239753672927911,0.12319837079138385
C1,163,1,0.6682457078849269,0.6402912776245144,0.7241545684057518,0.12347925817292255
C2,163,1,0.668217954084049,0.6402865354736152,0.7240807913049168,0.12348400032382179
C3,163,1,0.6682968675222023,0.6403736412218297,0.7241433201229477,0.12339689457560726
C0,163,2,0.6465585607721883,0.6132315481183275,0.7132125860799099,0.16717354208373875
C1,163,2,0.6462300307607567,0.6128330277465264,0.7130240367892173,0.16757206245553985
C2,163,2,0.6466155974479336,0.6134022170173655,0.7130423583090699,0.16700287318470064
C3,163,2,0.6467097284300651,0.6134728620454089,0.7131834611993777,0.16693222815665737
C0,164,1,0.7056312270784405,0.7093578943986061,0.6981778924381093,0.03814025041450114
C1,164,1,0.7056669194609416,0.7094471356163476,0.6981064871501297,0.03805100919675952
C2,164,1,0.7057551509561014,0.7095008476111402,0.698263757646024,0.037997297201966984
C3,164,1,0.7057681734278122,0.709560901805707,0.6981827166720229,0.037937243007400256
C0,164,2,0.6954805051134363,0.6864793679201981,0.7134827794999127,0.09951414229878025
C1,164,2,0.6954411185680112,0.6864145725324049,0.7134942106392235,0.09957893768657361
C2,164,2,0.6952045227189786,0.6860739562007392,0.7134656557554574,0.09991955401823921
C3,164,2,0.6953536271662907,0.6863048696684295,0.7134511421620129,0.09968864055054893
