reference,aggregation,id,Final,Old,Incoming,Forget
C0,seed_order,163/O1,-7.636491276352686e-05,-0.00019852378422346995,0.00016795283015658136,0.00019852378422341443
C0,seed_order,163/O2,0.00015116765787681619,0.0002413139270813769,-2.9124880532194197e-05,-0.0002413139270813769
C0,seed_order,164/O1,0.00013694634937166938,0.00020300740710088583,4.8242339135695644e-06,-0.00020300740710088583
C0,seed_order,164/O2,-0.0001268779471456094,-0.00017449825176862888,-3.1637337899792506e-05,0.0001744982517686844
C0,seed,163,3.740137255664466e-05,2.139507142895347e-05,6.941397481219358e-05,-2.1395071428981227e-05
C0,seed,164,5.03420111302999e-06,1.4254577666128476e-05,-1.340655199311147e-05,-1.425457766610072e-05
C0,overall,mean,2.1217786834837327e-05,1.7824824547540974e-05,2.8003711409541054e-05,-1.7824824547540974e-05
C2,seed_order,163/O1,7.891343815324969e-05,8.71057482144666e-05,6.252881803092691e-05,-8.71057482145221e-05
C2,seed_order,163/O2,9.413098213151283e-05,7.064502804332573e-05,0.000141102890307776,-7.064502804327022e-05
C2,seed_order,164/O1,1.3022471710755212e-05,6.005419456678318e-05,-8.104097400107868e-05,-6.005419456672767e-05
C2,seed_order,164/O2,0.00014910444731208727,0.00023091346769033017,-1.4513593444509532e-05,-0.00023091346769027465
C2,seed,163,8.652221014238126e-05,7.887538812889616e-05,0.00010181585416935146,-7.887538812889616e-05
C2,seed,164,8.106345951142124e-05,0.00014548383112855667,-4.7777283722794106e-05,-0.00014548383112850116
C2,overall,mean,8.379283482690125e-05,0.00011217960962872642,2.7019285223278677e-05,-0.00011217960962869866
C1,seed_order,163/O1,5.115963727542194e-05,8.236359731528253e-05,-1.1248282804077192e-05,-8.236359731528253e-05
C1,seed_order,163/O2,0.00047969766930844315,0.0006398342988824801,0.00015942441016036923,-0.0006398342988824801
C1,seed_order,164/O1,0.00010125396687055144,0.00011376618935932115,7.622952189323406e-05,-0.00011376618935926563
C1,seed_order,164/O2,-8.74914017204853e-05,-0.00010970286397538054,-4.306847721058382e-05,0.00010970286397532503
C1,seed,163,0.00026542865329193255,0.0003610989480988813,7.408806367814602e-05,-0.0003610989480988813
C1,seed,164,6.881282575033065e-06,2.031662691970304e-06,1.658052234132512e-05,-2.031662691970304e-06
C1,overall,mean,0.0001361549679334828,0.0001815653053954258,4.533429300973557e-05,-0.0001815653053954258
