arm,seed,order,domain,rim,cup,disc_union,macro_Dice,first_target_after_prefix_rim,first_target_after_prefix_cup,first_target_after_prefix_macro_Dice
C0,163,1,REFUGE,0.714951813655913,0.7205105914125619,0.8767946157031549,0.7177312025342375,NA,NA,NA
C0,163,1,RIM_ONE_r3,0.5401228878479282,0.5867033671078096,0.7736522963716268,0.5634131274778689,0.7365175677893211,0.6626261234319293,0.6995718456106252
C0,163,1,Drishti_GS,0.7146527621332295,0.7332979724523528,0.9356174084492718,0.7239753672927911,NA,NA,NA
C1,163,1,REFUGE,0.7149294950627979,0.7205718091990172,0.8767711480658521,0.7177506521309076,NA,NA,NA
C1,163,1,RIM_ONE_r3,0.5392366716488294,0.5864271345874134,0.7732879572685075,0.5628319031181214,0.7365175677893211,0.6626261234319293,0.6995718456106252
C1,163,1,Drishti_GS,0.7148952823833118,0.7334138544281918,0.9357640366878356,0.7241545684057518,NA,NA,NA
C2,163,1,REFUGE,0.7148259954808962,0.7206930163385037,0.8766385591144926,0.7177595059097,NA,NA,NA
C2,163,1,RIM_ONE_r3,0.5393734067625816,0.5862537233124796,0.7735027928821661,0.5628135650375305,0.7365175677893211,0.6626261234319293,0.6995718456106252
C2,163,1,Drishti_GS,0.7147590071152198,0.7334025754946139,0.9356455239191571,0.7240807913049168,NA,NA,NA
C3,163,1,REFUGE,0.7148718606082043,0.7208670118624008,0.8767193920340709,0.7178694362353025,NA,NA,NA
C3,163,1,RIM_ONE_r3,0.5393309774908991,0.586424714925815,0.7735443819786505,0.562877846208357,0.7365175677893211,0.6626261234319293,0.6995718456106252
C3,163,1,Drishti_GS,0.7148882876605159,0.7333983525853796,0.9357077774661081,0.7241433201229477,NA,NA,NA
C0,163,2,REFUGE,0.6481279130345778,0.7631958159118716,0.813973808374341,0.7056618644732247,NA,NA,NA
C0,163,2,Drishti_GS,0.5193081989465872,0.5222942645802732,0.8360664134604522,0.5208012317634302,0.7154722798622697,0.7502096289774974,0.7328409544198835
C0,163,2,RIM_ONE_r3,0.7482226097449187,0.6782025624149012,0.8943764010813329,0.7132125860799099,NA,NA,NA
C1,163,2,REFUGE,0.6478225467222559,0.7634805620283268,0.8138142832602171,0.7056515543752914,NA,NA,NA
C1,163,2,Drishti_GS,0.5185507573429797,0.5214782448925428,0.8361804571366561,0.5200145011177613,0.7154722798622697,0.7502096289774974,0.7328409544198835
C1,163,2,RIM_ONE_r3,0.7483370686613547,0.6777110049170799,0.8944906251999412,0.7130240367892173,NA,NA,NA
C2,163,2,REFUGE,0.648406605341323,0.7630820831692401,0.8140403245091619,0.7057443442552815,NA,NA,NA
C2,163,2,Drishti_GS,0.5195997136461503,0.5225204659127488,0.8370608797679112,0.5210600897794495,0.7154722798622697,0.7502096289774974,0.7328409544198835
C2,163,2,RIM_ONE_r3,0.7483736592309799,0.6777110573871601,0.8944994544286982,0.7130423583090699,NA,NA,NA
C3,163,2,REFUGE,0.648993986304992,0.7639159053828495,0.8146662822499525,0.7064549458439208,NA,NA,NA
C3,163,2,Drishti_GS,0.5193863955663783,0.5215951609274153,0.8372703394869095,0.5204907782468968,0.7154722798622697,0.7502096289774974,0.7328409544198835
C3,163,2,RIM_ONE_r3,0.7483633791519403,0.6780035432468151,0.8943425895888597,0.7131834611993777,NA,NA,NA
C0,164,1,REFUGE,0.7877104323935267,0.7599168383817242,0.9139352563898078,0.7738136353876255,NA,NA,NA
C0,164,1,RIM_ONE_r3,0.6394638314467262,0.6503404753724469,0.8210197812622265,0.6449021534095866,0.7115474559087579,0.6196166289878512,0.6655820424483045
C0,164,1,Drishti_GS,0.6894149676052994,0.7069408172709193,0.9266236654311095,0.6981778924381093,NA,NA,NA
C1,164,1,REFUGE,0.7879105996230668,0.7597978764277805,0.9139904218126145,0.7738542380254236,NA,NA,NA
C1,164,1,RIM_ONE_r3,0.6397808139389485,0.6502992524755948,0.8211962864738162,0.6450400332072717,0.7115474559087579,0.6196166289878512,0.6655820424483045
C1,164,1,Drishti_GS,0.6894906330317038,0.7067223412685556,0.9267789333803236,0.6981064871501297,NA,NA,NA
C2,164,1,REFUGE,0.7879862425929123,0.7595201860163344,0.9140128935068306,0.7737532143046233,NA,NA,NA
C2,164,1,RIM_ONE_r3,0.6400109925204494,0.6504859693148648,0.8212623884534078,0.6452484809176571,0.7115474559087579,0.6196166289878512,0.6655820424483045
C2,164,1,Drishti_GS,0.6897714333622018,0.7067560819298463,0.9270175670122814,0.698263757646024,NA,NA,NA
C3,164,1,REFUGE,0.7878449019804902,0.7597440072904134,0.9139179067236991,0.7737944546354518,NA,NA,NA
C3,164,1,RIM_ONE_r3,0.6400827653778917,0.6505719325740323,0.821221178066082,0.645327348975962,0.7115474559087579,0.6196166289878512,0.6655820424483045
C3,164,1,Drishti_GS,0.6895719207300757,0.7067935126139702,0.9266750607889367,0.6981827166720229,NA,NA,NA
C0,164,2,REFUGE,0.7680906462119181,0.752965762477033,0.8911784553151446,0.7605282043444755,NA,NA,NA
C0,164,2,Drishti_GS,0.6145924689267078,0.610268594065134,0.8745110520246491,0.6124305314959209,0.7213242530333025,0.7638212934867918,0.7425727732600471
C0,164,2,RIM_ONE_r3,0.7380304380038348,0.6889351209959905,0.8840953643982404,0.7134827794999127,NA,NA,NA
C1,164,2,REFUGE,0.7683446311938416,0.7530661950868348,0.8913507586612781,0.7607054131403381,NA,NA,NA
C1,164,2,Drishti_GS,0.6146599344056127,0.6095875294433304,0.8747846382790206,0.6121237319244716,0.7213242530333025,0.7638212934867918,0.7425727732600471
C1,164,2,RIM_ONE_r3,0.7379939092802136,0.6889945119982335,0.8840372696487258,0.7134942106392235,NA,NA,NA
C2,164,2,REFUGE,0.7683896649919622,0.7530627825115621,0.8914202594161854,0.7607262237517621,NA,NA,NA
C2,164,2,Drishti_GS,0.614161730781612,0.6086816465178206,0.8748308460702192,0.6114216886497164,0.7213242530333025,0.7638212934867918,0.7425727732600471
C2,164,2,RIM_ONE_r3,0.7379586117164723,0.6889726997944425,0.8839297555839518,0.7134656557554574,NA,NA,NA
C3,164,2,REFUGE,0.7680080233536982,0.75293440521912,0.891104837886477,0.7604712142864092,NA,NA,NA
C3,164,2,Drishti_GS,0.6144322753050706,0.6098447747958291,0.8743865659946448,0.6121385250504499,0.7213242530333025,0.7638212934867918,0.7425727732600471
C3,164,2,RIM_ONE_r3,0.7380282717256442,0.6888740125983815,0.8840760425741163,0.7134511421620129,NA,NA,NA
