arm,stage,rim,cup,macro,rim_minus_S,cup_minus_S
S,1,0.7320408176355061,0.6742879662297613,0.7031643919326337,0.0,0.0
S,2,0.6673525185172486,0.7457152979081902,0.7065339082127194,0.0,0.0
A,1,0.7343202497957215,0.673007672541903,0.7036639611688122,0.002279432160215422,-0.0012802936878583138
A,2,0.6680487771118456,0.7617902566477299,0.7149195168797877,0.0006962585945969879,0.01607495873953968
B,1,0.7450409530616782,0.6704269986992815,0.7077339758804799,0.013000135426172066,-0.0038609675304798197
B,2,0.6061088177343491,0.7467677040484868,0.676438260891418,-0.061243700782899535,0.0010524061402965579
C,1,0.7207795492509244,0.6839339444215856,0.7023567468362548,-0.011261268384581746,0.009645978191824334
C,2,0.5386063570905775,0.5767445283588813,0.5576754427247295,-0.12874616142667117,-0.1689707695493089
D,1,0.7548082754704478,0.7026608489914585,0.7287345622309532,0.022767457834941718,0.02837288276169725
D,2,0.7030693297026374,0.6351047008700549,0.6690870152863461,0.03571681118538872,-0.11061059703813536
U0,1,0.7376067788608338,0.7045041614826789,0.7210554701717564,0.005565961225327709,0.030216195252917633
U0,2,0.6132442148818498,0.6544289037687487,0.6338365593252993,-0.05410830363539887,-0.0912863941394415
L05,1,0.738359053794704,0.691896696674175,0.7151278752344394,0.00631823615919791,0.01760873044441369
L05,2,0.6942557296970671,0.7647234152743764,0.7294895724857219,0.02690321117981842,0.019008117366186128
L10,1,0.7342277216727491,0.6936186584049994,0.7139231900388742,0.002186904037242976,0.019330692175238084
L10,2,0.6646410515181057,0.7463774051748652,0.7055092283464856,-0.0027114669991429308,0.0006621072666749273
E_R1,1,0.756034941167339,0.7083739930644408,0.7322044671158899,0.023994123531832945,0.03408602683467954
E_R1,2,0.7016228108397238,0.6045797803073847,0.6531012955735542,0.03427029232247514,-0.14113551760080556
