arm,stage,epoch,seconds,sup,raw_lu,weighted_lu,labeled_kd,unlabeled_kd,actual_lambda_u,nominal_lambda_u,labeled_kd_coefficient,unlabeled_kd_coefficient
U0,1,1,5.632502540014684,0.16122049186378717,0.0,0.0,0.051604105034731965,0.4096310299020329,0.0,0.0,0.5,0.5
U0,1,2,4.666097171953879,0.07993211084976792,0.0,0.0,0.031831570618600834,0.12995115605697038,0.0,0.0,0.5,0.5
U0,1,3,4.85766846104525,0.06609172467142344,0.0,0.0,0.02751105162424411,0.10356862877753156,0.0,0.0,0.5,0.5
U0,1,4,4.86204747390002,0.05850112286861986,0.0,0.0,0.022226082450814765,0.10122565519037058,0.0,0.0,0.5,0.5
U0,1,5,4.836093125981279,0.05797436262946576,0.0,0.0,0.023024781830957373,0.09674876438148959,0.0,0.0,0.5,0.5
U0,1,6,4.774323421996087,0.0701205643126741,0.0,0.0,0.027052656836859944,0.13693952566856354,0.0,0.0,0.5,0.5
U0,1,7,4.831608069012873,0.0657017930643633,0.0,0.0,0.030198703003797137,0.11164679036954514,0.0,0.0,0.5,0.5
U0,1,8,4.851445459062234,0.06399570195935667,0.0,0.0,0.028667839342685762,0.13515129526585096,0.0,0.0,0.5,0.5
U0,1,9,4.821761133032851,0.06670374947134405,0.0,0.0,0.027629078988315743,0.13367763044531886,0.0,0.0,0.5,0.5
U0,1,10,4.957035905914381,0.05482353747356683,0.0,0.0,0.023712219211613823,0.07861517581036456,0.0,0.0,0.5,0.5
U0,1,11,5.030463807983324,0.05245724244741723,0.024353346991119906,0.0,0.01929229765484846,0.06772935663717414,0.0,0.05,0.5,0.5
U0,1,12,4.834851510007866,0.04849163116887212,0.023550808313302696,0.0,0.018881779117813857,0.05172805280235006,0.0,0.1,0.5,0.5
U0,1,13,4.995445123058744,0.04892065923195332,0.021253143466310576,0.0,0.01910549991501073,0.05151679810755265,0.0,0.15,0.5,0.5
U0,1,14,4.900416966062039,0.048932963982224464,0.03053625996108167,0.0,0.019804123379537124,0.079692362646094,0.0,0.2,0.5,0.5
U0,1,15,4.91211595502682,0.05515984713565558,0.037299920222721994,0.0,0.02299093978023334,0.09327263560447568,0.0,0.25,0.5,0.5
U0,1,16,4.9911199630005285,0.04703748633619398,0.026099529612110928,0.0,0.019081967239209754,0.05912730279520794,0.0,0.3,0.5,0.5
U0,1,17,4.8130296299932525,0.05578236951259896,0.038219161884626374,0.0,0.019733977483631635,0.09683613026251167,0.0,0.35,0.5,0.5
U0,1,18,4.809804487973452,0.047028161003254354,0.04021955991629511,0.0,0.018421771290815167,0.09999181930169533,0.0,0.4,0.5,0.5
U0,1,19,4.814232968958095,0.0520723796216771,0.027865534415468574,0.0,0.020451783985165985,0.06341331621688907,0.0,0.45,0.5,0.5
U0,1,20,4.977392546948977,0.04928855551406741,0.03991711606795434,0.0,0.01825843915989031,0.06893551616057648,0.0,0.5,0.5,0.5
U0,1,21,4.972021047025919,0.05459463445004076,0.02921595382213127,0.0,0.024317572788935225,0.05782687991667185,0.0,0.5,0.5,0.5
U0,1,22,4.856860640924424,0.04272107349243015,0.021217939065536484,0.0,0.01592296535495996,0.04996208297700429,0.0,0.5,0.5,0.5
