arm,stage,domain,domain_index,macro_fg_dice,background_dice,rim_dice,cup_dice,mean_iou,cases,evaluable_cases,evaluable_macro_fg_dice,empty_support_evidence
L10,1,REFUGE,0,0.6790938709204782,0.9750285009535807,0.6002898192055011,0.7578979226354555,0.673769656165868,100,100,0.6790938709204782,False
L10,1,RIM_ONE_r3,1,0.7139231900388742,0.9881721998838131,0.7342277216727491,0.6936186584049994,0.7124723579049619,40,40,0.7139231900388742,False
L10,2,REFUGE,0,0.5849108450501143,0.9869123940986985,0.570307937787958,0.5995137523122703,0.609528583027456,100,100,0.5849108450501143,False
L10,2,RIM_ONE_r3,1,0.4234848787448441,0.9730825141321698,0.3429176468212764,0.5040521106684117,0.5133838978319765,40,40,0.4234848787448441,False
L10,2,Drishti_GS,2,0.7055092283464856,0.9876132719497696,0.6646410515181057,0.7463774051748652,0.7037437037647823,25,25,0.7055092283464856,False
E_R1,0,REFUGE,0,0.8428869981883159,0.9916794401368313,0.8511931220934172,0.8345808742832146,0.8191735401619817,100,100,0.8428869981883159,False
E_R1,1,REFUGE,0,0.7268942081634034,0.9823792820448353,0.7180807261508952,0.7357076901759114,0.712407132461859,100,100,0.7268942081634034,False
E_R1,1,RIM_ONE_r3,1,0.7322044671158899,0.9879897029388456,0.756034941167339,0.7083739930644408,0.7288325709901226,40,40,0.7322044671158899,False
E_R1,2,REFUGE,0,0.7893240363319124,0.9870237757727167,0.8156503001927645,0.7629977724710604,0.7709317432789057,100,100,0.7893240363319124,False
E_R1,2,RIM_ONE_r3,1,0.6186886581198985,0.9710930960225349,0.6460912731065418,0.5912860431332552,0.6317288903939119,40,40,0.6186886581198985,False
E_R1,2,Drishti_GS,2,0.6531012955735542,0.9890284106624043,0.7016228108397238,0.6045797803073847,0.6604122145217564,25,25,0.6531012955735542,False
