method,reference,question,F,H,N,BWT,forgetting_REFUGE,forgetting_RIM_ONE_r3,stage1_macro_fg_dice,stage1_rim_dice,stage1_cup_dice,stage2_macro_fg_dice,stage2_rim_dice,stage2_cup_dice
D,U0,pseudo_ce,0.04130531512091584,0.044332744700850135,0.021464774010121812,0.04049319867125162,-0.07844222638608156,-0.0025441709564216763,0.007679092059196813,0.01720149660961401,-0.0018433124912203835,0.03525045596104681,0.08982511482078759,-0.019324202898693854
U0,L05,unlabeled_kd,0.05635175411940163,0.13235413775931404,-0.04486270911155288,0.12939034029065566,-0.09090152469073898,-0.16787915589057234,0.005927594937316982,-0.0007522749338702006,0.012607464808503943,-0.09565301316042263,-0.08101151481521729,-0.11029451150562763
U0,L10,unlabeled_kd,0.10548246940028383,0.19406003861101895,-0.03227019444415202,0.19049389854457788,-0.15044472964561906,-0.2305430674435367,0.007132280132882252,0.003379057188084733,0.010885503077679548,-0.0716726690211863,-0.05139683663625594,-0.09194850140611643
E_R1,B,E_increment,0.1833079760362295,0.2866304467132762,0.0005667629587731149,0.2743952010955712,-0.22834033288528466,-0.3204500693058577,0.024470491235410008,0.010993988105660879,0.03794699436515936,-0.023336965317863778,0.09551399310537467,-0.14218792374110212
A,S,current_capability,-0.012286548242411821,-0.02262262669715176,0.004442588951623416,-0.022872411315241092,-0.01850533481733818,0.06425015744782037,0.0004995692361785542,0.002279432160215422,-0.0012802936878583138,0.008385608667068278,0.0006962585945969879,0.01607495873953968
B,S,current_capability,-0.08222716080624715,-0.10829291754872006,-0.012763031686727544,-0.11057770952264329,0.06601378522305124,0.15514163382223528,0.004569583947846234,0.013000135426172066,-0.0038609675304798197,-0.030095647321301433,-0.061243700782899535,0.0010524061402965579
C,S,current_capability,0.09822699386648637,0.2217697235437246,-0.07483305529218442,0.22217354609191403,-0.17295177697158437,-0.2713953152122437,-0.0008076450963788728,-0.011261268384581746,0.009645978191824334,-0.14885846548798998,-0.12874616142667117,-0.1689707695493089
D,S,current_capability,0.1321322537898748,0.2169218271479989,-0.005938361314026919,0.20413674199883902,-0.1868003124121359,-0.22147317158554214,0.02557017029831954,0.022767457834941718,0.02837288276169725,-0.037446892926373376,0.03571681118538872,-0.11061059703813536
U0,S,current_capability,0.09082693866895897,0.17258908244714877,-0.02740313532414873,0.1636435433275874,-0.10835808602605435,-0.21892900062912046,0.017891078239122726,0.005565961225327709,0.030216195252917633,-0.07269734888742019,-0.05410830363539887,-0.0912863941394415
L05,S,current_capability,0.034475184549557336,0.04023494468783473,0.017459573787404148,0.034253203036931745,-0.017456561335315368,-0.05104984473854812,0.011963483301805744,0.00631823615919791,0.01760873044441369,0.02295566427300244,0.02690321117981842,0.019008117366186128
L10,S,current_capability,-0.014655530731324862,-0.02147095616387018,0.004867059120003292,-0.026850355216990474,0.04208664361956471,0.011614066814416235,0.010758798106240475,0.002186904037242976,0.019330692175238084,-0.0010246798662338907,-0.0027114669991429308,0.0006621072666749273
E_R1,S,current_capability,0.10108081522998236,0.17833752916455614,-0.012196268727954429,0.1638174915729279,-0.16232654766223342,-0.1653084354836224,0.029040075183256242,0.023994123531832945,0.03408602683467954,-0.05343261263916521,0.03427029232247514,-0.14113551760080556
