arm,stage,epoch,branch,class_id,pixels,reliable,conflicts,projected,drop_kl_mass,drop_gradient_l2_sum,r_q_norm_sum,r_p_norm_sum,nondegenerate,eta_sum,eta_max,residual_max,smoothing_l1_sum,conflict_rate,predicted_pixels,pas_accepted_pixels,prototype_valid_steps,log_eta_max,log_eta_logsumexp,finite_positive_eta_count,boundary_infinite_eta_count,analytical_brackets,iterations,compensated_v_difference_max
U0,1,25,unlabeled,0,8316758,7594935,6362046,0,273892.17970880255,9168.473182095675,0.0,9168.473182095675,0,0.0,0.0,0.0,0.11063363250047357,0.8376695784756552,8316758,7594935,32,,,,,,,
U0,1,25,unlabeled,1,767038,731490,216091,0,529199.8209181784,184904.98388801565,0.0,184904.98388801565,0,0.0,0.0,0.0,0.009876776173134684,0.295412104061573,767038,731490,32,,,,,,,
U0,1,25,unlabeled,2,205932,196792,24860,0,56643.16820701314,18514.17439850764,0.0,18514.17439850764,0,0.0,0.0,0.0,0.0026868694761667997,0.126326273425749,205932,196792,32,,,,,,,
U0,1,30,labeled,0,8541428,8541428,6893893,0,372552.32506549556,188202.277932017,0.0,188202.277932017,0,0.0,0.0,0.0,0.113602365316009,0.807112464098509,,,,,,,,,,
U0,1,30,labeled,1,721124,721124,241750,0,495847.17549659905,204098.42345971966,0.0,204098.42345971966,0,0.0,0.0,0.0,0.009310976963045874,0.33524054115519664,,,,,,,,,,
U0,1,30,labeled,2,174632,174632,32311,0,46920.84629868565,18234.197578055067,0.0,18234.197578055067,0,0.0,0.0,0.0,0.002277804502352029,0.18502336341563974,,,,,,,,,,
U0,1,30,unlabeled,0,8307418,7523962,6615706,0,13681.140564627856,2408.0586550973658,0.0,2408.0586550973658,0,0.0,0.0,0.0,0.11052183329179169,0.8792848767710416,8307418,7523962,32,,,,,,,
U0,1,30,unlabeled,1,782647,747738,219113,0,462743.1229094879,189778.7948828442,0.0,189778.7948828442,0,0.0,0.0,0.0,0.010068665419816464,0.2930344585937855,782647,747738,32,,,,,,,
U0,1,30,unlabeled,2,199663,191986,19640,0,22820.295565818316,13076.805225613836,0.0,13076.805225613836,0,0.0,0.0,0.0,0.002610550163009262,0.10229912597793589,199663,191986,32,,,,,,,
U0,1,35,labeled,0,8541428,8541428,6593410,0,359512.66291759105,199868.03987739928,0.0,199868.03987739928,0,0.0,0.0,0.0,0.11360144002821852,0.7719329835713653,,,,,,,,,,
