arm,stage,domain,rim,cup,macro
S,1,REFUGE,0.6245766329158066,0.7529760267987815,0.6887763298572939
S,1,RIM_ONE_r3,0.7320408176355061,0.6742879662297613,0.7031643919326337
S,2,REFUGE,0.6411072101017933,0.6128877672375647,0.626997488669679
S,2,RIM_ONE_r3,0.3373755324563426,0.5113047624496971,0.42434014745301984
S,2,Drishti_GS,0.6673525185172486,0.7457152979081902,0.7065339082127194
A,1,REFUGE,0.6115269100921236,0.7296700809922292,0.6705984955421763
A,1,RIM_ONE_r3,0.7343202497957215,0.673007672541903,0.7036639611688122
A,2,REFUGE,0.6416057767133144,0.6493998702607202,0.6455028234870172
A,2,RIM_ONE_r3,0.2600684221619838,0.46111069632077245,0.36058955924137803
A,2,Drishti_GS,0.6680487771118456,0.7617902566477299,0.7149195168797877
B,1,REFUGE,0.6751457220446262,0.7630102453186653,0.7190779836816459
B,1,RIM_ONE_r3,0.7450409530616782,0.6704269986992815,0.7077339758804799
B,2,REFUGE,0.4379446963958897,0.6840227104973658,0.5609837034466277
B,2,RIM_ONE_r3,0.10765941456084833,0.4398767805964132,0.2737680975786308
B,2,Drishti_GS,0.6061088177343491,0.7467677040484868,0.676438260891418
C,1,REFUGE,0.7762097463786047,0.8211573793204362,0.7986835628495202
C,1,RIM_ONE_r3,0.7207795492509244,0.6839339444215856,0.7023567468362548
C,2,REFUGE,0.7906764980439346,0.8092220332385922,0.7999492656412633
C,2,RIM_ONE_r3,0.7111036974587795,0.6787519376789898,0.6949278175688847
C,2,Drishti_GS,0.5386063570905775,0.5767445283588813,0.5576754427247295
D,1,REFUGE,0.706352627013005,0.7575795619360527,0.7319660944745289
D,1,RIM_ONE_r3,0.7548082754704478,0.7026608489914585,0.7287345622309532
D,2,REFUGE,0.8278230164156717,0.7997725857479581,0.8137978010818149
D,2,RIM_ONE_r3,0.6866749683490749,0.6560920103246881,0.6713834893368815
D,2,Drishti_GS,0.7030693297026374,0.6351047008700549,0.6690870152863461
S,0,REFUGE,0.8511931220934172,0.8345808742832146,0.8428869981883159
A,0,REFUGE,0.8511931220934172,0.8345808742832146,0.8428869981883159
B,0,REFUGE,0.8511931220934172,0.8345808742832146,0.8428869981883159
C,0,REFUGE,0.8511931220934172,0.8345808742832146,0.8428869981883159
D,0,REFUGE,0.8511931220934172,0.8345808742832146,0.8428869981883159
U0,0,REFUGE,0.8511931220934172,0.8345808742832146,0.8428869981883159
U0,1,REFUGE,0.7046420724108124,0.7646160244536705,0.7346290484322416
U0,1,RIM_ONE_r3,0.7376067788608338,0.7045041614826789,0.7210554701717564
U0,2,REFUGE,0.7296887686666877,0.7410223807247792,0.7353555746957333
U0,2,RIM_ONE_r3,0.6977548180297435,0.6245656346127827,0.661160226321263
U0,2,Drishti_GS,0.6132442148818498,0.6544289037687487,0.6338365593252993
L05,0,REFUGE,0.8511931220934172,0.8345808742832146,0.8428869981883159
L05,1,REFUGE,0.5957730888236283,0.7094483483790921,0.6526107186013601
L05,1,RIM_ONE_r3,0.738359053794704,0.691896696674175,0.7151278752344394
L05,2,REFUGE,0.6486023017873752,0.6403057982226136,0.6444540500049943
L05,2,RIM_ONE_r3,0.45093069447689144,0.523776256509856,0.4873534754933737
L05,2,Drishti_GS,0.6942557296970671,0.7647234152743764,0.7294895724857219
L10,0,REFUGE,0.8511931220934172,0.8345808742832146,0.8428869981883159
L10,1,REFUGE,0.6002898192055011,0.7578979226354555,0.6790938709204782
L10,1,RIM_ONE_r3,0.7342277216727491,0.6936186584049994,0.7139231900388742
L10,2,REFUGE,0.570307937787958,0.5995137523122703,0.5849108450501143
L10,2,RIM_ONE_r3,0.3429176468212764,0.5040521106684117,0.4234848787448441
L10,2,Drishti_GS,0.6646410515181057,0.7463774051748652,0.7055092283464856
E_R1,0,REFUGE,0.8511931220934172,0.8345808742832146,0.8428869981883159
E_R1,1,REFUGE,0.7180807261508952,0.7357076901759114,0.7268942081634034
E_R1,1,RIM_ONE_r3,0.756034941167339,0.7083739930644408,0.7322044671158899
E_R1,2,REFUGE,0.8156503001927645,0.7629977724710604,0.7893240363319124
E_R1,2,RIM_ONE_r3,0.6460912731065418,0.5912860431332552,0.6186886581198985
E_R1,2,Drishti_GS,0.7016228108397238,0.6045797803073847,0.6531012955735542
