seed,order,arm,baseline,Final,Incoming,Old,Forget
61,O1,LR_SRC_A,F_FULL,0.02478164144718986,0.012668357589645796,0.03689492530473382,-0.03689492530473382
61,O1,LR_SRC_A,F_CONV,0.011586389811174658,0.0138866233366014,0.009286156285747804,-0.009286156285747804
61,O1,LR_SRC_A,LR_FREE,0.009732707400506357,0.013241894063322657,0.006223520737690169,-0.006223520737690169
61,O1,LR_SRC_A,LR_RAND,0.02824568181695486,0.025512257046841125,0.030979106587068705,-0.030979106587068705
61,O1,LR_SRC_A,LR_SRC_AB,0.04749590804835624,0.03416559154318222,0.06082622455353037,-0.06082622455353037
61,O2,LR_SRC_A,F_FULL,-0.005528527540165307,-0.009903381984261328,-0.001153673096069452,0.001153673096069452
61,O2,LR_SRC_A,F_CONV,-0.002962770748941468,-0.00571918803120508,-0.000206353466677911,0.000206353466677911
61,O2,LR_SRC_A,LR_FREE,0.01311274029781695,0.018459380725555974,0.007766099870077925,-0.007766099870077925
61,O2,LR_SRC_A,LR_RAND,-0.00396283092088201,-0.0003269205652072227,-0.007598741276556853,0.007598741276556853
61,O2,LR_SRC_A,LR_SRC_AB,0.05129232447810217,0.05280722755044964,0.04977742140575464,-0.04977742140575464
62,O1,LR_SRC_A,F_FULL,-0.015453794659227582,0.024546945889468152,-0.05545453520792332,0.05545453520792332
62,O1,LR_SRC_A,F_CONV,-0.03754820926146185,0.01658001165405021,-0.09167643017697402,0.09167643017697402
62,O1,LR_SRC_A,LR_FREE,-0.003652319042892427,0.01539721923514159,-0.0227018573209265,0.0227018573209265
62,O1,LR_SRC_A,LR_RAND,-0.009694431235698353,0.03423535849815296,-0.05362422096954961,0.05362422096954961
