seed,order,arm,Final,Incoming,Old,Forget
61,O1,F_FULL,0.6405381542234545,0.7256201525373911,0.555456155909518,0.15327855633786858
61,O1,F_CONV,0.6537334058594697,0.7244018867904355,0.583064924928504,0.12566978731888256
61,O1,LR_FREE,0.655587088270138,0.7250466160637142,0.5861275604765617,0.12260715177082493
61,O1,LR_RAND,0.6370741138536895,0.7127762530801958,0.5613719746271831,0.14736273762020347
61,O1,LR_SRC_A,0.6653197956706444,0.7382885101270369,0.5923510812142518,0.11638363103313476
61,O1,LR_SRC_AB,0.6178238876222881,0.7041229185838547,0.5315248566607215,0.17720985558666513
61,O2,F_FULL,0.5972288386751761,0.7238691992898778,0.47058847806047444,0.2288122793567151
61,O2,F_CONV,0.5946630818839522,0.7196850053368216,0.4696411584310829,0.22975959898610665
61,O2,LR_FREE,0.5785875708371938,0.6955064365800605,0.46166870509432706,0.23773205232286249
61,O2,LR_RAND,0.5956631420558928,0.7142927378708237,0.47703354624096184,0.2223672111762277
61,O2,LR_SRC_A,0.5917003111350108,0.7139658173056165,0.469434804964405,0.22996595245278456
61,O2,LR_SRC_AB,0.5404079866569086,0.6611585897551668,0.41965738355865034,0.2797433738585392
62,O1,F_FULL,0.6088181501730069,0.7229122336781181,0.4947240666678957,0.20000952093034452
62,O1,F_CONV,0.6309125647752412,0.730879167913536,0.5309459616369464,0.16378762596129381
62,O1,LR_FREE,0.5970166745566717,0.7320619603324446,0.4619713887808989,0.23276219881734134
62,O1,LR_RAND,0.6030587867494777,0.7132238210694333,0.492893752429522,0.20183983516871823
62,O1,LR_SRC_A,0.5933643555137793,0.7474591795675862,0.4392695314599724,0.25546405613826784
62,O2,LR_FREE,0.6003779966513589,0.7070101910487993,0.4937458022539185,0.19147760789702306
