arm,Final,Incoming,Old,Forget
F_FULL,0.6188834964493153,0.7247446759136345,0.5130223169849962,0.19104541784729184
F_CONV,0.624198243871711,0.7220434460636285,0.5263530416797935,0.1777146931524946
LR_FREE,0.6170873295536659,0.7102765263218873,0.5238981327854444,0.1801696020468437
LR_RAND,0.6163686279547911,0.7135344954755097,0.5192027604340725,0.1848649743982156
LR_SRC_A,0.6285100534028276,0.7261271637163267,0.5308929430893284,0.17317479174295966
LR_SRC_AB,0.5791159371395984,0.6826407541695108,0.4755911201096859,0.22847661472260217
