contrast,order,Final,Old,Incoming,Forget
A5-A0,1,-0.0333421854893049,-0.05231632901364036,0.004606101559366249,0.052316329013640334
A5-A0,2,-0.0013563373544650537,0.005605558842805003,-0.015280129749005167,-0.005605558842805003
A5-A0,mean,-0.017349261421884976,-0.02335538508541768,-0.005337014094819459,0.023355385085417665
A5-A5_CONTROL,1,-0.004115434103392879,-0.0018124259301864898,-0.008721450449805324,0.0018124259301864343
A5-A5_CONTROL,2,0.0059278913038146586,0.010017509310715988,-0.0022513447099878903,-0.01001750931071596
A5-A5_CONTROL,mean,0.0009062286002108899,0.004102541690264749,-0.005486397579896607,-0.004102541690264763
A5_CONTROL-A0,1,-0.02922675138591202,-0.05050390308345387,0.013327552009171573,0.0505039030834539
A5_CONTROL-A0,2,-0.007284228658279712,-0.0044119504679109856,-0.013028785039017277,0.004411950467910958
A5_CONTROL-A0,mean,-0.018255490022095866,-0.02745792677568243,0.00014938348507714805,0.02745792677568243
