seed,transition,layer,partition,class_id,region,cell_count,old_current_cosine,old_current_l2,old_current_normalized_l2,hidden_gt_usage
1,RIM_ONE_r3->Drishti_GS,dec1,plastic,1,interior,569038,0.5582137226556048,7.03927258592572,0.8620487920100459,post_hoc_boundary_only
1,RIM_ONE_r3->Drishti_GS,dec1,plastic,2,all,459984,0.4556940139706286,8.015858610367426,0.9109612595305625,partition_only
1,RIM_ONE_r3->Drishti_GS,dec1,plastic,2,boundary,40407,0.20732483129935378,10.079391960967081,1.2152333715685575,post_hoc_boundary_only
1,RIM_ONE_r3->Drishti_GS,dec1,plastic,2,interior,419577,0.4796130000935094,7.817131636445754,0.8816585895214109,post_hoc_boundary_only
1,RIM_ONE_r3->Drishti_GS,dec1,rejected,0,all,65504,0.5720879955878768,4.733330999168467,0.8913959974653265,partition_only
1,RIM_ONE_r3->Drishti_GS,dec1,rejected,1,all,356576,0.4526516959642172,6.383740625464487,1.0094292404556857,partition_only
1,RIM_ONE_r3->Drishti_GS,dec1,rejected,1,boundary,80288,0.40871821004777087,6.730674205428816,1.0629149118045642,post_hoc_boundary_only
1,RIM_ONE_r3->Drishti_GS,dec1,rejected,1,interior,276288,0.4654185666456967,6.282923454760069,0.9938865575023843,post_hoc_boundary_only
1,RIM_ONE_r3->Drishti_GS,dec1,rejected,2,all,299984,0.33729451430931784,8.71485329477989,1.1063648752673059,partition_only
1,RIM_ONE_r3->Drishti_GS,dec1,rejected,2,boundary,42336,0.30850760142008465,8.82949165638342,1.1461256345113118,post_hoc_boundary_only
1,RIM_ONE_r3->Drishti_GS,dec1,rejected,2,interior,257648,0.3420247076342863,8.696016343033907,1.0998315034738528,post_hoc_boundary_only
1,RIM_ONE_r3->Drishti_GS,dec1,stable,0,all,15118992,0.9580597122480123,1.2788489305371682,0.2588835868757818,partition_only
1,RIM_ONE_r3->Drishti_GS,dec1,stable,1,all,606960,0.9267413498212402,3.7017940587106235,0.34239870159148666,partition_only
1,RIM_ONE_r3->Drishti_GS,dec1,stable,1,boundary,69714,0.9226439020995323,3.769590171680231,0.344239016895495,post_hoc_boundary_only
1,RIM_ONE_r3->Drishti_GS,dec1,stable,1,interior,537246,0.9272730141749543,3.692996838127925,0.3421598976575966,post_hoc_boundary_only
1,RIM_ONE_r3->Drishti_GS,dec1,stable,2,all,357824,0.9608079967932035,3.33166765360729,0.2400086252277001,partition_only
1,RIM_ONE_r3->Drishti_GS,dec1,stable,2,boundary,13344,0.9462901506778434,3.6490761759183963,0.2793356288823007,post_hoc_boundary_only
1,RIM_ONE_r3->Drishti_GS,dec1,stable,2,interior,344480,0.9613703591736095,3.3193722354164246,0.23848522432560262,post_hoc_boundary_only
1,RIM_ONE_r3->Drishti_GS,dec3,plastic,0,all,1211,0.5569638934241751,6.230586205702198,0.9299679377864551,partition_only
1,RIM_ONE_r3->Drishti_GS,dec3,plastic,1,all,44027,0.7146182635886076,6.571609766361409,0.722328391382614,partition_only
1,RIM_ONE_r3->Drishti_GS,dec3,plastic,1,boundary,8309,0.6850691751848993,6.2854347610060435,0.7660489478887728,post_hoc_boundary_only
1,RIM_ONE_r3->Drishti_GS,dec3,plastic,1,interior,35718,0.7214921869805228,6.63818200797742,0.7121577853217719,post_hoc_boundary_only
1,RIM_ONE_r3->Drishti_GS,dec3,plastic,2,all,28749,0.8737400897113405,6.805131605121048,0.4931476949554903,partition_only
1,RIM_ONE_r3->Drishti_GS,dec3,plastic,2,boundary,2401,0.8505079817245623,6.708475510113838,0.5373132398653805,post_hoc_boundary_only
1,RIM_ONE_r3->Drishti_GS,dec3,plastic,2,interior,26348,0.8758571272068651,6.813939556830096,0.4891230691921662,post_hoc_boundary_only
1,RIM_ONE_r3->Drishti_GS,dec3,rejected,0,all,4094,0.6157235498246648,4.8007691667088075,0.8646041542131492,partition_only
1,RIM_ONE_r3->Drishti_GS,dec3,rejected,1,all,22286,0.6299235342135819,5.3281643444788065,0.8408083083395747,partition_only
1,RIM_ONE_r3->Drishti_GS,dec3,rejected,1,boundary,5037,0.6427222394460436,4.961416320619021,0.8299048005150073,post_hoc_boundary_only
