arm,status,F,H,N,BWT,forgetting_REFUGE,forgetting_RIM_ONE_r3
S,COMPLETE_DESCRIPTIVE_ONLY,0.5859571814451394,0.5256688180613494,0.7048491500726766,-0.2473568769991254,0.21588950951863695,0.27882424447961385
A,COMPLETE_DESCRIPTIVE_ONLY,0.5736706332027276,0.5030461913641976,0.7092917390243,-0.2702292883143665,0.19738417470129876,0.3430744019274342
B,COMPLETE_DESCRIPTIVE_ONLY,0.5037300206388923,0.4173759005126293,0.692086118385949,-0.3579345865217687,0.2819032947416882,0.43396587830184913
C,COMPLETE_DESCRIPTIVE_ONLY,0.6841841753116258,0.747438541605074,0.6300160947804921,-0.025183330907211365,0.042937732547052576,0.007428929267370155
D,COMPLETE_DESCRIPTIVE_ONLY,0.7180894352350142,0.7425906452093483,0.6989107887586496,-0.043220135000286375,0.02908919710650104,0.05735107289407171
E,NOT_AVAILABLE_INCOMPLETE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE
