arm,stage,attempt,epoch,supervised_ce,ssl,kd,seconds
common,0,accepted_complete,1,0.2824560304172337,0.0,0.0,16.69817627198063
common,0,accepted_complete,2,0.19825670961290598,0.0,0.0,18.195619579055347
common,0,accepted_complete,3,0.13683212269097567,0.0,0.0,17.930174091015942
common,0,accepted_complete,4,0.10959193771705031,0.0,0.0,16.33721411495935
common,0,accepted_complete,5,0.16774286720901727,0.0,0.0,17.970901052001864
common,0,accepted_complete,6,0.11395126222632826,0.0,0.0,11.910401050932705
common,0,accepted_complete,7,0.10553864184767008,0.0,0.0,18.111820342950523
common,0,accepted_complete,8,0.11415480501018464,0.0,0.0,16.368566018994898
common,0,accepted_complete,9,0.09649963243864476,0.0,0.0,21.728027484961785
common,0,accepted_complete,10,0.09611533880233765,0.0,0.0,17.96557473007124
common,0,accepted_complete,11,0.08842880227603019,0.0,0.0,17.923976342892274
common,0,accepted_complete,12,0.08363602068275214,0.0,0.0,16.91953218600247
common,0,accepted_complete,13,0.08601877656765282,0.0,0.0,32.00857785705011
common,0,accepted_complete,14,0.08035046933218837,0.0,0.0,32.36085448297672
common,0,accepted_complete,15,0.07812791080214083,0.0,0.0,32.394954910036176
common,0,accepted_complete,16,0.13787154615856706,0.0,0.0,31.467300737975165
common,0,accepted_complete,17,0.08570207874290645,0.0,0.0,21.602553791948594
common,0,accepted_complete,18,0.10033441912382841,0.0,0.0,31.03313104098197
common,0,accepted_complete,19,0.08085071579553187,0.0,0.0,31.400151132023893
common,0,accepted_complete,20,0.07054097750224173,0.0,0.0,31.109510825946927
common,0,accepted_complete,21,0.07572206980548798,0.0,0.0,32.099607305950485
common,0,accepted_complete,22,0.07522091646678745,0.0,0.0,29.833726454991847
common,0,accepted_complete,23,0.07155296211130917,0.0,0.0,28.1752947519999
common,0,accepted_complete,24,0.09822293911129236,0.0,0.0,30.998968853033148
common,0,accepted_complete,25,0.0845185324549675,0.0,0.0,31.965343800955452
common,0,accepted_complete,26,0.08031220594421029,0.0,0.0,32.06827229599003
common,0,accepted_complete,27,0.07507005445659161,0.0,0.0,31.039055448025465
common,0,accepted_complete,28,0.06612740950658917,0.0,0.0,28.707951577031054
common,0,accepted_complete,29,0.06898543410934507,0.0,0.0,32.0391962910071
common,0,accepted_complete,30,0.08171249930746853,0.0,0.0,32.02078033098951
common,0,accepted_complete,31,0.06448312592692673,0.0,0.0,31.969195134937763
common,0,accepted_complete,32,0.0643730160780251,0.0,0.0,29.53013541304972
common,0,accepted_complete,33,0.05863688169047236,0.0,0.0,29.464640251011588
common,0,accepted_complete,34,0.07767992191947996,0.0,0.0,31.629333617980592
common,0,accepted_complete,35,0.07969620637595654,0.0,0.0,32.01138812303543
common,0,accepted_complete,36,0.05661960665602237,0.0,0.0,31.687990844016895
common,0,accepted_complete,37,0.05397728628013283,0.0,0.0,31.267211532918736
common,0,accepted_complete,38,0.061090214364230636,0.0,0.0,31.526326930965297
common,0,accepted_complete,39,0.06676575313322246,0.0,0.0,29.700582235935144
common,0,accepted_complete,40,0.07280040238983929,0.0,0.0,31.0639576530084
common,0,accepted_complete,41,0.05622117121238261,0.0,0.0,32.00464350101538
common,0,accepted_complete,42,0.060851046140305697,0.0,0.0,31.930604260065593
