arm,stage,attempt,step,supervised,ssl,kd
common,0,accepted_complete,1,88.20719223744506,0.0,0.0
S,1,accepted_complete,1,2.159561513787533,0.0,0.0
S,2,accepted_complete,1,23.55142225890283,0.0,0.0
A,1,accepted_complete,1,2.159561513787533,0.0,0.0
A,2,accepted_complete,1,18.010395080277824,0.0,0.0
B,1,accepted_complete,1,2.159561513787533,0.0,0.0
B,2,accepted_complete,1,10.334023291483623,0.0,0.0
C,1,accepted_complete,1,2.159561513787533,0.0,4.336255281113106
C,2,accepted_complete,1,20.052529692902464,0.0,0.5529586668344114
D,1,accepted_complete,1,2.159561513787533,0.0,4.298121760881635
D,2,accepted_complete,1,21.8164726632491,0.0,0.5242587659762229
E,1,discarded_entropy_failure,1,2.159561513787533,0.0,4.298165281931828
E,1,bracket_failure,1,2.159561513787533,0.0,4.298165281931828
