seed,transition,update_batch,variant,class_id,region,margin_agreement_before,margin_agreement_after,margin_agreement_delta,margin_abs_error_after,metric_function,hidden_gt_usage
2,REFUGE->RIM_ONE_r3,0,B0,0,all,0.9858688770736153,0.9858411781637006,-2.769890991460855e-05,0.014158821836299351,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
2,REFUGE->RIM_ONE_r3,0,B0,0,boundary,0.7900103838259293,0.7898709056437251,-0.00013947818220416686,0.21012909435627491,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
2,REFUGE->RIM_ONE_r3,0,B0,0,interior,0.9895561858344788,0.9895305891854371,-2.559664904167036e-05,0.010469410814562874,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
2,REFUGE->RIM_ONE_r3,0,B0,1,all,0.7421564007558914,0.7415455396142177,-0.0006108611416737464,0.25845446038578235,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
2,REFUGE->RIM_ONE_r3,0,B0,1,boundary,0.6965889292883222,0.6960539198767732,-0.0005350094115489368,0.30394608012322677,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
2,REFUGE->RIM_ONE_r3,0,B0,1,interior,0.7606998472456371,0.7600581055247071,-0.0006417417209300114,0.2399418944752929,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
2,REFUGE->RIM_ONE_r3,0,B0,2,all,0.8096246803024836,0.8091972664765633,-0.0004274138259202642,0.19080273352343669,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
2,REFUGE->RIM_ONE_r3,0,B0,2,boundary,0.7189722916832857,0.7182523241360085,-0.0007199675472772116,0.2817476758639915,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
2,REFUGE->RIM_ONE_r3,0,B0,2,interior,0.83876587570492,0.8384325139490417,-0.0003333617558782809,0.16156748605095828,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
2,REFUGE->RIM_ONE_r3,0,B1,0,all,0.9858688770736153,0.9858335497341862,-3.532733942901434e-05,0.014166450265813757,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
2,REFUGE->RIM_ONE_r3,0,B1,0,boundary,0.7900103838259293,0.7891935496082001,-0.0008168342177291565,0.2108064503917999,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
