GRQA,Limg,Lseg,advantage_std,arm,assignment_regret_max,assignment_regret_mean,assignment_regret_p50,assignment_regret_p95,assignment_total_similarity,backbone,categorical_kl,clip_fraction,code_commit,config_digest,cos_img_grqa,cos_img_grqa_reason,cos_seg_grqa,cos_seg_grqa_reason,cos_seg_img,domain,global_step,grad_norm,group,group_sizes,k3,lambda_grqa,local_step,lr,max_group_size,min_group_size,norm_grqa,norm_img,norm_seg,peak_allocated,peak_reserved,phase,query_utilization,ratio_max,ratio_mean,ratio_min,regularizer,reward_mean,reward_std,routing_mode,seed,selected_k3,singleton_fraction,status,supported_classes,task,timestamp,total_loss,training_seconds
1.8378099753135757e-07,0.011067207902669907,0.14673741161823273,0.9574171900749207,A0,0.0,0.0,0.0,0.0,12.492594718933105,DINOV2_VITS14_QUERY,0.0,0.0,2205de41b64a7eb263e72c2d4254d222ff813d4a,6e391c704a68e502cf568786c0784e72255b0cae9e08d02e78675867fec08a74,,ZERO_GRADIENT_NORM,,ZERO_GRADIENT_NORM,-0.048633042205182254,Drishti_GS,2100,51.96059799194336,1.8378099753135757e-07,"[[1, 6, 5], [1, 6, 5]]",0.0,0.0,100,"[3.383834619016499e-06, 3.3838346190164985e-05]",6,1,0.0,25.105758269264292,46.79185627669538,1590718464,1650458624,development,"[2, 12, 10]",1.0,1.0,1.0,0.0,0.520524799823761,0.12267638742923737,top1,261,0.0,0.3333333333333333,OK,"[0, 1, 2]",DINOV2_VITS14_QUERY__Drishti_GS__A0,1790394756.7846386,0.2574094831943512,32.5712238070555
3.178914482759865e-07,0.006502499338239431,0.1425028294324875,0.9574160575866699,A0,0.0,0.0,0.0,0.0,13.51611328125,DINOV2_VITS14_QUERY,0.0,0.0,2205de41b64a7eb263e72c2d4254d222ff813d4a,6e391c704a68e502cf568786c0784e72255b0cae9e08d02e78675867fec08a74,,ZERO_GRADIENT_NORM,,ZERO_GRADIENT_NORM,-0.09619704325047022,Drishti_GS,2200,28.162796020507812,3.178914482759865e-07,"[[1, 6, 5], [1, 6, 5]]",0.0,0.0,200,"[3.0434898592517716e-06, 3.0434898592517714e-05]",6,1,0.0,9.024048535501407,27.592981699800625,1597664256,1650458624,development,"[2, 12, 10]",1.0,1.0,1.0,0.0,0.56317138671875,0.12084627896547318,top1,261,0.0,0.3333333333333333,OK,"[0, 1, 2]",DINOV2_VITS14_QUERY__Drishti_GS__A0,1790394788.7747676,0.20752781629562378,64.56135710468516
1.862645149230957e-07,0.005936527159065008,0.11051364243030548,0.957414984703064,A0,0.0,0.0,0.0,0.0,14.08944320678711,DINOV2_VITS14_QUERY,0.0,0.0,2205de41b64a7eb263e72c2d4254d222ff813d4a,6e391c704a68e502cf568786c0784e72255b0cae9e08d02e78675867fec08a74,,ZERO_GRADIENT_NORM,,ZERO_GRADIENT_NORM,-0.3952063857697818,Drishti_GS,2300,23.064226150512695,1.862645149230957e-07,"[[1, 6, 5], [1, 6, 5]]",0.0,0.0,300,"[2.6988522327480364e-06, 2.6988522327480364e-05]",6,1,0.0,9.63377764101992,25.128190498683153,1597664256,1650458624,development,"[2, 12, 10]",1.0,1.0,1.0,0.0,0.5870601534843445,0.1195150837302208,top1,261,0.0,0.3333333333333333,OK,"[0, 1, 2]",DINOV2_VITS14_QUERY__Drishti_GS__A0,1790394822.1275415,0.16987891495227814,97.91400873381644
-6.95387569749073e-08,0.005083974450826645,0.12276884913444519,0.9574148058891296,A0,0.0,0.0,0.0,0.0,14.377674102783203,DINOV2_VITS14_QUERY,0.0,0.0,2205de41b64a7eb263e72c2d4254d222ff813d4a,6e391c704a68e502cf568786c0784e72255b0cae9e08d02e78675867fec08a74,,ZERO_GRADIENT_NORM,,ZERO_GRADIENT_NORM,0.5671805751977611,Drishti_GS,2400,38.4074821472168,-6.95387569749073e-08,"[[1, 6, 5], [1, 6, 5]]",0.0,0.0,400,"[2.3492378861760375e-06, 2.3492378861760376e-05]",6,1,0.0,8.538930571284185,32.90550102773,1597664256,1650458624,development,"[2, 12, 10]",1.0,1.0,1.0,-0.0,0.5990697741508484,0.12101535499095917,top1,261,0.0,0.3333333333333333,OK,"[0, 1, 2]",DINOV2_VITS14_QUERY__Drishti_GS__A0,1790394855.0278058,0.17360860109329224,130.81461244588718
2.1358331991905288e-07,0.0037837536074221134,0.09323582798242569,0.957413911819458,A0,0.0,0.0,0.0,0.0,14.66685676574707,DINOV2_VITS14_QUERY,0.0,0.0,2205de41b64a7eb263e72c2d4254d222ff813d4a,6e391c704a68e502cf568786c0784e72255b0cae9e08d02e78675867fec08a74,,ZERO_GRADIENT_NORM,,ZERO_GRADIENT_NORM,0.04251036119245804,Drishti_GS,2500,21.90662384033203,2.1358331991905288e-07,"[[1, 5, 6], [1, 5, 6]]",0.0,0.0,500,"[1.9937186647521924e-06, 1.993718664752192e-05]",6,1,0.0,4.534425636272651,21.219585011416132,1597664256,1650458624,development,"[2, 10, 12]",1.0,1.0,1.0,0.0,0.6111190319061279,0.12143663316965103,top1,261,0.0,0.3333333333333333,OK,"[0, 1, 2]",DINOV2_VITS14_QUERY__Drishti_GS__A0,1790394884.9035866,0.13107335567474365,160.68987678084522
3.476937706636818e-07,0.0031208673026412725,0.09997350722551346,0.9574139714241028,A0,0.0,0.0,0.0,0.0,14.81696605682373,DINOV2_VITS14_QUERY,0.0,0.0,2205de41b64a7eb263e72c2d4254d222ff813d4a,6e391c704a68e502cf568786c0784e72255b0cae9e08d02e78675867fec08a74,,ZERO_GRADIENT_NORM,,ZERO_GRADIENT_NORM,-0.2947973414696504,Drishti_GS,2600,28.982738494873047,3.476937706636818e-07,"[[1, 6, 5], [1, 6, 5]]",0.0,0.0,600,"[1.6309658323221824e-06, 1.6309658323221826e-05]",6,1,0.0,3.1404922689347208,29.71473540092757,1612191744,1650458624,development,"[2, 12, 10]",1.0,1.0,1.0,0.0,0.6173735857009888,0.11949969083070755,top1,261,0.0,0.3333333333333333,OK,"[0, 1, 2]",DINOV2_VITS14_QUERY__Drishti_GS__A0,1790394918.2596383,0.13118217885494232,194.04646273795515
2.8312206268310547e-07,0.0030914382077753544,0.0979178249835968,0.9574131965637207,A0,0.0,0.0,0.0,0.0,14.919994354248047,DINOV2_VITS14_QUERY,0.0,0.0,2205de41b64a7eb263e72c2d4254d222ff813d4a,6e391c704a68e502cf568786c0784e72255b0cae9e08d02e78675867fec08a74,,ZERO_GRADIENT_NORM,,ZERO_GRADIENT_NORM,0.5879382217357757,Drishti_GS,2700,37.542118072509766,2.8312206268310547e-07,"[[1, 6, 5], [1, 5, 6]]",0.0,0.0,700,"[1.2589254117941672e-06, 1.2589254117941671e-05]",6,1,0.0,4.831742862638875,34.490005078237445,1612191744,1650458624,development,"[2, 11, 11]",1.0,1.0,1.0,0.0,0.621666431427002,0.12166395038366318,top1,261,0.0,0.3333333333333333,OK,"[0, 1, 2]",DINOV2_VITS14_QUERY__Drishti_GS__A0,1790394950.0922382,0.12883220613002777,225.87730928184465
9.934107936260261e-08,0.0030120655428618193,0.08832411468029022,0.9574124813079834,A0,0.0,0.0,0.0,0.0,14.892842292785645,DINOV2_VITS14_QUERY,0.0,0.0,2205de41b64a7eb263e72c2d4254d222ff813d4a,6e391c704a68e502cf568786c0784e72255b0cae9e08d02e78675867fec08a74,,ZERO_GRADIENT_NORM,,ZERO_GRADIENT_NORM,0.00046012771714117555,Drishti_GS,2800,26.056974411010742,9.934107936260261e-08,"[[1, 5, 6], [1, 5, 6]]",0.0,0.0,800,"[8.740129486931664e-07, 8.740129486931664e-06]",6,1,0.0,4.496136736007727,25.68094678502731,1612191744,1650458624,development,"[2, 10, 12]",1.0,1.0,1.0,0.0,0.620535135269165,0.11650118976831436,top1,261,0.0,0.3333333333333333,OK,"[0, 1, 2]",DINOV2_VITS14_QUERY__Drishti_GS__A0,1790394983.1514747,0.1184447705745697,258.93719128193334
5.066394805908203e-07,0.0034121356438845396,0.09438594430685043,0.9574121236801147,A0,0.0,0.0,0.0,0.0,14.990607261657715,DINOV2_VITS14_QUERY,0.0,0.0,2205de41b64a7eb263e72c2d4254d222ff813d4a,6e391c704a68e502cf568786c0784e72255b0cae9e08d02e78675867fec08a74,,ZERO_GRADIENT_NORM,,ZERO_GRADIENT_NORM,0.10589617197114742,Drishti_GS,2900,20.702028274536133,5.066394805908203e-07,"[[1, 5, 6], [1, 5, 6]]",0.0,0.0,900,"[4.6837194216121526e-07, 4.683719421612152e-06]",6,1,0.0,4.262030543145939,19.78224199212793,1612191744,1650458624,development,"[2, 10, 12]",1.0,1.0,1.0,0.0,0.6246086359024048,0.11814974993467331,top1,261,0.0,0.3333333333333333,OK,"[0, 1, 2]",DINOV2_VITS14_QUERY__Drishti_GS__A0,1790395017.4570484,0.12850730121135712,293.2438887748867
8.940696716308594e-08,0.003253284376114607,0.10743056237697601,0.95741206407547,A0,0.0,0.0,0.0,0.0,14.905271530151367,DINOV2_VITS14_QUERY,0.0,0.0,2205de41b64a7eb263e72c2d4254d222ff813d4a,6e391c704a68e502cf568786c0784e72255b0cae9e08d02e78675867fec08a74,,ZERO_GRADIENT_NORM,,ZERO_GRADIENT_NORM,0.06822733931092141,Drishti_GS,3000,31.831727981567383,8.940696716308594e-08,"[[1, 5, 6], [1, 5, 6]]",0.0,0.0,1000,"[0.0, 0.0]",6,1,0.0,6.089483388541004,30.843781459329154,1612191744,1650458624,development,"[2, 10, 12]",1.0,1.0,1.0,0.0,0.6210529804229736,0.11534842103719711,top1,261,0.0,0.3333333333333333,OK,"[0, 1, 2]",DINOV2_VITS14_QUERY__Drishti_GS__A0,1790395047.9320335,0.13996340334415436,323.71712238900363
