arm,backbone,checkpoint_bytes,code_commit,committed_updates,config_digest,data_schedule_digest,deployment_equal,domain,global_step,latency_ms_mean,latency_ms_p95,model_initialization_digest,peak_allocated,peak_reserved,phase,prefix_sha,seed,status,task,trainable_parameters,training_seconds,updates_per_second
A0,UNET_QUERY_128,8317538,2205de41b64a7eb263e72c2d4254d222ff813d4a,1000,6e391c704a68e502cf568786c0784e72255b0cae9e08d02e78675867fec08a74,f0de6a35cdfcab3095a01a403be2c60d06f1af8101bb978bac059f61a9b6795f,True,Drishti_GS,3000,12.604932417161763,14.785686903633177,9186ff15a7cd3f5b666535c4e8741ac1590e5037d389220609a7dade716d529a,681178624,784334848,development,aab5919bd97de2a360c59097d3eab38a516e013c004947b27253ca769928dd32,261,COMPLETED,UNET_QUERY_128__Drishti_GS__A0,685220,182.75595361413434,5.471777965227722
A1,UNET_QUERY_128,11082016,2205de41b64a7eb263e72c2d4254d222ff813d4a,1000,6e391c704a68e502cf568786c0784e72255b0cae9e08d02e78675867fec08a74,f0de6a35cdfcab3095a01a403be2c60d06f1af8101bb978bac059f61a9b6795f,True,Drishti_GS,3000,9.446639381349087,13.784888805821538,9186ff15a7cd3f5b666535c4e8741ac1590e5037d389220609a7dade716d529a,809562112,882900992,development,aab5919bd97de2a360c59097d3eab38a516e013c004947b27253ca769928dd32,261,COMPLETED,UNET_QUERY_128__Drishti_GS__A1,685220,298.1523437690921,3.353990068830258
A2,UNET_QUERY_128,11082016,2205de41b64a7eb263e72c2d4254d222ff813d4a,1000,6e391c704a68e502cf568786c0784e72255b0cae9e08d02e78675867fec08a74,f0de6a35cdfcab3095a01a403be2c60d06f1af8101bb978bac059f61a9b6795f,True,Drishti_GS,3000,10.91843768954277,12.8792277071625,9186ff15a7cd3f5b666535c4e8741ac1590e5037d389220609a7dade716d529a,809824256,939524096,development,aab5919bd97de2a360c59097d3eab38a516e013c004947b27253ca769928dd32,261,COMPLETED,UNET_QUERY_128__Drishti_GS__A2,685220,305.6171923391521,3.272067230073469
A3,UNET_QUERY_128,11082016,2205de41b64a7eb263e72c2d4254d222ff813d4a,1000,6e391c704a68e502cf568786c0784e72255b0cae9e08d02e78675867fec08a74,f0de6a35cdfcab3095a01a403be2c60d06f1af8101bb978bac059f61a9b6795f,True,Drishti_GS,3000,13.580346386879683,16.75275517627597,9186ff15a7cd3f5b666535c4e8741ac1590e5037d389220609a7dade716d529a,809824256,939524096,development,aab5919bd97de2a360c59097d3eab38a516e013c004947b27253ca769928dd32,261,COMPLETED,UNET_QUERY_128__Drishti_GS__A3,685220,244.52052910579368,4.089636169433211
A4,UNET_QUERY_128,11082016,2205de41b64a7eb263e72c2d4254d222ff813d4a,1000,6e391c704a68e502cf568786c0784e72255b0cae9e08d02e78675867fec08a74,f0de6a35cdfcab3095a01a403be2c60d06f1af8101bb978bac059f61a9b6795f,True,Drishti_GS,3000,14.209148869849741,16.8666307348758,9186ff15a7cd3f5b666535c4e8741ac1590e5037d389220609a7dade716d529a,809824256,939524096,development,aab5919bd97de2a360c59097d3eab38a516e013c004947b27253ca769928dd32,261,COMPLETED,UNET_QUERY_128__Drishti_GS__A4,685220,308.0873551866971,3.245832661304819
A0,UNET_QUERY_128,8317538,2205de41b64a7eb263e72c2d4254d222ff813d4a,1000,6e391c704a68e502cf568786c0784e72255b0cae9e08d02e78675867fec08a74,c208ea5141f2b71772b5288cbb0d9fb1a867e70c5c134e6ce7961192b7a9eac4,True,RIM_ONE_r3,3000,7.853917079046369,7.882437878288329,9186ff15a7cd3f5b666535c4e8741ac1590e5037d389220609a7dade716d529a,681178624,784334848,development,fff5606f2e5b215c185d8055c27047cc5c37866e6bde8a97ccc44731bef457c9,261,COMPLETED,UNET_QUERY_128__RIM_ONE_r3__A0,685220,134.51844189828262,7.433924939125888
A1,UNET_QUERY_128,11082016,2205de41b64a7eb263e72c2d4254d222ff813d4a,1000,6e391c704a68e502cf568786c0784e72255b0cae9e08d02e78675867fec08a74,c208ea5141f2b71772b5288cbb0d9fb1a867e70c5c134e6ce7961192b7a9eac4,True,RIM_ONE_r3,3000,7.762487884610891,7.79657734092325,9186ff15a7cd3f5b666535c4e8741ac1590e5037d389220609a7dade716d529a,809562112,882900992,development,fff5606f2e5b215c185d8055c27047cc5c37866e6bde8a97ccc44731bef457c9,261,COMPLETED,UNET_QUERY_128__RIM_ONE_r3__A1,685220,182.91742441011593,5.466947740079248
A2,UNET_QUERY_128,11082016,2205de41b64a7eb263e72c2d4254d222ff813d4a,1000,6e391c704a68e502cf568786c0784e72255b0cae9e08d02e78675867fec08a74,c208ea5141f2b71772b5288cbb0d9fb1a867e70c5c134e6ce7961192b7a9eac4,True,RIM_ONE_r3,3000,8.303104410879314,8.527261344715956,9186ff15a7cd3f5b666535c4e8741ac1590e5037d389220609a7dade716d529a,809824256,941621248,development,fff5606f2e5b215c185d8055c27047cc5c37866e6bde8a97ccc44731bef457c9,261,COMPLETED,UNET_QUERY_128__RIM_ONE_r3__A2,685220,321.8435041611083,3.1071001498275397
A3,UNET_QUERY_128,11082016,2205de41b64a7eb263e72c2d4254d222ff813d4a,1000,6e391c704a68e502cf568786c0784e72255b0cae9e08d02e78675867fec08a74,c208ea5141f2b71772b5288cbb0d9fb1a867e70c5c134e6ce7961192b7a9eac4,True,RIM_ONE_r3,3000,13.083362090401351,14.101151912473142,9186ff15a7cd3f5b666535c4e8741ac1590e5037d389220609a7dade716d529a,809824256,939524096,development,fff5606f2e5b215c185d8055c27047cc5c37866e6bde8a97ccc44731bef457c9,261,COMPLETED,UNET_QUERY_128__RIM_ONE_r3__A3,685220,325.43559109512717,3.0728046573974535
A4,UNET_QUERY_128,11082016,2205de41b64a7eb263e72c2d4254d222ff813d4a,1000,6e391c704a68e502cf568786c0784e72255b0cae9e08d02e78675867fec08a74,c208ea5141f2b71772b5288cbb0d9fb1a867e70c5c134e6ce7961192b7a9eac4,True,RIM_ONE_r3,3000,13.922799029387534,14.032634091563523,9186ff15a7cd3f5b666535c4e8741ac1590e5037d389220609a7dade716d529a,809824256,939524096,development,fff5606f2e5b215c185d8055c27047cc5c37866e6bde8a97ccc44731bef457c9,261,COMPLETED,UNET_QUERY_128__RIM_ONE_r3__A4,685220,325.3264003940858,3.073835996060095
