backbone,arm,early_steps,samples,mean_clip_fraction
DINOV2_VITS14_QUERY,A1,"100,200,300",6,0.15972222511967024
DINOV2_VITS14_QUERY,A2,"100,200,300",6,0.2500000037252903
DINOV2_VITS14_QUERY,A3,"100,200,300",6,0.1736111162851254
DINOV2_VITS14_QUERY,A4,"100,200,300",6,0.18055556093653044
UNET_QUERY_128,A1,"100,200,300",6,0.02083333395421505
UNET_QUERY_128,A2,"100,200,300",6,0.07638888930281003
UNET_QUERY_128,A3,"100,200,300",6,0.027777778605620067
UNET_QUERY_128,A4,"100,200,300",6,0.17361111442248026
