backbone,code_commit,cos_grqa_orig_grqa_cc,cos_img_grqa_cc,cos_img_grqa_orig,cos_seg_grqa_cc,cos_seg_grqa_orig,cos_seg_img,data_schedule_digest,domain,norm_grqa_cc,norm_grqa_orig,norm_img,norm_seg,prefix_sha,seed,step,task
DINOV2_VITS14_QUERY,faa023324ece2294c4bd8fc855043500fc787985,0.5398354580425474,-0.05829283781930527,-0.041068131096150984,0.06967983765124114,0.04967170556519624,0.3296053843758279,f0de6a35cdfcab3095a01a403be2c60d06f1af8101bb978bac059f61a9b6795f,Drishti_GS,22.615623095305253,14.940294867649571,73.2562335499692,23.639496249957503,739345b836028009046474e8fa8c64f05815104b41cd4506aad0e8c87f9ed993,261,2000,DINOV2_VITS14_QUERY__Drishti_GS__A1
DINOV2_VITS14_QUERY,faa023324ece2294c4bd8fc855043500fc787985,0.49078117395227827,-0.0022798465283686655,-0.05900968945066553,-0.09293290749937384,-0.08621434374096029,0.1137220035634588,f0de6a35cdfcab3095a01a403be2c60d06f1af8101bb978bac059f61a9b6795f,Drishti_GS,22.431571224168827,18.567518052672607,87.28571256536631,22.20414223812193,739345b836028009046474e8fa8c64f05815104b41cd4506aad0e8c87f9ed993,261,2010,DINOV2_VITS14_QUERY__Drishti_GS__A1
DINOV2_VITS14_QUERY,faa023324ece2294c4bd8fc855043500fc787985,0.5156644984021143,-0.10070051655528507,-0.09508499121993946,0.024180569058911975,0.06761974424802226,-0.04802391128768559,f0de6a35cdfcab3095a01a403be2c60d06f1af8101bb978bac059f61a9b6795f,Drishti_GS,21.81451979071318,18.641560534608594,55.86594656480327,21.09097647157346,739345b836028009046474e8fa8c64f05815104b41cd4506aad0e8c87f9ed993,261,2020,DINOV2_VITS14_QUERY__Drishti_GS__A1
DINOV2_VITS14_QUERY,faa023324ece2294c4bd8fc855043500fc787985,0.6123124178574814,0.017808822686333464,-0.05260727828366932,0.06740623067503,0.11075909705995776,0.06914959823363576,f0de6a35cdfcab3095a01a403be2c60d06f1af8101bb978bac059f61a9b6795f,Drishti_GS,20.077759806541454,20.205006501918632,83.95357595800165,25.58304243387323,739345b836028009046474e8fa8c64f05815104b41cd4506aad0e8c87f9ed993,261,2030,DINOV2_VITS14_QUERY__Drishti_GS__A1
DINOV2_VITS14_QUERY,faa023324ece2294c4bd8fc855043500fc787985,0.48770858971022657,-0.05058867833763722,-0.17627432287836206,-0.06687482687412395,0.025086051479032787,0.29746870155153926,f0de6a35cdfcab3095a01a403be2c60d06f1af8101bb978bac059f61a9b6795f,Drishti_GS,21.84028524712165,20.295202189633905,44.0045212070384,32.60890377379284,739345b836028009046474e8fa8c64f05815104b41cd4506aad0e8c87f9ed993,261,2040,DINOV2_VITS14_QUERY__Drishti_GS__A1
DINOV2_VITS14_QUERY,faa023324ece2294c4bd8fc855043500fc787985,0.21374764963564494,-0.12998990519624254,0.040475074664344156,-0.05239654757898729,0.0475546940287908,0.38557450717606023,f0de6a35cdfcab3095a01a403be2c60d06f1af8101bb978bac059f61a9b6795f,Drishti_GS,22.485490249863595,16.264042309357265,104.1983970181574,51.83017431045562,739345b836028009046474e8fa8c64f05815104b41cd4506aad0e8c87f9ed993,261,2050,DINOV2_VITS14_QUERY__Drishti_GS__A1
DINOV2_VITS14_QUERY,faa023324ece2294c4bd8fc855043500fc787985,0.2932647312160561,-0.033833751620182005,0.08382217757618343,0.04615275568505435,0.1391281546215795,0.12825488663324758,f0de6a35cdfcab3095a01a403be2c60d06f1af8101bb978bac059f61a9b6795f,Drishti_GS,22.5600994942918,18.535032124474643,56.89151146446219,30.775667699055152,739345b836028009046474e8fa8c64f05815104b41cd4506aad0e8c87f9ed993,261,2060,DINOV2_VITS14_QUERY__Drishti_GS__A1
DINOV2_VITS14_QUERY,faa023324ece2294c4bd8fc855043500fc787985,0.4082412548202741,0.05820028931014982,-0.06671314342528659,-0.09949927415477229,0.018401881147671086,-0.09843489913394246,f0de6a35cdfcab3095a01a403be2c60d06f1af8101bb978bac059f61a9b6795f,Drishti_GS,21.955256380189727,21.64116175492885,56.10297336947716,27.059955416551876,739345b836028009046474e8fa8c64f05815104b41cd4506aad0e8c87f9ed993,261,2070,DINOV2_VITS14_QUERY__Drishti_GS__A1
DINOV2_VITS14_QUERY,faa023324ece2294c4bd8fc855043500fc787985,0.20819271089966382,-0.04852215472259378,-0.06017636167212718,0.2999198788926943,0.08360141460795951,-0.02067513518826732,f0de6a35cdfcab3095a01a403be2c60d06f1af8101bb978bac059f61a9b6795f,Drishti_GS,23.86115673467455,16.38176996792085,85.55521260965999,19.882582255495933,739345b836028009046474e8fa8c64f05815104b41cd4506aad0e8c87f9ed993,261,2080,DINOV2_VITS14_QUERY__Drishti_GS__A1
DINOV2_VITS14_QUERY,faa023324ece2294c4bd8fc855043500fc787985,0.04595119456141003,-0.03218059741077449,0.12629235651270262,0.06854076283573028,0.02840730613590532,-0.0005762635181576239,f0de6a35cdfcab3095a01a403be2c60d06f1af8101bb978bac059f61a9b6795f,Drishti_GS,23.48303996579722,16.26716952949051,96.3417449726988,44.550934469144906,739345b836028009046474e8fa8c64f05815104b41cd4506aad0e8c87f9ed993,261,2090,DINOV2_VITS14_QUERY__Drishti_GS__A1
