protocol_id,seed,transition,update_batch,variant,class_id,region,margin_agreement_before,margin_agreement_after,margin_agreement_delta,margin_abs_error_after,metric_function,hidden_gt_usage
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,0,X1,1,all,0.8027018820212352,0.8030290500310677,0.000327168009832568,0.19697094996893227,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,0,X1,1,boundary,0.7485211104847956,0.748552462486052,3.135200125636839e-05,0.251447537513948,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,0,X1,1,interior,0.8240149546477754,0.8244585028846221,0.0004435482368466692,0.17554149711537792,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,0,X1,2,all,0.8127206869826048,0.8126750244441985,-4.5662538406321396e-05,0.18732497555580152,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,0,X1,2,boundary,0.7305873604513775,0.7306279704043213,4.0609952943748695e-05,0.26937202959567874,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,0,X1,2,interior,0.8394034996510095,0.8393297900654486,-7.370958556085494e-05,0.1606702099345514,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,1,X0,0,all,0.9880842600079781,0.9881024637778731,1.820376989503103e-05,0.011897536222126859,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,1,X0,0,boundary,0.8314975591203475,0.8316773796238268,0.000179820503479311,0.16832262037617318,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,1,X0,0,interior,0.9910673158695831,0.9910824574696073,1.5141600024248802e-05,0.008917542530392675,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,1,X0,1,all,0.8027018820212352,0.8028295139767383,0.000127631955503138,0.1971704860232617,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,1,X0,1,boundary,0.7485211104847956,0.7485783617788251,5.725129402944784e-05,0.2514216382211749,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
