batch_id,block,candidate,cosine,domain,dot,negative_cosine,pair_index,seed,stage_index,supervised_norm,supervised_zero,undefined_reason,unsupervised_norm,unsupervised_zero
B0/seed0/stage0/REFUGE/pair00,encoder,Q0,-0.43148407094265095,REFUGE,-0.0331580963887589,True,0,0,0,0.3421462687844098,False,,0.2246016869754919,False
B0/seed0/stage0/REFUGE/pair00,encoder,Q1,-0.4123574020387806,REFUGE,-0.0568981068275788,True,0,0,0,0.3421462687844098,False,,0.4032851340808375,False
B0/seed0/stage0/REFUGE/pair00,bottleneck,Q0,-0.8061948307887761,REFUGE,-0.0006405209469226609,True,0,0,0,0.05273349924161261,False,,0.015066304377284317,False
B0/seed0/stage0/REFUGE/pair00,bottleneck,Q1,-0.8175281340750173,REFUGE,-0.001353091047108468,True,0,0,0,0.05273349924161261,False,,0.03138612661923662,False
B0/seed0/stage0/REFUGE/pair00,dec3,Q0,-0.9105833973830874,REFUGE,-0.0002758730935869122,True,0,0,0,0.029282876828770215,False,,0.01034608105908537,False
B0/seed0/stage0/REFUGE/pair00,dec3,Q1,-0.8749253802965076,REFUGE,-0.0005686621497226943,True,0,0,0,0.029282876828770215,False,,0.022195736826957236,False
B0/seed0/stage0/REFUGE/pair00,dec2,Q0,-0.2877327057842433,REFUGE,-5.0156821064477406e-05,True,0,0,0,0.027415237284410737,False,,0.006358413452202696,False
B0/seed0/stage0/REFUGE/pair00,dec2,Q1,-0.41297156747161695,REFUGE,-0.0001168046855087831,True,0,0,0,0.027415237284410737,False,,0.010316873445425792,False
B0/seed0/stage0/REFUGE/pair00,dec1,Q0,-0.6053770378527873,REFUGE,-0.05589377667804958,True,0,0,0,0.49600768933092376,False,,0.18614402575795816,False
B0/seed0/stage0/REFUGE/pair00,dec1,Q1,-0.6560588826912483,REFUGE,-0.07690084948174472,True,0,0,0,0.49600768933092376,False,,0.23631968990214183,False
B0/seed0/stage0/REFUGE/pair00,classifier.mu,Q0,-0.9371044414743164,REFUGE,-0.2314811427359754,True,0,0,0,0.829207198203823,False,,0.2978959219110624,False
B0/seed0/stage0/REFUGE/pair00,classifier.mu,Q1,-0.9355110751224562,REFUGE,-0.23782213337972802,True,0,0,0,0.829207198203823,False,,0.3065774967754993,False
B0/seed0/stage2/Drishti_GS/pair01,encoder,Q0,-0.7501142231898246,Drishti_GS,-0.05738734890480646,True,1,0,2,0.6624427676441944,False,,0.11548894099938609,False
B0/seed0/stage2/Drishti_GS/pair01,encoder,Q1,-0.6134700284872526,Drishti_GS,-0.036051201964267615,True,1,0,2,0.6624427676441944,False,,0.08871111463859867,False
B0/seed0/stage2/Drishti_GS/pair01,bottleneck,Q0,-0.06249833083944758,Drishti_GS,-8.07101703400046e-06,True,1,0,2,0.044780558822919606,False,,0.002883834521439045,False
