panel_id,seed,stage_index,domain,role,source,checkpoint_id,checkpoint_sha256,sampling_plan_sha256,sampling_unit_sha256,case_id,class_id,registered_count,active_count,null_count,null_fraction,weighted_null_mass,minimum_positive_norm,p01_positive_norm,median_positive_norm,max_positive_norm,full_map_exact_zero_count,full_map_nonfinite_count,registered_nonfinite_count,exact_coordinate_hash,null_coordinate_hash,first_null_coordinates,normalization_applied_to_null
B0-EMA,0,0,REFUGE,train_labeled,ema_teacher,B0/seed0/stage0,2bd834c0e0bb4183bfa5cc9a0319c9b796b67e5f2b7e2d746a5f5942596b3a3c,96277c841165d8cd84a63d3d4a9301b27c50dcdd87d0b0d215c162d95c345e24,a88b03fbe513697b255e79cf59d9927ba6272d67911116f207b2193a6c83f0ab,REFUGE_test_n0197,1,1887,1887,0,0.0,0.0,0.5656140742929749,0.8842736746818196,1.842594626686652,4.706070776466796,0,0,0,9ea807d28cefdcdbd3876d101270a8633de9ca445007e01d4bd42348a13070cc,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],False
B0-EMA,0,0,REFUGE,train_labeled,ema_teacher,B0/seed0/stage0,2bd834c0e0bb4183bfa5cc9a0319c9b796b67e5f2b7e2d746a5f5942596b3a3c,96277c841165d8cd84a63d3d4a9301b27c50dcdd87d0b0d215c162d95c345e24,a88b03fbe513697b255e79cf59d9927ba6272d67911116f207b2193a6c83f0ab,REFUGE_test_n0197,2,1887,1887,0,0.0,0.0,0.8734815784486801,1.1600676455444785,2.935729914148487,4.940994308112294,0,0,0,35993b7891e421941aae8fce3446fef1b8960e18cc3c4844291a07ebff59eb5e,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],False
B0-EMA,0,0,REFUGE,train_labeled,ema_teacher,B0/seed0/stage0,2bd834c0e0bb4183bfa5cc9a0319c9b796b67e5f2b7e2d746a5f5942596b3a3c,96277c841165d8cd84a63d3d4a9301b27c50dcdd87d0b0d215c162d95c345e24,a88b03fbe513697b255e79cf59d9927ba6272d67911116f207b2193a6c83f0ab,REFUGE_test_n0291,0,1887,1887,0,0.0,0.0,0.5932277954912188,0.9783126714803205,2.3378179839923163,7.4382579540149445,0,0,0,1a067e9b18532075a457f96c79b3467c4aef98ea2cf4d0bea81338b970f96799,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],False
B0-EMA,0,0,REFUGE,train_labeled,ema_teacher,B0/seed0/stage0,2bd834c0e0bb4183bfa5cc9a0319c9b796b67e5f2b7e2d746a5f5942596b3a3c,96277c841165d8cd84a63d3d4a9301b27c50dcdd87d0b0d215c162d95c345e24,a88b03fbe513697b255e79cf59d9927ba6272d67911116f207b2193a6c83f0ab,REFUGE_test_n0291,1,1887,1887,0,0.0,0.0,0.5720082283808888,0.9632841575589335,2.3474242200768813,4.5102033525238046,0,0,0,a62fea9da885d36176560c1d7af7a2e667b1a592052004988b4193931a7f324b,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],False
B0-EMA,0,0,REFUGE,train_labeled,ema_teacher,B0/seed0/stage0,2bd834c0e0bb4183bfa5cc9a0319c9b796b67e5f2b7e2d746a5f5942596b3a3c,96277c841165d8cd84a63d3d4a9301b27c50dcdd87d0b0d215c162d95c345e24,a88b03fbe513697b255e79cf59d9927ba6272d67911116f207b2193a6c83f0ab,REFUGE_test_n0291,2,1887,1887,0,0.0,0.0,0.7215341677877024,1.5148019735931788,2.8937018760343136,5.462827060422715,0,0,0,1a55314ef46eba605d2ca79c1d4591ca85bbe51e0be701d164f2199a1ad1ada7,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],False
B0-EMA,0,0,REFUGE,train_labeled,ema_teacher,B0/seed0/stage0,2bd834c0e0bb4183bfa5cc9a0319c9b796b67e5f2b7e2d746a5f5942596b3a3c,96277c841165d8cd84a63d3d4a9301b27c50dcdd87d0b0d215c162d95c345e24,a88b03fbe513697b255e79cf59d9927ba6272d67911116f207b2193a6c83f0ab,REFUGE_test_n0305,0,1887,1887,0,0.0,0.0,0.817592484321165,1.006004611031382,2.1412738469746277,6.162289445434077,0,0,0,4d90173127d96f72f59652a4b8f6451dcc9c677e16a0ebea6688d6a4b73c780d,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],False
B0-EMA,0,0,REFUGE,train_labeled,ema_teacher,B0/seed0/stage0,2bd834c0e0bb4183bfa5cc9a0319c9b796b67e5f2b7e2d746a5f5942596b3a3c,96277c841165d8cd84a63d3d4a9301b27c50dcdd87d0b0d215c162d95c345e24,a88b03fbe513697b255e79cf59d9927ba6272d67911116f207b2193a6c83f0ab,REFUGE_test_n0305,1,1887,1887,0,0.0,0.0,0.8340467944222874,1.0204031116038619,1.9531857896877436,4.6833357100715,0,0,0,44da87e9e5379d127e6ed74b7e138960dd761a8ec9c0415c89aabe9d19b5beb3,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],False
B0-EMA,0,0,REFUGE,train_labeled,ema_teacher,B0/seed0/stage0,2bd834c0e0bb4183bfa5cc9a0319c9b796b67e5f2b7e2d746a5f5942596b3a3c,96277c841165d8cd84a63d3d4a9301b27c50dcdd87d0b0d215c162d95c345e24,a88b03fbe513697b255e79cf59d9927ba6272d67911116f207b2193a6c83f0ab,REFUGE_test_n0305,2,1887,1887,0,0.0,0.0,0.7640949268868894,1.029341994234576,2.5461739482385704,6.353501639975321,0,0,0,e8a8bebb062c4f48f0f7b366d1b2043d93723074d8aac01c82e12d2bd8603ccf,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],False
B0-EMA,0,0,REFUGE,train_labeled,ema_teacher,B0/seed0/stage0,2bd834c0e0bb4183bfa5cc9a0319c9b796b67e5f2b7e2d746a5f5942596b3a3c,96277c841165d8cd84a63d3d4a9301b27c50dcdd87d0b0d215c162d95c345e24,a88b03fbe513697b255e79cf59d9927ba6272d67911116f207b2193a6c83f0ab,REFUGE_test_n0331,0,1887,1887,0,0.0,0.0,0.7028421864757557,0.9953212917752865,2.325848518555317,7.649380394229313,0,0,0,b6a5940d79e7db11fb45ba139f625a2c9318548662470cee4e7fd5ad7a27d7e9,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],False
B0-EMA,0,0,REFUGE,train_labeled,ema_teacher,B0/seed0/stage0,2bd834c0e0bb4183bfa5cc9a0319c9b796b67e5f2b7e2d746a5f5942596b3a3c,96277c841165d8cd84a63d3d4a9301b27c50dcdd87d0b0d215c162d95c345e24,a88b03fbe513697b255e79cf59d9927ba6272d67911116f207b2193a6c83f0ab,REFUGE_test_n0331,1,1887,1887,0,0.0,0.0,0.6246485223836199,0.8301910847618266,2.0411231326634205,4.053438217527723,0,0,0,b2fccdaca3fdb7b278dabaefb8f79cdde5fd8ab5bafd77e530b7977ce908ba8b,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],False
B0-EMA,0,0,REFUGE,train_labeled,ema_teacher,B0/seed0/stage0,2bd834c0e0bb4183bfa5cc9a0319c9b796b67e5f2b7e2d746a5f5942596b3a3c,96277c841165d8cd84a63d3d4a9301b27c50dcdd87d0b0d215c162d95c345e24,a88b03fbe513697b255e79cf59d9927ba6272d67911116f207b2193a6c83f0ab,REFUGE_test_n0331,2,1887,1887,0,0.0,0.0,1.1727401923786687,1.6102678752078685,3.1294474902157927,7.163524738309189,0,0,0,0fb61e99084c21ce216566f10b9bba301dd70e093ed78fc5eced206cea5ccbfc,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],False
B0-EMA,0,0,REFUGE,train_labeled,ema_teacher,B0/seed0/stage0,2bd834c0e0bb4183bfa5cc9a0319c9b796b67e5f2b7e2d746a5f5942596b3a3c,96277c841165d8cd84a63d3d4a9301b27c50dcdd87d0b0d215c162d95c345e24,a88b03fbe513697b255e79cf59d9927ba6272d67911116f207b2193a6c83f0ab,REFUGE_train_g0010,0,1887,1887,0,0.0,0.0,0.7243973260135947,1.058833470716118,2.3851940797647995,7.520249095627725,0,0,0,45fb06013efae70c14c4b40917906fc477074d23e574f5a4235ae6464c6eed0e,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],False
B0-EMA,0,0,REFUGE,train_labeled,ema_teacher,B0/seed0/stage0,2bd834c0e0bb4183bfa5cc9a0319c9b796b67e5f2b7e2d746a5f5942596b3a3c,96277c841165d8cd84a63d3d4a9301b27c50dcdd87d0b0d215c162d95c345e24,a88b03fbe513697b255e79cf59d9927ba6272d67911116f207b2193a6c83f0ab,REFUGE_train_g0010,1,1887,1887,0,0.0,0.0,0.4934453736719515,0.743755965276634,1.936796831472757,3.7188696871661526,0,0,0,56b72ff80fe9901f3586530e91efa3505c1d7f60f3589c95b7cf4f60d7e9fc4a,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],False
B0-EMA,0,0,REFUGE,train_labeled,ema_teacher,B0/seed0/stage0,2bd834c0e0bb4183bfa5cc9a0319c9b796b67e5f2b7e2d746a5f5942596b3a3c,96277c841165d8cd84a63d3d4a9301b27c50dcdd87d0b0d215c162d95c345e24,a88b03fbe513697b255e79cf59d9927ba6272d67911116f207b2193a6c83f0ab,REFUGE_train_g0010,2,1887,1887,0,0.0,0.0,0.5830790870588852,1.254859707704101,3.2729702568111163,6.868915426830643,0,0,0,85bd03aec9d9a96227a8d2b2b04c694afb11e3a17100ff493b989ecf312042b9,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],False
B0-EMA,0,0,REFUGE,train_labeled,ema_teacher,B0/seed0/stage0,2bd834c0e0bb4183bfa5cc9a0319c9b796b67e5f2b7e2d746a5f5942596b3a3c,96277c841165d8cd84a63d3d4a9301b27c50dcdd87d0b0d215c162d95c345e24,a88b03fbe513697b255e79cf59d9927ba6272d67911116f207b2193a6c83f0ab,REFUGE_train_g0028,0,1887,1887,0,0.0,0.0,0.6593096033613951,1.248647379219457,2.4797739171173556,9.005461457103962,0,0,0,cb16433fe1f749bc04eb7841b0d010c65dbd3259b4d0161da289d0f995281c5f,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],False
B0-EMA,0,0,REFUGE,train_labeled,ema_teacher,B0/seed0/stage0,2bd834c0e0bb4183bfa5cc9a0319c9b796b67e5f2b7e2d746a5f5942596b3a3c,96277c841165d8cd84a63d3d4a9301b27c50dcdd87d0b0d215c162d95c345e24,a88b03fbe513697b255e79cf59d9927ba6272d67911116f207b2193a6c83f0ab,REFUGE_train_g0028,1,1887,1887,0,0.0,0.0,0.5650140056916746,0.8286609184765983,1.9761289913844762,4.0210509989095,0,0,0,b7981f97256d6274c1a767a65547e8cdf8a7195d3d2aaa3292ff5d2ced5a537e,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],False
B0-EMA,0,0,REFUGE,train_labeled,ema_teacher,B0/seed0/stage0,2bd834c0e0bb4183bfa5cc9a0319c9b796b67e5f2b7e2d746a5f5942596b3a3c,96277c841165d8cd84a63d3d4a9301b27c50dcdd87d0b0d215c162d95c345e24,a88b03fbe513697b255e79cf59d9927ba6272d67911116f207b2193a6c83f0ab,REFUGE_train_g0028,2,1887,1887,0,0.0,0.0,0.723434138178635,1.0854391117985656,3.3564761959996305,6.367360976323888,0,0,0,32c317b2707ab0ed789fb159462c05b2f4d9cd5bba211bb3666c1bcbec4c534a,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],False
B0-EMA,0,0,REFUGE,train_labeled,ema_teacher,B0/seed0/stage0,2bd834c0e0bb4183bfa5cc9a0319c9b796b67e5f2b7e2d746a5f5942596b3a3c,96277c841165d8cd84a63d3d4a9301b27c50dcdd87d0b0d215c162d95c345e24,a88b03fbe513697b255e79cf59d9927ba6272d67911116f207b2193a6c83f0ab,REFUGE_train_g0039,0,1887,1887,0,0.0,0.0,0.7177852652713799,0.95906859430648,2.045909962716246,7.408105108276768,0,0,0,84a6b55c847bb44e21dc681b5cc75bbf3bdf7a8416131beb3fb9cf7fe5b7af10,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],False
B0-EMA,0,0,REFUGE,train_labeled,ema_teacher,B0/seed0/stage0,2bd834c0e0bb4183bfa5cc9a0319c9b796b67e5f2b7e2d746a5f5942596b3a3c,96277c841165d8cd84a63d3d4a9301b27c50dcdd87d0b0d215c162d95c345e24,a88b03fbe513697b255e79cf59d9927ba6272d67911116f207b2193a6c83f0ab,REFUGE_train_g0039,1,1887,1887,0,0.0,0.0,0.6924557503282909,0.8831146907518944,2.0640309573578075,4.262275172081349,0,0,0,ab371fa498a84c79e0d4cea7484f95a8c06629b91d569eedcb9840304eafac3a,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],False
B0-EMA,0,0,REFUGE,train_labeled,ema_teacher,B0/seed0/stage0,2bd834c0e0bb4183bfa5cc9a0319c9b796b67e5f2b7e2d746a5f5942596b3a3c,96277c841165d8cd84a63d3d4a9301b27c50dcdd87d0b0d215c162d95c345e24,a88b03fbe513697b255e79cf59d9927ba6272d67911116f207b2193a6c83f0ab,REFUGE_train_g0039,2,1887,1887,0,0.0,0.0,0.5780857809233306,1.0151849290817823,2.538116056508292,5.594379303317662,0,0,0,e0254c42de806f0d0c6f1e7cc99524b21048b4a67a5b67e043db75284efa9055,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],False
B0-EMA,0,0,REFUGE,train_labeled,ema_teacher,B0/seed0/stage0,2bd834c0e0bb4183bfa5cc9a0319c9b796b67e5f2b7e2d746a5f5942596b3a3c,96277c841165d8cd84a63d3d4a9301b27c50dcdd87d0b0d215c162d95c345e24,a88b03fbe513697b255e79cf59d9927ba6272d67911116f207b2193a6c83f0ab,REFUGE_train_n0007,0,1887,1887,0,0.0,0.0,0.6766452557397575,1.0204804438943116,2.1008398564403263,7.215453125375922,0,0,0,994033ad0e875cf0229e279170b3b3ee666dce9f08dba79b98a152d3c0220551,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],False
B0-EMA,0,0,REFUGE,train_labeled,ema_teacher,B0/seed0/stage0,2bd834c0e0bb4183bfa5cc9a0319c9b796b67e5f2b7e2d746a5f5942596b3a3c,96277c841165d8cd84a63d3d4a9301b27c50dcdd87d0b0d215c162d95c345e24,a88b03fbe513697b255e79cf59d9927ba6272d67911116f207b2193a6c83f0ab,REFUGE_train_n0007,1,1887,1887,0,0.0,0.0,0.645994194349902,0.8612500459464515,1.9454538439573632,3.898067489882886,0,0,0,bf7e6ccd75318be40d1e5d71274f43a7a98f357fc92b27353c6c5851e9823f57,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],False
B0-EMA,0,0,REFUGE,train_labeled,ema_teacher,B0/seed0/stage0,2bd834c0e0bb4183bfa5cc9a0319c9b796b67e5f2b7e2d746a5f5942596b3a3c,96277c841165d8cd84a63d3d4a9301b27c50dcdd87d0b0d215c162d95c345e24,a88b03fbe513697b255e79cf59d9927ba6272d67911116f207b2193a6c83f0ab,REFUGE_train_n0007,2,1887,1887,0,0.0,0.0,0.5473753240603456,1.188365144910527,2.6580636110938376,4.886757012490342,0,0,0,77dac21133e1c444223d209eb013aee392b8f6680f1a30773faad502b6ff551c,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],False
B0-EMA,0,0,REFUGE,train_labeled,ema_teacher,B0/seed0/stage0,2bd834c0e0bb4183bfa5cc9a0319c9b796b67e5f2b7e2d746a5f5942596b3a3c,96277c841165d8cd84a63d3d4a9301b27c50dcdd87d0b0d215c162d95c345e24,a88b03fbe513697b255e79cf59d9927ba6272d67911116f207b2193a6c83f0ab,REFUGE_train_n0017,0,1887,1887,0,0.0,0.0,0.722245345034372,1.0621423730433077,2.3427068733419283,8.873218227650963,0,0,0,e4fb4ff77f79ae341f0ea1d9a4f8260400675bf442b56d5b43d4e2b13143240c,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[],False
