panel_id,feature_units,total_registered,total_active,total_null,null_mass_by_class,maximum_case_class_null_fraction,cases_with_no_active_directions,all_finite
B0-EMA,18,2790435,2790418,17,"{'0': 0.0, '1': 4.985868221162339e-06, '2': 4.14443132733574e-06}",0.0035714285714285713,0,True
B0-student,18,2790435,2790435,0,"{'0': 0.0, '1': 0.0, '2': 0.0}",0.0,0,True
C0-EMA,18,2790435,2790430,5,"{'0': 0.0, '1': 4.817006585664777e-06, '2': 3.9682539682539683e-07}",0.000851063829787234,0,True
C0-student,18,2790435,2790435,0,"{'0': 0.0, '1': 0.0, '2': 0.0}",0.0,0,True
