panel_id,seed,stage_index,domain,role,total_registered,total_active,total_null,null_mass_by_class,maximum_case_class_null_fraction,cases_with_no_active_directions,all_finite
B0-EMA,0,0,REFUGE,train_labeled,226440,226440,0,"{'0': 0.0, '1': 0.0, '2': 0.0}",0.0,[],True
B0-EMA,0,0,REFUGE,val,478800,478800,0,"{'0': 0.0, '1': 0.0, '2': 0.0}",0.0,[],True
B0-EMA,0,1,RIM_ONE_r3,train_labeled,53520,53520,0,"{'0': 0.0, '1': 0.0, '2': 0.0}",0.0,[],True
B0-EMA,0,1,RIM_ONE_r3,val,66600,66600,0,"{'0': 0.0, '1': 0.0, '2': 0.0}",0.0,[],True
B0-EMA,0,2,Drishti_GS,train_labeled,47880,47880,0,"{'0': 0.0, '1': 0.0, '2': 0.0}",0.0,[],True
B0-EMA,0,2,Drishti_GS,val,38175,38175,0,"{'0': 0.0, '1': 0.0, '2': 0.0}",0.0,[],True
B0-EMA,1,0,REFUGE,train_labeled,168000,168000,0,"{'0': 0.0, '1': 0.0, '2': 0.0}",0.0,[],True
B0-EMA,1,0,REFUGE,val,427500,427500,0,"{'0': 0.0, '1': 0.0, '2': 0.0}",0.0,[],True
B0-EMA,1,1,RIM_ONE_r3,train_labeled,56400,56400,0,"{'0': 0.0, '1': 0.0, '2': 0.0}",0.0,[],True
B0-EMA,1,1,RIM_ONE_r3,val,72480,72480,0,"{'0': 0.0, '1': 0.0, '2': 0.0}",0.0,[],True
B0-EMA,1,2,Drishti_GS,train_labeled,61440,61440,0,"{'0': 0.0, '1': 0.0, '2': 0.0}",0.0,[],True
B0-EMA,1,2,Drishti_GS,val,153600,153600,0,"{'0': 0.0, '1': 0.0, '2': 0.0}",0.0,[],True
B0-EMA,2,0,REFUGE,train_labeled,226440,226435,5,"{'0': 0.0, '1': 3.97456279809221e-05, '2': 2.6497085320614733e-05}",0.0005299417064122947,[],True
B0-EMA,2,0,REFUGE,val,420000,419989,11,"{'0': 0.0, '1': 4.9999999999999996e-05, '2': 2.857142857142857e-05}",0.0035714285714285713,[],True
B0-EMA,2,1,RIM_ONE_r3,train_labeled,50400,50400,0,"{'0': 0.0, '1': 0.0, '2': 0.0}",0.0,[],True
B0-EMA,2,1,RIM_ONE_r3,val,27720,27720,0,"{'0': 0.0, '1': 0.0, '2': 0.0}",0.0,[],True
B0-EMA,2,2,Drishti_GS,train_labeled,61440,61440,0,"{'0': 0.0, '1': 0.0, '2': 0.0}",0.0,[],True
B0-EMA,2,2,Drishti_GS,val,153600,153599,1,"{'0': 0.0, '1': 0.0, '2': 1.953125e-05}",0.00048828125,[],True
B0-student,0,0,REFUGE,train_labeled,226440,226440,0,"{'0': 0.0, '1': 0.0, '2': 0.0}",0.0,[],True
B0-student,0,0,REFUGE,val,478800,478800,0,"{'0': 0.0, '1': 0.0, '2': 0.0}",0.0,[],True
B0-student,0,1,RIM_ONE_r3,train_labeled,53520,53520,0,"{'0': 0.0, '1': 0.0, '2': 0.0}",0.0,[],True
B0-student,0,1,RIM_ONE_r3,val,66600,66600,0,"{'0': 0.0, '1': 0.0, '2': 0.0}",0.0,[],True
B0-student,0,2,Drishti_GS,train_labeled,47880,47880,0,"{'0': 0.0, '1': 0.0, '2': 0.0}",0.0,[],True
B0-student,0,2,Drishti_GS,val,38175,38175,0,"{'0': 0.0, '1': 0.0, '2': 0.0}",0.0,[],True
B0-student,1,0,REFUGE,train_labeled,168000,168000,0,"{'0': 0.0, '1': 0.0, '2': 0.0}",0.0,[],True
B0-student,1,0,REFUGE,val,427500,427500,0,"{'0': 0.0, '1': 0.0, '2': 0.0}",0.0,[],True
B0-student,1,1,RIM_ONE_r3,train_labeled,56400,56400,0,"{'0': 0.0, '1': 0.0, '2': 0.0}",0.0,[],True
B0-student,1,1,RIM_ONE_r3,val,72480,72480,0,"{'0': 0.0, '1': 0.0, '2': 0.0}",0.0,[],True
B0-student,1,2,Drishti_GS,train_labeled,61440,61440,0,"{'0': 0.0, '1': 0.0, '2': 0.0}",0.0,[],True
B0-student,1,2,Drishti_GS,val,153600,153600,0,"{'0': 0.0, '1': 0.0, '2': 0.0}",0.0,[],True
B0-student,2,0,REFUGE,train_labeled,226440,226440,0,"{'0': 0.0, '1': 0.0, '2': 0.0}",0.0,[],True
B0-student,2,0,REFUGE,val,420000,420000,0,"{'0': 0.0, '1': 0.0, '2': 0.0}",0.0,[],True
B0-student,2,1,RIM_ONE_r3,train_labeled,50400,50400,0,"{'0': 0.0, '1': 0.0, '2': 0.0}",0.0,[],True
B0-student,2,1,RIM_ONE_r3,val,27720,27720,0,"{'0': 0.0, '1': 0.0, '2': 0.0}",0.0,[],True
B0-student,2,2,Drishti_GS,train_labeled,61440,61440,0,"{'0': 0.0, '1': 0.0, '2': 0.0}",0.0,[],True
B0-student,2,2,Drishti_GS,val,153600,153600,0,"{'0': 0.0, '1': 0.0, '2': 0.0}",0.0,[],True
C0-EMA,0,0,REFUGE,train_labeled,226440,226440,0,"{'0': 0.0, '1': 0.0, '2': 0.0}",0.0,[],True
C0-EMA,0,0,REFUGE,val,478800,478800,0,"{'0': 0.0, '1': 0.0, '2': 0.0}",0.0,[],True
C0-EMA,0,1,RIM_ONE_r3,train_labeled,53520,53520,0,"{'0': 0.0, '1': 0.0, '2': 0.0}",0.0,[],True
C0-EMA,0,1,RIM_ONE_r3,val,66600,66600,0,"{'0': 0.0, '1': 0.0, '2': 0.0}",0.0,[],True
C0-EMA,0,2,Drishti_GS,train_labeled,47880,47880,0,"{'0': 0.0, '1': 0.0, '2': 0.0}",0.0,[],True
C0-EMA,0,2,Drishti_GS,val,38175,38175,0,"{'0': 0.0, '1': 0.0, '2': 0.0}",0.0,[],True
C0-EMA,1,0,REFUGE,train_labeled,168000,168000,0,"{'0': 0.0, '1': 0.0, '2': 0.0}",0.0,[],True
C0-EMA,1,0,REFUGE,val,427500,427499,1,"{'0': 0.0, '1': 7.017543859649122e-06, '2': 0.0}",0.0007017543859649122,[],True
C0-EMA,1,1,RIM_ONE_r3,train_labeled,56400,56399,1,"{'0': 0.0, '1': 5.319148936170213e-05, '2': 0.0}",0.000851063829787234,[],True
C0-EMA,1,1,RIM_ONE_r3,val,72480,72480,0,"{'0': 0.0, '1': 0.0, '2': 0.0}",0.0,[],True
C0-EMA,1,2,Drishti_GS,train_labeled,61440,61440,0,"{'0': 0.0, '1': 0.0, '2': 0.0}",0.0,[],True
C0-EMA,1,2,Drishti_GS,val,153600,153600,0,"{'0': 0.0, '1': 0.0, '2': 0.0}",0.0,[],True
C0-EMA,2,0,REFUGE,train_labeled,226440,226438,2,"{'0': 0.0, '1': 2.6497085320614733e-05, '2': 0.0}",0.0005299417064122947,[],True
C0-EMA,2,0,REFUGE,val,420000,419999,1,"{'0': 0.0, '1': 0.0, '2': 7.142857142857143e-06}",0.0007142857142857143,[],True
C0-EMA,2,1,RIM_ONE_r3,train_labeled,50400,50400,0,"{'0': 0.0, '1': 0.0, '2': 0.0}",0.0,[],True
C0-EMA,2,1,RIM_ONE_r3,val,27720,27720,0,"{'0': 0.0, '1': 0.0, '2': 0.0}",0.0,[],True
C0-EMA,2,2,Drishti_GS,train_labeled,61440,61440,0,"{'0': 0.0, '1': 0.0, '2': 0.0}",0.0,[],True
C0-EMA,2,2,Drishti_GS,val,153600,153600,0,"{'0': 0.0, '1': 0.0, '2': 0.0}",0.0,[],True
C0-student,0,0,REFUGE,train_labeled,226440,226440,0,"{'0': 0.0, '1': 0.0, '2': 0.0}",0.0,[],True
C0-student,0,0,REFUGE,val,478800,478800,0,"{'0': 0.0, '1': 0.0, '2': 0.0}",0.0,[],True
C0-student,0,1,RIM_ONE_r3,train_labeled,53520,53520,0,"{'0': 0.0, '1': 0.0, '2': 0.0}",0.0,[],True
C0-student,0,1,RIM_ONE_r3,val,66600,66600,0,"{'0': 0.0, '1': 0.0, '2': 0.0}",0.0,[],True
C0-student,0,2,Drishti_GS,train_labeled,47880,47880,0,"{'0': 0.0, '1': 0.0, '2': 0.0}",0.0,[],True
C0-student,0,2,Drishti_GS,val,38175,38175,0,"{'0': 0.0, '1': 0.0, '2': 0.0}",0.0,[],True
C0-student,1,0,REFUGE,train_labeled,168000,168000,0,"{'0': 0.0, '1': 0.0, '2': 0.0}",0.0,[],True
C0-student,1,0,REFUGE,val,427500,427500,0,"{'0': 0.0, '1': 0.0, '2': 0.0}",0.0,[],True
C0-student,1,1,RIM_ONE_r3,train_labeled,56400,56400,0,"{'0': 0.0, '1': 0.0, '2': 0.0}",0.0,[],True
C0-student,1,1,RIM_ONE_r3,val,72480,72480,0,"{'0': 0.0, '1': 0.0, '2': 0.0}",0.0,[],True
C0-student,1,2,Drishti_GS,train_labeled,61440,61440,0,"{'0': 0.0, '1': 0.0, '2': 0.0}",0.0,[],True
C0-student,1,2,Drishti_GS,val,153600,153600,0,"{'0': 0.0, '1': 0.0, '2': 0.0}",0.0,[],True
C0-student,2,0,REFUGE,train_labeled,226440,226440,0,"{'0': 0.0, '1': 0.0, '2': 0.0}",0.0,[],True
C0-student,2,0,REFUGE,val,420000,420000,0,"{'0': 0.0, '1': 0.0, '2': 0.0}",0.0,[],True
C0-student,2,1,RIM_ONE_r3,train_labeled,50400,50400,0,"{'0': 0.0, '1': 0.0, '2': 0.0}",0.0,[],True
C0-student,2,1,RIM_ONE_r3,val,27720,27720,0,"{'0': 0.0, '1': 0.0, '2': 0.0}",0.0,[],True
C0-student,2,2,Drishti_GS,train_labeled,61440,61440,0,"{'0': 0.0, '1': 0.0, '2': 0.0}",0.0,[],True
C0-student,2,2,Drishti_GS,val,153600,153600,0,"{'0': 0.0, '1': 0.0, '2': 0.0}",0.0,[],True
