panel_id,seed,stage_index,domain,class_id,K,replicate,slot,matched_cosine,directional_support
B0-EMA,0,0,REFUGE,0,1,0,0,0.9998512839613016,PRESENT
B0-EMA,0,0,REFUGE,0,1,1,0,0.999958742330663,PRESENT
B0-EMA,0,0,REFUGE,0,1,2,0,0.9999518711952511,PRESENT
B0-EMA,0,0,REFUGE,0,1,3,0,0.9999592507552448,PRESENT
B0-EMA,0,0,REFUGE,0,1,4,0,0.9999209252187455,PRESENT
B0-EMA,0,0,REFUGE,0,2,0,0,0.9997631880464534,PRESENT
B0-EMA,0,0,REFUGE,0,2,0,1,0.9998955995620623,PRESENT
B0-EMA,0,0,REFUGE,0,2,1,0,0.9999682607676528,PRESENT
B0-EMA,0,0,REFUGE,0,2,1,1,0.9999139041235072,PRESENT
B0-EMA,0,0,REFUGE,0,2,2,0,0.9999259529585496,PRESENT
B0-EMA,0,0,REFUGE,0,2,2,1,0.9999479069292075,PRESENT
B0-EMA,0,0,REFUGE,0,2,3,0,0.9999480958097295,PRESENT
B0-EMA,0,0,REFUGE,0,2,3,1,0.9998766455369431,PRESENT
B0-EMA,0,0,REFUGE,0,2,4,0,0.9999510119912493,PRESENT
B0-EMA,0,0,REFUGE,0,2,4,1,0.9999270170385662,PRESENT
B0-EMA,0,0,REFUGE,0,3,0,0,0.9999015701612676,PRESENT
B0-EMA,0,0,REFUGE,0,3,0,1,0.9998000970003929,PRESENT
B0-EMA,0,0,REFUGE,0,3,0,2,0.9997233732312595,PRESENT
B0-EMA,0,0,REFUGE,0,3,1,0,0.9999050757968645,PRESENT
B0-EMA,0,0,REFUGE,0,3,1,1,0.9999287229947261,PRESENT
B0-EMA,0,0,REFUGE,0,3,1,2,0.999977197130852,PRESENT
B0-EMA,0,0,REFUGE,0,3,2,0,0.9999535958164318,PRESENT
B0-EMA,0,0,REFUGE,0,3,2,1,0.9999108502601909,PRESENT
B0-EMA,0,0,REFUGE,0,3,2,2,0.9999225398302874,PRESENT
B0-EMA,0,0,REFUGE,0,3,3,0,0.999896253714006,PRESENT
B0-EMA,0,0,REFUGE,0,3,3,1,0.9999540354037506,PRESENT
B0-EMA,0,0,REFUGE,0,3,3,2,0.9999250646387146,PRESENT
B0-EMA,0,0,REFUGE,0,3,4,0,0.9999236470082384,PRESENT
B0-EMA,0,0,REFUGE,0,3,4,1,0.9999585184962471,PRESENT
B0-EMA,0,0,REFUGE,0,3,4,2,0.9998395892884632,PRESENT
B0-EMA,0,0,REFUGE,0,5,0,0,0.993289824013902,PRESENT
B0-EMA,0,0,REFUGE,0,5,0,1,0.8800700449948904,PRESENT
B0-EMA,0,0,REFUGE,0,5,0,2,0.9998520579304888,PRESENT
B0-EMA,0,0,REFUGE,0,5,0,3,0.8651510210739971,PRESENT
B0-EMA,0,0,REFUGE,0,5,0,4,0.999854188724658,PRESENT
B0-EMA,0,0,REFUGE,0,5,1,0,0.9921820142387798,PRESENT
B0-EMA,0,0,REFUGE,0,5,1,1,0.8714188927010686,PRESENT
B0-EMA,0,0,REFUGE,0,5,1,2,0.999671806217125,PRESENT
B0-EMA,0,0,REFUGE,0,5,1,3,0.8584006773526789,PRESENT
B0-EMA,0,0,REFUGE,0,5,1,4,0.9996287758437504,PRESENT
B0-EMA,0,0,REFUGE,0,5,2,0,0.9999684753688454,PRESENT
B0-EMA,0,0,REFUGE,0,5,2,1,0.9999507501758097,PRESENT
B0-EMA,0,0,REFUGE,0,5,2,2,0.9999231473864595,PRESENT
B0-EMA,0,0,REFUGE,0,5,2,3,0.9997788547970519,PRESENT
B0-EMA,0,0,REFUGE,0,5,2,4,0.9999782227693217,PRESENT
B0-EMA,0,0,REFUGE,0,5,3,0,0.9957792867422509,PRESENT
B0-EMA,0,0,REFUGE,0,5,3,1,0.9633080943843592,PRESENT
B0-EMA,0,0,REFUGE,0,5,3,2,0.9994661361301908,PRESENT
B0-EMA,0,0,REFUGE,0,5,3,3,0.8774245852754228,PRESENT
B0-EMA,0,0,REFUGE,0,5,3,4,0.9998438770271014,PRESENT
B0-EMA,0,0,REFUGE,0,5,4,0,0.9931596718153555,PRESENT
B0-EMA,0,0,REFUGE,0,5,4,1,0.8802335113744928,PRESENT
B0-EMA,0,0,REFUGE,0,5,4,2,0.9998102693368238,PRESENT
B0-EMA,0,0,REFUGE,0,5,4,3,0.862182331233869,PRESENT
B0-EMA,0,0,REFUGE,0,5,4,4,0.9992493210703978,PRESENT
B0-EMA,0,0,REFUGE,1,1,0,0,0.9987665088499793,PRESENT
B0-EMA,0,0,REFUGE,1,1,1,0,0.999886942267606,PRESENT
B0-EMA,0,0,REFUGE,1,1,2,0,0.9998878019769057,PRESENT
B0-EMA,0,0,REFUGE,1,1,3,0,0.9993595883286255,PRESENT
B0-EMA,0,0,REFUGE,1,1,4,0,0.9997714969612617,PRESENT
B0-EMA,0,0,REFUGE,1,2,0,0,0.9997447980378145,PRESENT
B0-EMA,0,0,REFUGE,1,2,0,1,0.9984425032260419,PRESENT
B0-EMA,0,0,REFUGE,1,2,1,0,0.9999628046604317,PRESENT
B0-EMA,0,0,REFUGE,1,2,1,1,0.9998389402677045,PRESENT
B0-EMA,0,0,REFUGE,1,2,2,0,0.9999044636816267,PRESENT
B0-EMA,0,0,REFUGE,1,2,2,1,0.9993720034269472,PRESENT
B0-EMA,0,0,REFUGE,1,2,3,0,0.9998919001448288,PRESENT
B0-EMA,0,0,REFUGE,1,2,3,1,0.9985021443617094,PRESENT
B0-EMA,0,0,REFUGE,1,2,4,0,0.9996228657865714,PRESENT
B0-EMA,0,0,REFUGE,1,2,4,1,0.9996670391608551,PRESENT
