panel_id,seed,stage_index,domain,class_id,K,role,metric_schema,admission_radius_field,registered_count,active_count,null_count,full_uid_count_used,null_rows_retained,null_mass,active_direction_mass,directional_support,Q_directional_conditional,cosine_distance_p95_directional,R95_directional,Q_null_worst_case,cosine_distance_p95_null_worst_case,R95_null_worst_case,inactive_count,minimum_inter_prototype_euclidean,minimum_inter_prototype_angular
B0-EMA,0,0,REFUGE,0,1,train_labeled,NULL_AWARE_SPHERE_V2,R95_null_worst_case,75480,75480,0,75480,0,0.0,1.0,PRESENT,0.31087122098245923,0.43524696061615176,0.9330026373126196,0.31087122098245923,0.43524696061615176,0.9330026373126196,0,,
B0-EMA,0,0,REFUGE,0,1,val,NULL_AWARE_SPHERE_V2,R95_null_worst_case,159600,159600,0,159600,0,0.0,1.0,PRESENT,0.3088811831632516,0.4383569707227465,0.9363300387392754,0.3088811831632516,0.4383569707227465,0.9363300387392754,0,,
B0-EMA,0,0,REFUGE,0,2,train_labeled,NULL_AWARE_SPHERE_V2,R95_null_worst_case,75480,75480,0,75480,0,0.0,1.0,PRESENT,0.1815057299804436,0.34792570413662716,0.8341770844810197,0.1815057299804436,0.34792570413662716,0.8341770844810197,0,1.0828775682691403,1.1442949970772431
B0-EMA,0,0,REFUGE,0,2,val,NULL_AWARE_SPHERE_V2,R95_null_worst_case,159600,159600,0,159600,0,0.0,1.0,PRESENT,0.18135835559976354,0.3416918437905393,0.8266702411367417,0.18135835559976354,0.3416918437905393,0.8266702411367417,0,1.0828775682691403,1.1442949970772431
B0-EMA,0,0,REFUGE,0,3,train_labeled,NULL_AWARE_SPHERE_V2,R95_null_worst_case,75480,75480,0,75480,0,0.0,1.0,PRESENT,0.14505788211314988,0.3165301673320632,0.7956508874274737,0.14505788211314988,0.3165301673320632,0.7956508874274737,0,0.8005809541093678,0.82366760889142
B0-EMA,0,0,REFUGE,0,3,val,NULL_AWARE_SPHERE_V2,R95_null_worst_case,159600,159600,0,159600,0,0.0,1.0,PRESENT,0.1432658717494198,0.31136483243227864,0.7891322226753621,0.1432658717494198,0.31136483243227864,0.7891322226753621,0,0.8005809541093678,0.82366760889142
B0-EMA,0,0,REFUGE,0,5,train_labeled,NULL_AWARE_SPHERE_V2,R95_null_worst_case,75480,75480,0,75480,0,0.0,1.0,PRESENT,0.11009944519460405,0.2831452950406862,0.7525228169838921,0.11009944519460405,0.2831452950406862,0.7525228169838921,0,0.6664762908767563,0.6794718984936285
B0-EMA,0,0,REFUGE,0,5,val,NULL_AWARE_SPHERE_V2,R95_null_worst_case,159600,159600,0,159600,0,0.0,1.0,PRESENT,0.10912750081827757,0.27869724965708864,0.7465885743260322,0.10912750081827757,0.27869724965708864,0.7465885743260322,0,0.6664762908767563,0.6794718984936285
B0-EMA,0,0,REFUGE,1,1,train_labeled,NULL_AWARE_SPHERE_V2,R95_null_worst_case,75480,75480,0,75480,0,0.0,1.0,PRESENT,0.21477578238239606,0.48057803476132566,0.9803856738664898,0.21477578238239606,0.48057803476132566,0.9803856738664898,0,,
B0-EMA,0,0,REFUGE,1,1,val,NULL_AWARE_SPHERE_V2,R95_null_worst_case,159600,159600,0,159600,0,0.0,1.0,PRESENT,0.20857875308398593,0.46912281991204074,0.9686308067700932,0.20857875308398593,0.46912281991204074,0.9686308067700932,0,,
