arm,baseline,order,seed,domain,n,mean,q00,q05,q25,q50,q75,q95,q100,harm_below_minus005,harm_below_minus001
ISO_COND_LU,SCALE_LU,O1,61,RIM_ONE_r3,40,-0.10002311545082124,-0.4381992119861669,-0.31334416193730114,-0.19702972626569631,-0.13214369846944576,0.008697780285857881,0.15820156464002502,0.21261252015099352,26,28
ISO_COND_LU,SCALE_LU,O1,61,Drishti_GS,25,0.12865724957349678,-0.18208474098077376,-0.11521559626489461,0.040971301725852616,0.17318059190146262,0.21208509949278653,0.2502543030905984,0.2692937550838771,2,3
ISO_COND_LU,SCALE_LU,O1,62,RIM_ONE_r3,40,-0.008675606485842747,-0.14385140736316876,-0.09289369388020766,-0.027945892836663183,-0.004622210032636964,0.015364466374838015,0.07835086343447235,0.20986164132630347,6,18
ISO_COND_LU,SCALE_LU,O1,62,Drishti_GS,25,0.02565847120285322,-0.11847321016573376,-0.09964545014461533,-0.011298134399470139,0.026383769273162994,0.07606659606031152,0.11952686465509615,0.168330001418939,2,7
ISO_COND_LU,SCALE_LU,O1,63,RIM_ONE_r3,40,-0.09844095672939493,-0.37246220824079673,-0.32542612297338236,-0.204992413334467,-0.09889554576703241,0.01318060539896962,0.13781353806656882,0.21095902179057413,25,29
ISO_COND_LU,SCALE_LU,O1,63,Drishti_GS,25,0.093890029643663,-0.05510916752282158,-0.021780193730397666,0.07616015025810163,0.10479632212465684,0.12447151532094503,0.16624594256826125,0.1751590772333934,1,2
ISO_COND_LU,SCALE_LU,O2,61,RIM_ONE_r3,40,0.0016910261375201873,-0.11214145520849794,-0.08325351645514438,-0.023823960000893735,-0.000552259389026144,0.030257485244269328,0.07094834311963323,0.1305407462999208,5,15
ISO_COND_LU,SCALE_LU,O2,61,Drishti_GS,25,-0.004010448185448463,-0.19078666520965049,-0.09362920674235284,-0.03627712258180554,-0.010518888452321407,0.020394896168688448,0.09301204427461746,0.14079451740111792,4,13
ISO_COND_LU,SCALE_LU,O2,62,RIM_ONE_r3,40,6.40718406115695e-05,-0.21924127855500003,-0.13440557938853384,-0.035307295211091744,-0.000930131863811412,0.030763240631112437,0.0873138048848596,0.23421634140945424,6,12
ISO_COND_LU,SCALE_LU,O2,62,Drishti_GS,25,-0.0723678623132816,-0.19621623689486467,-0.1831837780155047,-0.12745464148419938,-0.05516721050758708,-0.0036783846596222525,0.013086710437769057,0.03662064523208852,13,18
ISO_COND_LU,SCALE_LU,O2,63,RIM_ONE_r3,40,0.002198939448966765,-0.14800174512472375,-0.09579568777090458,-0.03172637760035832,-0.0011272715290610025,0.021931829226852828,0.11393936774835957,0.2004743057328049,9,15
