arm,baseline,metric,scope,order,seed,delta,sample_SD
ISO_COND_LU,AFFINE_LU,Forget,seed_order,O2,61,-0.00947049931752103,
ISO_COND_LU,AFFINE_LU,Forget,seed_order,O2,62,0.005431677371684873,
ISO_COND_LU,AFFINE_LU,Forget,seed_order,O2,63,-0.023337750689686687,
ISO_COND_LU,AFFINE_LU,Forget,seed_order_average,both,61,-0.005763347194158025,
ISO_COND_LU,AFFINE_LU,Forget,seed_order_average,both,62,-0.0048771098868089224,
ISO_COND_LU,AFFINE_LU,Forget,seed_order_average,both,63,-0.04847069184741537,
ISO_COND_LU,AFFINE_LU,Forget,overall,both,,-0.019703716309460773,0.024916872101894992
ISO_COND_LU,ISO_GLOBAL_LU,Final,seed_order,O1,61,-0.007560864288841729,
ISO_COND_LU,ISO_GLOBAL_LU,Final,seed_order,O1,62,0.006612597321814184,
ISO_COND_LU,ISO_GLOBAL_LU,Final,seed_order,O1,63,-0.02733311788910442,
ISO_COND_LU,ISO_GLOBAL_LU,Final,seed_order,O2,61,0.025717295665942275,
ISO_COND_LU,ISO_GLOBAL_LU,Final,seed_order,O2,62,-0.005373124605742685,
ISO_COND_LU,ISO_GLOBAL_LU,Final,seed_order,O2,63,0.05267508171335389,
ISO_COND_LU,ISO_GLOBAL_LU,Final,seed_order_average,both,61,0.009078215688550273,
ISO_COND_LU,ISO_GLOBAL_LU,Final,seed_order_average,both,62,0.0006197363580357496,
ISO_COND_LU,ISO_GLOBAL_LU,Final,seed_order_average,both,63,0.012670981912124735,
ISO_COND_LU,ISO_GLOBAL_LU,Final,overall,both,,0.007456311319570252,0.006187168996223131
ISO_COND_LU,ISO_GLOBAL_LU,Incoming,seed_order,O1,61,-0.009428216061579064,
ISO_COND_LU,ISO_GLOBAL_LU,Incoming,seed_order,O1,62,-0.0027378629685210765,
ISO_COND_LU,ISO_GLOBAL_LU,Incoming,seed_order,O1,63,0.007302593616758224,
ISO_COND_LU,ISO_GLOBAL_LU,Incoming,seed_order,O2,61,0.01192720798207203,
ISO_COND_LU,ISO_GLOBAL_LU,Incoming,seed_order,O2,62,-0.0017287790346425247,
ISO_COND_LU,ISO_GLOBAL_LU,Incoming,seed_order,O2,63,0.04762595851486362,
ISO_COND_LU,ISO_GLOBAL_LU,Incoming,seed_order_average,both,61,0.0012494959602464828,
ISO_COND_LU,ISO_GLOBAL_LU,Incoming,seed_order_average,both,62,-0.0022333210015818006,
ISO_COND_LU,ISO_GLOBAL_LU,Incoming,seed_order_average,both,63,0.027464276065810922,
ISO_COND_LU,ISO_GLOBAL_LU,Incoming,overall,both,,0.008826817008158535,0.01623418195018312
ISO_COND_LU,ISO_GLOBAL_LU,Old,seed_order,O1,61,-0.005693512516104504,
ISO_COND_LU,ISO_GLOBAL_LU,Old,seed_order,O1,62,0.015963057612149445,
ISO_COND_LU,ISO_GLOBAL_LU,Old,seed_order,O1,63,-0.06196882939496717,
ISO_COND_LU,ISO_GLOBAL_LU,Old,seed_order,O2,61,0.03950738334981263,
ISO_COND_LU,ISO_GLOBAL_LU,Old,seed_order,O2,62,-0.00901747017684279,
ISO_COND_LU,ISO_GLOBAL_LU,Old,seed_order,O2,63,0.05772420491184421,
ISO_COND_LU,ISO_GLOBAL_LU,Old,seed_order_average,both,61,0.016906935416854063,
ISO_COND_LU,ISO_GLOBAL_LU,Old,seed_order_average,both,62,0.0034727937176533274,
ISO_COND_LU,ISO_GLOBAL_LU,Old,seed_order_average,both,63,-0.0021223122415614804,
ISO_COND_LU,ISO_GLOBAL_LU,Old,overall,both,,0.00608580563098197,0.00978002761017199
ISO_COND_LU,ISO_GLOBAL_LU,Forget,seed_order,O1,61,0.005693512516104504,
ISO_COND_LU,ISO_GLOBAL_LU,Forget,seed_order,O1,62,-0.015963057612149445,
ISO_COND_LU,ISO_GLOBAL_LU,Forget,seed_order,O1,63,0.06196882939496717,
ISO_COND_LU,ISO_GLOBAL_LU,Forget,seed_order,O2,61,-0.03950738334981263,
ISO_COND_LU,ISO_GLOBAL_LU,Forget,seed_order,O2,62,0.00901747017684279,
