task_id,arm,epoch,steps,loss,CE,GT_Dice,L_view,lambda_view,anchor_label_records,U_image_records,donor_context_records,view_error_before,view_error_after,distance_relative_mean,Q_batch_variance,b_batch_variance
O1_s61_SCALE_LU,SCALE_LU,1,21,33.20520814097155,21.054974675178528,12.150233465793024,0.0,0.0,42,0,0,,,,,
O1_s61_SCALE_LU,SCALE_LU,2,21,31.997602899742425,20.03663071990013,11.9609721798423,0.0,0.0,42,0,0,,,,,
O1_s61_SCALE_LU,SCALE_LU,3,21,32.83059959982394,20.529514133930206,12.30108546589374,0.0,0.0,42,0,0,,,,,
O1_s61_SCALE_LU,SCALE_LU,4,21,31.417099422436085,19.333091348409653,12.084008074026428,0.0,0.0,42,0,0,,,,,
O1_s61_SCALE_LU,SCALE_LU,5,21,30.537387513882223,18.59001076221466,11.947376751667562,0.0,0.0,42,0,0,,,,,
O1_s61_SCALE_LU,SCALE_LU,6,21,29.898451068887972,18.050542324781418,11.847908744106554,0.0,0.0,42,0,0,,,,,
O1_s61_SCALE_LU,SCALE_LU,7,21,29.316855087460635,17.411687195301056,11.90516789215958,0.0,0.0,42,0,0,,,,,
O1_s61_SCALE_LU,SCALE_LU,8,21,29.285342291313217,17.38116806745529,11.904174223857922,0.0,0.0,42,0,0,,,,,
O1_s61_SCALE_LU,SCALE_LU,9,21,28.238959454569486,16.355350255966187,11.883609198603299,0.0,0.0,42,0,0,,,,,
O1_s61_SCALE_LU,SCALE_LU,10,21,28.135909648132564,16.188490509986877,11.947419138145692,0.0,0.0,42,0,0,,,,,
O1_s61_SCALE_LU,SCALE_LU,11,21,26.839816255167204,15.109166204929352,11.730650050237854,0.0,0.0,42,0,0,,,,,
O1_s61_SCALE_LU,SCALE_LU,12,21,26.78860814228833,15.005135416984558,11.783472725303769,0.0,0.0,42,0,0,,,,,
O1_s61_SCALE_LU,SCALE_LU,13,21,27.240027977312145,15.109317868947983,12.130710108364164,0.0,0.0,42,0,0,,,,,
O1_s61_SCALE_LU,SCALE_LU,14,21,26.16386520744701,14.3384470641613,11.825418143285706,0.0,0.0,42,0,0,,,,,
O1_s61_SCALE_LU,SCALE_LU,15,21,25.170790008056883,13.456716865301132,11.71407314275575,0.0,0.0,42,0,0,,,,,
O1_s61_SCALE_LU,SCALE_LU,16,21,25.054514288572584,13.27599948644638,11.778514802126207,0.0,0.0,42,0,0,,,,,
O1_s61_SCALE_LU,SCALE_LU,17,21,24.24589444295029,12.600623965263367,11.645270477686923,0.0,0.0,42,0,0,,,,,
O1_s61_SCALE_LU,SCALE_LU,18,21,24.01726770825359,12.253509521484375,11.763758186769216,0.0,0.0,42,0,0,,,,,
O1_s61_SCALE_LU,SCALE_LU,19,21,23.74054424576286,11.984550297260284,11.755993948502576,0.0,0.0,42,0,0,,,,,
O1_s61_SCALE_LU,SCALE_LU,20,21,23.6854800505968,11.792791903018951,11.892688147577854,0.0,0.0,42,0,0,,,,,
O1_s61_SCALE_LU,SCALE_LU,21,21,30.005041132260853,15.711218923330307,14.251713284846087,0.8421784671954811,1.0500000000000003,42,41,42,1.2481646807864308,0.8421784671954811,4.549446927514304,0.0,0.0
O1_s61_SCALE_LU,SCALE_LU,22,21,29.48441889638764,15.283174216747284,14.1339818658422,0.6726281312294304,2.1000000000000005,42,41,42,1.0619858726859093,0.6726281312294304,4.754844497665169,0.0,0.0
O1_s61_SCALE_LU,SCALE_LU,23,21,28.985801209236012,14.797347366809845,14.104493404366284,0.559736221563071,3.149999999999999,42,41,42,0.9031553850509226,0.559736221563071,4.938643286499817,0.0,0.0
O1_s61_SCALE_LU,SCALE_LU,24,21,28.307656104755935,14.16643026471138,14.026723167414659,0.5725133554078639,4.200000000000001,42,41,42,0.9332488509826362,0.5725133554078639,5.117415096314327,0.0,0.0
O1_s61_SCALE_LU,SCALE_LU,25,21,27.249838732853746,13.073735058307648,14.063665136550775,0.44975415198132396,5.25,42,41,42,0.7698549572378397,0.44975415198132396,5.28447030771998,0.0,0.0
O1_s61_SCALE_LU,SCALE_LU,26,21,29.35576797850824,14.5818442851305,14.58384297430909,0.6336023714393377,6.299999999999998,42,41,42,1.0728418314829469,0.6336023714393377,5.381931282340823,0.0,0.0
O1_s61_SCALE_LU,SCALE_LU,27,21,29.35936938896685,14.586512669920921,14.5625292452276,0.600935653783381,7.349999999999997,42,41,42,1.0294575938023627,0.600935653783381,5.586447649384157,0.0,0.0
O1_s61_SCALE_LU,SCALE_LU,28,21,27.062600122540708,12.868140280246735,14.017847569202523,0.44153067469596863,8.400000000000002,42,41,42,0.8160018678754568,0.44153067469596863,5.777173345387812,0.0,0.0
O1_s61_SCALE_LU,SCALE_LU,29,21,28.423732486458487,13.470190182328224,14.722584008377035,0.5132406724151224,9.45,42,41,42,0.9326375536620617,0.5132406724151224,5.9424827039669355,0.0,0.0
O1_s61_SCALE_LU,SCALE_LU,30,21,26.964098304357538,12.389481246471405,14.317053943952702,0.5151262278668582,10.5,42,41,42,0.9579807305708528,0.5151262278668582,6.095152888025133,0.0,0.0
O1_s61_SCALE_LU,SCALE_LU,31,21,27.867917642066836,12.880666106939316,14.671523434179488,0.5740510793402791,11.550000000000002,42,41,42,1.07461157720536,0.5740510793402791,6.196238498649662,0.0,0.0
O1_s61_SCALE_LU,SCALE_LU,32,21,27.0307052562472,12.63036035001278,14.122914488519774,0.4623840069398284,12.599999999999996,42,41,42,0.8596215667203069,0.4623840069398284,6.4079877721425,0.0,0.0
O1_s61_SCALE_LU,SCALE_LU,33,21,26.96147128919435,12.210639700293541,14.414369268257339,0.5176343591883779,13.650000000000004,42,41,42,1.0864347582682967,0.5176343591883779,6.500231133738297,0.0,0.0
O1_s61_SCALE_LU,SCALE_LU,34,21,27.622475257797014,12.674584478139877,14.558138002596648,0.5567896910943091,14.699999999999994,42,41,42,1.0956104807555676,0.5567896910943091,6.681071358614369,0.0,0.0
O1_s61_SCALE_LU,SCALE_LU,35,21,27.650329995534992,12.464489966630936,14.855227116246384,0.4408172172261402,15.75,42,41,42,0.9605844803154469,0.4408172172261402,6.782840880698903,0.0,0.0
O1_s61_SCALE_LU,SCALE_LU,36,21,27.55549547492514,12.361094132065773,14.82152416321437,0.4660964719951153,16.800000000000004,42,41,42,0.9807068593800068,0.4660964719951153,6.926919059246503,0.0,0.0
O1_s61_SCALE_LU,SCALE_LU,37,21,26.477175008171194,11.630770891904831,14.571363435025283,0.3235772626940161,17.849999999999998,42,41,42,0.7469126423820853,0.3235772626940161,7.062806706963773,0.0,0.0
O1_s61_SCALE_LU,SCALE_LU,38,21,26.192430831224474,11.282427594065666,14.389000460005182,0.5788919950136915,18.9,42,41,42,1.2761657941155136,0.5788919950136915,7.1502845276401645,0.0,0.0
O1_s61_SCALE_LU,SCALE_LU,39,21,26.22946399387386,11.281898841261864,14.536052830120967,0.4331708704121411,19.949999999999992,42,41,42,1.0607896414585412,0.4331708704121411,7.24142808458272,0.0,0.0
O1_s61_SCALE_LU,SCALE_LU,40,21,27.00605813083533,12.134987756609917,14.441478025823043,0.42959234840236604,21.0,42,41,42,1.0238634319975972,0.42959234840236604,7.353383881370639,0.0,0.0
O1_s61_SCALE_LU,SCALE_LU,41,21,25.144730509300796,10.712100520730019,14.022159376223659,0.410470612347126,21.0,42,41,42,0.963339654263109,0.410470612347126,7.464197339177421,0.0,0.0
O1_s61_SCALE_LU,SCALE_LU,42,21,27.12545894593028,11.934535652399063,14.688688981291188,0.5022343122400343,21.0,42,41,42,1.1149912513792515,0.5022343122400343,7.600176337399315,0.0,0.0
O1_s61_SCALE_LU,SCALE_LU,43,21,25.89952517200409,11.36252085864544,14.17744205884783,0.3595622545108199,21.0,42,41,42,0.917381496168673,0.3595622545108199,7.757946968653738,0.0,0.0
O1_s61_SCALE_LU,SCALE_LU,44,21,25.77241394984497,10.801932409405708,14.6665155670043,0.3039659734349698,21.0,42,41,42,0.7903062137775123,0.3039659734349698,7.80141968463987,0.0,0.0
O1_s61_SCALE_LU,SCALE_LU,45,21,25.851379691370674,11.201473265886307,14.375753219452603,0.2741532060317695,21.0,42,41,42,0.7157361311838031,0.2741532060317695,7.866615498164151,0.0,0.0
