arm,order,seed,Final,Incoming,Old,Forget
SCALE_LU,O1,61,0.5961325534483464,0.4981274113787474,0.6941376955179452,0.014597016729441359
SCALE_LU,O1,62,0.636433129716051,0.6183997773804123,0.6544664820516898,0.04026710554655044
SCALE_LU,O1,63,0.5939389656287604,0.4958121564437612,0.6920657748137595,-0.0071868597452312555
SCALE_LU,O2,61,0.5741491555752729,0.6419961902625158,0.50630212088803,0.1930986365291596
SCALE_LU,O2,62,0.5097818292667444,0.606932110643099,0.4126315478903898,0.27259186226055176
SCALE_LU,O2,63,0.44278030971703664,0.546700034344302,0.3388605850897713,0.297080197087998
AFFINE_LU,O1,61,0.6281499493009566,0.6642415136055844,0.5920583849963288,0.11667632725105781
AFFINE_LU,O1,62,0.6397182566016415,0.6488315347827388,0.6306049784205443,0.06412860917769592
AFFINE_LU,O1,63,0.5737788272083113,0.627536469337402,0.5200211850792206,0.1648577299893077
AFFINE_LU,O2,61,0.5699543768234644,0.6470875802618682,0.49282117338506054,0.206579584032129
AFFINE_LU,O2,62,0.47623728133216736,0.6067791997155416,0.34569536294879305,0.3395280472021485
AFFINE_LU,O2,63,0.4741521770309276,0.5446071127188781,0.4036972413429771,0.2322435408347922
ISO_GLOBAL_LU,O1,61,0.6180104847985257,0.6362128770138232,0.5998080925832283,0.10892661966415829
ISO_GLOBAL_LU,O1,62,0.6383119647527421,0.6467961115517866,0.6298278179536976,0.06490576964454264
ISO_GLOBAL_LU,O1,63,0.6189966199749989,0.582399592470666,0.6555936474793318,0.029285267589196473
ISO_GLOBAL_LU,O2,61,0.5472721488853665,0.6317600084179639,0.46278428935276894,0.2366164680644206
ISO_GLOBAL_LU,O2,62,0.4790030586361521,0.6087249615183532,0.34928115575395097,0.3359422543969906
ISO_GLOBAL_LU,O2,63,0.43529190119961236,0.5012730152784052,0.36931078712081955,0.26662999505694973
ISO_COND_L,O1,61,0.6105316446463022,0.6263648181325905,0.5946984711600138,0.11403624108737276
ISO_COND_L,O1,62,0.6449626187478316,0.6439403720599259,0.6459848654357372,0.04874872216250303
ISO_COND_L,O1,63,0.5936950389133584,0.5891141547934903,0.5982759230332265,0.08660299203530175
ISO_COND_L,O2,61,0.5747546036815534,0.6439988785666584,0.5055103287964484,0.19389042862074113
ISO_COND_L,O2,62,0.47314327280573504,0.6069897398382117,0.3392968057732584,0.3459266043776832
ISO_COND_L,O2,63,0.48539613029330714,0.5477207924832129,0.42307146810340135,0.21286931407436793
ISO_COND_LU,O1,61,0.610449620509684,0.6267846609522442,0.5941145800671238,0.11462013218026279
ISO_COND_LU,O1,62,0.6449245620745563,0.6440582485832655,0.645790875565847,0.0489427120323932
ISO_COND_LU,O1,63,0.5916635020858945,0.5897021860874242,0.5936248180843646,0.09125409698416365
ISO_COND_LU,O2,61,0.5729894445513087,0.6436872164000359,0.5022916727025816,0.19710908471460797
ISO_COND_LU,O2,62,0.4736299340304094,0.6069961824837107,0.3402636855771082,0.3449597245738334
ISO_COND_LU,O2,63,0.48796698291296625,0.5488989737932688,0.42703499203266376,0.20890579014510552
ISO_RANDOM_LU,O1,61,0.6048636484959279,0.5508605797102368,0.6588667172816189,0.04986799496576766
ISO_RANDOM_LU,O1,62,0.6374070332458797,0.6451100117872477,0.6297040547045117,0.06502953289372848
ISO_RANDOM_LU,O1,63,0.5816767293974225,0.5901561478082519,0.5731973109865933,0.11168160408193495
ISO_RANDOM_LU,O2,61,0.5475185500586448,0.6438973395475607,0.4511397605697289,0.24826099684746067
ISO_RANDOM_LU,O2,62,0.47665415393661725,0.6086880762026639,0.3446202316705707,0.34060317848037086
ISO_RANDOM_LU,O2,63,0.4550164105869819,0.5360128420700059,0.3740199791039579,0.2619208030738114
F_FULL,O1,61,0.6405381542234545,0.7256201525373911,0.555456155909518,0.15327855633786858
F_FULL,O1,62,0.6088181501730069,0.7229122336781181,0.4947240666678957,0.20000952093034452
F_FULL,O1,63,0.6397190910211629,0.7334066808415608,0.5460315012007649,0.13884741386776334
F_FULL,O2,61,0.5972288386751761,0.7238691992898778,0.47058847806047444,0.2288122793567151
F_FULL,O2,62,0.546016347398425,0.6936539189293203,0.3983787758675296,0.28684463428341195
F_FULL,O2,63,0.5685473119672892,0.7089996989303339,0.4280949250042447,0.2078458571735246
F_CONV,O1,61,0.6537334058594697,0.7244018867904355,0.583064924928504,0.12566978731888256
F_CONV,O1,62,0.6309125647752412,0.730879167913536,0.5309459616369464,0.16378762596129381
F_CONV,O1,63,0.6232057728444712,0.7335533560868646,0.5128581896020779,0.17202072546645042
F_CONV,O2,61,0.5946630818839522,0.7196850053368216,0.4696411584310829,0.22975959898610665
F_CONV,O2,62,0.5554353066161953,0.7038166346354597,0.4070539785969309,0.2781694315540107
F_CONV,O2,63,0.5833223230433212,0.7057238997789039,0.46092074630773844,0.17502003587003084
STATIC_SOURCE,O1,61,0.5585907271344311,0.4084467420214757,0.7087347122473866,0.0
STATIC_SOURCE,O1,62,0.5888964638150993,0.4830593400319585,0.6947335875982402,0.0
STATIC_SOURCE,O1,63,0.5547745327866134,0.42467015050469853,0.6848789150685283,0.0
STATIC_SOURCE,O2,61,0.5744571668086368,0.449513576200084,0.6994007574171895,0.0
STATIC_SOURCE,O2,62,0.5360880419090279,0.38695267366711417,0.6852234101509416,0.0
STATIC_SOURCE,O2,63,0.4969097403933549,0.35787869860894056,0.6359407821777693,0.0
