task_id,seed,order,arm,domain,role,n_patients,n_evaluable,background_dice,rim_dice,cup_dice,macro_fg_dice
O2_s63_STATIC_SOURCE,63,O2,STATIC_SOURCE,RIM_ONE_r3,current,40,40,0.9608498788839348,0.28154445389947913,0.434212943318402,0.35787869860894056
O2_s63_STATIC_SOURCE,63,O2,STATIC_SOURCE,Drishti_GS,old,25,25,0.9808198078250472,0.578734016718385,0.6931475476371536,0.6359407821777693
O1_s61_SCALE_LU,61,O1,SCALE_LU,RIM_ONE_r3,old,40,40,0.986681126851814,0.7074118336242036,0.6808635574116867,0.6941376955179452
O1_s61_SCALE_LU,61,O1,SCALE_LU,Drishti_GS,current,25,25,0.9669731443961793,0.4389345468044307,0.5573202759530639,0.4981274113787474
O1_s61_AFFINE_LU,61,O1,AFFINE_LU,RIM_ONE_r3,old,40,40,0.981479161935118,0.5854350173496566,0.598681752643001,0.5920583849963288
O1_s61_AFFINE_LU,61,O1,AFFINE_LU,Drishti_GS,current,25,25,0.9764981893877633,0.579028665653005,0.7494543615581639,0.6642415136055844
O1_s61_ISO_GLOBAL_LU,61,O1,ISO_GLOBAL_LU,RIM_ONE_r3,old,40,40,0.9845173790937587,0.5929334716206315,0.606682713545825,0.5998080925832283
O1_s61_ISO_GLOBAL_LU,61,O1,ISO_GLOBAL_LU,Drishti_GS,current,25,25,0.9733049539049325,0.5342737080503046,0.7381520459773419,0.6362128770138232
O1_s61_ISO_COND_L,61,O1,ISO_COND_L,RIM_ONE_r3,old,40,40,0.9843381998429059,0.5819247889178361,0.6074721534021916,0.5946984711600138
O1_s61_ISO_COND_L,61,O1,ISO_COND_L,Drishti_GS,current,25,25,0.9729542139361277,0.5160968876185269,0.7366327486466543,0.6263648181325905
O1_s61_ISO_COND_LU,61,O1,ISO_COND_LU,RIM_ONE_r3,old,40,40,0.9843075935420625,0.5812872880067405,0.6069418721275073,0.5941145800671238
O1_s61_ISO_COND_LU,61,O1,ISO_COND_LU,Drishti_GS,current,25,25,0.9729530208472332,0.516644894644634,0.7369244272598542,0.6267846609522442
O1_s61_ISO_RANDOM_LU,61,O1,ISO_RANDOM_LU,RIM_ONE_r3,old,40,40,0.9842421948210749,0.6647955493160753,0.6529378852471626,0.6588667172816189
O1_s61_ISO_RANDOM_LU,61,O1,ISO_RANDOM_LU,Drishti_GS,current,25,25,0.9731693193874178,0.512146193173114,0.5895749662473596,0.5508605797102368
O2_s61_SCALE_LU,61,O2,SCALE_LU,Drishti_GS,old,25,25,0.9769692168093971,0.585238025783143,0.427366215992917,0.50630212088803
