cohort,reference,aggregation,seed,order,Final,Old,Incoming,Forget
primary_163_164,B0_PARENT_LCTX,seed_order,163,1,0.03507514813389356,0.04820040979733675,0.008824624807007186,-0.03990844938548743
primary_163_164,B0_PARENT_LCTX,seed_order,163,2,-0.0032772380256863576,-0.004620336912996792,-0.0005910402510653778,0.0075795369949865354
primary_163_164,B0_PARENT_LCTX,seed_order,164,1,-0.0019524919373479221,0.004239685890656597,-0.01433684759335696,-0.005071412604983505
primary_163_164,B0_PARENT_LCTX,seed_order,164,2,-0.005571187558335522,-0.008471992682045237,0.0002304226890836869,0.009756959127290576
primary_163_164,B0_PARENT_LCTX,within_seed_two_orders,163,mean,0.015898955054103603,0.02179003644216998,0.004116792277970904,-0.01616445619525045
primary_163_164,B0_PARENT_LCTX,within_seed_two_orders,164,mean,-0.003761839747841722,-0.00211615339569432,-0.007053212452136637,0.0023427732611535357
primary_163_164,B0_PARENT_LCTX,across_seeds,mean,mean,0.00606855765313094,0.00983694152323783,-0.0014682100870828663,-0.006910841467048456
primary_163_164,B2_PARENT_PAS_KL,seed_order,163,1,0.03717446664241819,0.05222115259407756,0.007081094739099125,-0.05889226791362934
primary_163_164,B2_PARENT_PAS_KL,seed_order,163,2,-0.023688478988724282,-0.01847834717295216,-0.03410874262026842,0.014729685590614106
primary_163_164,B2_PARENT_PAS_KL,seed_order,164,1,-0.05170112592356024,-0.07213212223782484,-0.010839133295031167,0.08255933356257822
primary_163_164,B2_PARENT_PAS_KL,seed_order,164,2,-0.0613917058517669,-0.08449701737403303,-0.015181082807234958,0.08060348805490869
primary_163_164,B2_PARENT_PAS_KL,within_seed_two_orders,163,mean,0.006742993826846955,0.0168714027105627,-0.013513823940584646,-0.022081291161507616
primary_163_164,B2_PARENT_PAS_KL,within_seed_two_orders,164,mean,-0.05654641588766357,-0.07831456980592894,-0.013010108051133062,0.08158141080874345
primary_163_164,B2_PARENT_PAS_KL,across_seeds,mean,mean,-0.024901711030408308,-0.030721583547683118,-0.013261965995858854,0.02975005982361792
supplementary_162_164,B0_PARENT_LCTX,seed_order,162,1,0.022113262118430344,0.026839940623923142,0.012659905107444858,-0.030663177001475417
supplementary_162_164,B0_PARENT_LCTX,seed_order,162,2,0.005792410430123018,-0.00139043781621484,0.020158106922798513,0.008036146530254973
supplementary_162_164,B0_PARENT_LCTX,seed_order,163,1,0.03507514813389356,0.04820040979733675,0.008824624807007186,-0.03990844938548743
supplementary_162_164,B0_PARENT_LCTX,seed_order,163,2,-0.0032772380256863576,-0.004620336912996792,-0.0005910402510653778,0.0075795369949865354
supplementary_162_164,B0_PARENT_LCTX,seed_order,164,1,-0.0019524919373479221,0.004239685890656597,-0.01433684759335696,-0.005071412604983505
supplementary_162_164,B0_PARENT_LCTX,seed_order,164,2,-0.005571187558335522,-0.008471992682045237,0.0002304226890836869,0.009756959127290576
supplementary_162_164,B0_PARENT_LCTX,within_seed_two_orders,162,mean,0.013952836274276681,0.012724751403854151,0.016409006015121685,-0.011313515235610222
supplementary_162_164,B0_PARENT_LCTX,within_seed_two_orders,163,mean,0.015898955054103603,0.02179003644216998,0.004116792277970904,-0.01616445619525045
supplementary_162_164,B0_PARENT_LCTX,within_seed_two_orders,164,mean,-0.003761839747841722,-0.00211615339569432,-0.007053212452136637,0.0023427732611535357
supplementary_162_164,B0_PARENT_LCTX,across_seeds,mean,mean,0.008696650526846187,0.010799544816776604,0.004490861946985318,-0.008378399389902378
supplementary_162_164,B2_PARENT_PAS_KL,seed_order,162,1,0.014294163926888093,0.018931414206336372,0.005019663367991645,-0.016928400356761075
supplementary_162_164,B2_PARENT_PAS_KL,seed_order,162,2,-0.021308858638957484,-0.03476161958022983,0.005596663243587097,0.04478500356340337
supplementary_162_164,B2_PARENT_PAS_KL,seed_order,163,1,0.03717446664241819,0.05222115259407756,0.007081094739099125,-0.05889226791362934
supplementary_162_164,B2_PARENT_PAS_KL,seed_order,163,2,-0.023688478988724282,-0.01847834717295216,-0.03410874262026842,0.014729685590614106
supplementary_162_164,B2_PARENT_PAS_KL,seed_order,164,1,-0.05170112592356024,-0.07213212223782484,-0.010839133295031167,0.08255933356257822
supplementary_162_164,B2_PARENT_PAS_KL,seed_order,164,2,-0.0613917058517669,-0.08449701737403303,-0.015181082807234958,0.08060348805490869
supplementary_162_164,B2_PARENT_PAS_KL,within_seed_two_orders,162,mean,-0.0035073473560346957,-0.007915102686946729,0.005308163305789371,0.013928301603321147
supplementary_162_164,B2_PARENT_PAS_KL,within_seed_two_orders,163,mean,0.006742993826846955,0.0168714027105627,-0.013513823940584646,-0.022081291161507616
supplementary_162_164,B2_PARENT_PAS_KL,within_seed_two_orders,164,mean,-0.05654641588766357,-0.07831456980592894,-0.013010108051133062,0.08158141080874345
supplementary_162_164,B2_PARENT_PAS_KL,across_seeds,mean,mean,-0.01777025647228377,-0.023119423260770988,-0.007071922895309446,0.024476140416852327
