node_id,family,seed,order,stage,domain,origin,rim,cup,disc_union,macro_Dice
P1__B2_PARENT_PAS_KL_C06__S163__O1__STAGE2,B2_PARENT_PAS_KL,163,1,2,Drishti_GS,new_execution,0.7146527621332295,0.7332979724523528,0.9356174084492718,0.7239753672927911
P1__B2_PARENT_PAS_KL_C06__S163__O2__STAGE1,B2_PARENT_PAS_KL,163,2,1,REFUGE,new_execution,0.6876652305067371,0.6731256995087753,0.8870285382377147,0.6803954650077562
P1__B2_PARENT_PAS_KL_C06__S163__O2__STAGE1,B2_PARENT_PAS_KL,163,2,1,Drishti_GS,new_execution,0.7154722798622697,0.7502096289774974,0.9272852278079842,0.7328409544198835
P1__B2_PARENT_PAS_KL_C06__S163__O2__STAGE2,B2_PARENT_PAS_KL,163,2,2,REFUGE,new_execution,0.6481279130345778,0.7631958159118716,0.813973808374341,0.7056618644732247
P1__B2_PARENT_PAS_KL_C06__S163__O2__STAGE2,B2_PARENT_PAS_KL,163,2,2,Drishti_GS,new_execution,0.5193081989465872,0.5222942645802732,0.8360664134604522,0.5208012317634302
P1__B2_PARENT_PAS_KL_C06__S163__O2__STAGE2,B2_PARENT_PAS_KL,163,2,2,RIM_ONE_r3,new_execution,0.7482226097449187,0.6782025624149012,0.8943764010813329,0.7132125860799099
P1__B2_PARENT_PAS_KL_C06__S164__O1__STAGE1,B2_PARENT_PAS_KL,164,1,1,REFUGE,new_execution,0.6088786740850418,0.6911831401450612,0.7739807628425985,0.6500309071150515
P1__B2_PARENT_PAS_KL_C06__S164__O1__STAGE1,B2_PARENT_PAS_KL,164,1,1,RIM_ONE_r3,new_execution,0.7115474559087579,0.6196166289878512,0.8704030509470778,0.6655820424483045
P1__B2_PARENT_PAS_KL_C06__S164__O1__STAGE2,B2_PARENT_PAS_KL,164,1,2,REFUGE,new_execution,0.7877104323935267,0.7599168383817242,0.9139352563898078,0.7738136353876255
P1__B2_PARENT_PAS_KL_C06__S164__O1__STAGE2,B2_PARENT_PAS_KL,164,1,2,RIM_ONE_r3,new_execution,0.6394638314467262,0.6503404753724469,0.8210197812622265,0.6449021534095866
P1__B2_PARENT_PAS_KL_C06__S164__O1__STAGE2,B2_PARENT_PAS_KL,164,1,2,Drishti_GS,new_execution,0.6894149676052994,0.7069408172709193,0.9266236654311095,0.6981778924381093
P1__B2_PARENT_PAS_KL_C06__S164__O2__STAGE1,B2_PARENT_PAS_KL,164,2,1,REFUGE,new_execution,0.7488251748932819,0.7377015154816142,0.9018938165564631,0.7432633451874481
P1__B2_PARENT_PAS_KL_C06__S164__O2__STAGE1,B2_PARENT_PAS_KL,164,2,1,Drishti_GS,new_execution,0.7213242530333025,0.7638212934867918,0.9412593375745147,0.7425727732600471
P1__B2_PARENT_PAS_KL_C06__S164__O2__STAGE2,B2_PARENT_PAS_KL,164,2,2,REFUGE,new_execution,0.7680906462119181,0.752965762477033,0.8911784553151446,0.7605282043444755
P1__B2_PARENT_PAS_KL_C06__S164__O2__STAGE2,B2_PARENT_PAS_KL,164,2,2,Drishti_GS,new_execution,0.6145924689267078,0.610268594065134,0.8745110520246491,0.6124305314959209
P1__B2_PARENT_PAS_KL_C06__S164__O2__STAGE2,B2_PARENT_PAS_KL,164,2,2,RIM_ONE_r3,new_execution,0.7380304380038348,0.6889351209959905,0.8840953643982404,0.7134827794999127
P1__F5_C02__S163__O1__STAGE1,F5,163,1,1,REFUGE,new_execution,0.6961327435850955,0.7268985454839988,0.8458244666268544,0.7115156445345472
P1__F5_C02__S163__O1__STAGE1,F5,163,1,1,RIM_ONE_r3,new_execution,0.7253909991552625,0.647068230787781,0.8818482565975068,0.6862296149715217
P1__F5_C02__S163__O1__STAGE2,F5,163,1,2,REFUGE,new_execution,0.7991304524158237,0.7921659128348782,0.9124159626182888,0.795648182625351
P1__F5_C02__S163__O1__STAGE2,F5,163,1,2,RIM_ONE_r3,new_execution,0.5736824782866486,0.6061944268631725,0.7892641945229009,0.5899384525749105
P1__F5_C02__S163__O1__STAGE2,F5,163,1,2,Drishti_GS,new_execution,0.7282414852673657,0.7338714387964148,0.9447222660593898,0.7310564620318902
P1__F5_C02__S163__O2__STAGE1,F5,163,2,1,REFUGE,new_execution,0.6752989266253518,0.66916789833138,0.8789348989954969,0.672233412478366
P1__F5_C02__S163__O2__STAGE1,F5,163,2,1,Drishti_GS,new_execution,0.7091212426700492,0.7415660198403657,0.9223622912149295,0.7253436312552075
P1__F5_C02__S163__O2__STAGE2,F5,163,2,2,REFUGE,new_execution,0.6662418020489247,0.7532654552673017,0.8243353334395944,0.7097536286581132
P1__F5_C02__S163__O2__STAGE2,F5,163,2,2,Drishti_GS,new_execution,0.45926886854768484,0.5002366779175901,0.7983325356108931,0.47975277323263743
P1__F5_C02__S163__O2__STAGE2,F5,163,2,2,RIM_ONE_r3,new_execution,0.723471763835944,0.6347359230833388,0.8799464631474023,0.6791038434596415
P1__F5_C02__S164__O1__STAGE1,F5,164,1,1,REFUGE,new_execution,0.6615861027116671,0.7553560664027106,0.8148645231197058,0.7084710845571889
P1__F5_C02__S164__O1__STAGE1,F5,164,1,1,RIM_ONE_r3,new_execution,0.7077753712156751,0.6650975589799476,0.8663684856988872,0.6864364650978114
P1__F5_C02__S164__O1__STAGE2,F5,164,1,2,REFUGE,new_execution,0.744083450642628,0.7413463994694054,0.8964460581103058,0.7427149250560168
P1__F5_C02__S164__O1__STAGE2,F5,164,1,2,RIM_ONE_r3,new_execution,0.49971950189750614,0.5637537366335854,0.7677207850052108,0.5317366192655457
P1__F5_C02__S164__O1__STAGE2,F5,164,1,2,Drishti_GS,new_execution,0.6399010700192758,0.7347764482668805,0.9270808882771729,0.6873387591430782
P1__F5_C02__S164__O2__STAGE1,F5,164,2,1,REFUGE,new_execution,0.7649877512441075,0.7480625947989239,0.903919640686352,0.7565251730215157
P1__F5_C02__S164__O2__STAGE1,F5,164,2,1,Drishti_GS,new_execution,0.714256065472712,0.7553153637708846,0.9367265604942808,0.7347857146217983
P1__F5_C02__S164__O2__STAGE2,F5,164,2,2,REFUGE,new_execution,0.7121314410650698,0.7437726534239012,0.8564400300895366,0.7279520472444855
P1__F5_C02__S164__O2__STAGE2,F5,164,2,2,Drishti_GS,new_execution,0.5094566369356595,0.44256867076003004,0.8485922105641032,0.47601265384784475
P1__F5_C02__S164__O2__STAGE2,F5,164,2,2,RIM_ONE_r3,new_execution,0.7309014282371195,0.665701965148236,0.8611528699779333,0.6983016966926777
D__B0_PARENT_LCTX__SELECTED_AFTER_C__S162__O1__STAGE1,B0_PARENT_LCTX,162,1,1,REFUGE,historical_import,0.6516076581467616,0.7264999901686414,0.8143058503628094,0.6890538241577016
