scope,class_id,is_background,pixel_count,old_accuracy,nonfinite_count,hidden_gt_usage,static_kl,static_top1_agreement,static_margin_agreement,static_accuracy,static_margin,static_entropy,global_kl,global_top1_agreement,global_margin_agreement,global_accuracy,global_margin,global_entropy,class_kl,class_top1_agreement,class_margin_agreement,class_accuracy,class_margin,class_entropy,class_kl_reduction_fraction_vs_static,class_top1_minus_static,class_margin_agreement_minus_static,seed,transition,old_site_id,current_site_id,old_margin,old_entropy,class_accuracy_minus_static,class_margin_minus_static
previous_fidelity,ALL,False,921600,0.9755501302083334,0,post_hoc_visible_previous_val_only,5.08486329820421,0.04282877604166667,0.960989367167155,0.041034071180555555,0.9689607450697157,0.06401284800635444,2.650550392998589,0.049994574652777776,0.7636556137932672,0.04775824652777778,0.7688421927558051,0.3140526888105604,0.16032267146640353,0.9523057725694445,0.9658781051635742,0.9489474826388888,0.969913207160102,0.042405944930182564,0.9684706034234936,0.9094769965277778,0.004888737996419201,1,REFUGE->RIM_ONE_r3,REFUGE,RIM_ONE_r3,,,,
previous_fidelity,0,True,814355,0.9907706098691602,0,post_hoc_visible_previous_val_only,5.217596422168465,0.0006434540218946283,0.9747412613932191,1.1051691215747432e-05,0.977971876036096,0.05510384362614815,2.588583104113071,0.0030564066039994843,0.7563065655679956,0.002388393268292084,0.7576262233608193,0.33028234025125713,0.04081083384002907,0.9881403073598124,0.9870683508727767,0.9927402668369446,0.989139346188855,0.017898357001692483,0.9921782310209672,0.9874968533379178,0.012327089479557518,1,REFUGE->RIM_ONE_r3,REFUGE,RIM_ONE_r3,,,,
previous_fidelity,1,False,79920,0.8900650650650651,0,post_hoc_visible_previous_val_only,3.70437841405859,0.4005255255255255,0.852801489233374,0.4348348348348348,0.8939070906844344,0.14170472237679574,2.4465900959553304,0.4633383383383383,0.8006252987606748,0.5011261261261262,0.8287010704552209,0.2235341779462568,1.095644949148367,0.6957082082082082,0.817805739088698,0.6774774774774774,0.838933617455346,0.21700046222369831,0.7042297447284936,0.2951826826826827,-0.03499575014467593,1,REFUGE->RIM_ONE_r3,REFUGE,RIM_ONE_r3,,,,
previous_fidelity,2,False,27325,0.7719670631290028,0,post_hoc_visible_previous_val_only,5.166710824922804,0.2538700823421775,0.8675754646936471,0.11183897529734675,0.9199223463053237,0.10229126353495076,5.093875210858875,0.23992680695333943,0.8745479556517326,0.07388838060384263,0.9280317597245253,0.0951154744810504,0.9864565635185556,0.63483989021043,0.7674359493831484,0.437804208600183,0.7800133596073021,0.26214181186295604,0.8090745549837707,0.38096980786825246,-0.1001395153104987,1,REFUGE->RIM_ONE_r3,REFUGE,RIM_ONE_r3,,,,
current_safety,ALL,False,516096,0.953278072296627,0,post_hoc_current_train_labeled_and_val_only,,,,0.04614839099702381,0.9670097638690283,0.06480480044607133,,,,,,,,,,0.9694339812748016,0.970585164569673,0.04251917936499157,,,,1,REFUGE->RIM_ONE_r3,REFUGE,RIM_ONE_r3,0.9874183412582155,0.01531395304297644,0.9232855902777778,0.0035754007006447708
current_safety,0,True,465728,0.9701843135907654,0,post_hoc_current_train_labeled_and_val_only,,,,0.0,0.9795780577665504,0.051979905778896156,,,,,,,,,,0.9895969321148825,0.9860535716394548,0.022107927160668017,,,,1,REFUGE->RIM_ONE_r3,REFUGE,RIM_ONE_r3,0.993152152382936,0.008481073464701198,0.9895969321148825,0.006475513872904459
current_safety,1,False,37554,0.8409490333919156,0,post_hoc_current_train_labeled_and_val_only,,,,0.5405283059061617,0.8515531969900842,0.18581552216500946,,,,,,,,,,0.8211908185546147,0.8529724488403366,0.2089439758180512,,,,1,REFUGE->RIM_ONE_r3,REFUGE,RIM_ONE_r3,0.9425773110678956,0.06892978448599121,0.280662512648453,0.0014192518502523788
current_safety,2,False,12814,0.6680193538317465,0,post_hoc_current_train_labeled_and_val_only,,,,0.27454346808178554,0.8485801843244571,0.17628253066299746,,,,,,,,,,0.6710628999531763,0.7530705151439587,0.29662988530839685,,,,1,REFUGE->RIM_ONE_r3,REFUGE,RIM_ONE_r3,0.910437774300966,0.10652470428671613,0.3965194318713907,-0.09550966918049841
previous_fidelity,ALL,False,368640,0.9585015190972223,0,post_hoc_visible_previous_val_only,5.276745647854275,0.00849338107638889,0.6963972780439589,0.0137939453125,0.7156891081068251,0.4077384365929498,4.035028160942925,0.02394748263888889,0.45835434330834285,0.03184136284722222,0.44138731956481936,0.6508391433291965,0.2157569964726766,0.9455674913194444,0.9576974550882975,0.9348442925347222,0.9712066650390625,0.039750018384721544,0.9591117308145387,0.9370741102430555,0.2613001770443386,1,RIM_ONE_r3->Drishti_GS,RIM_ONE_r3,Drishti_GS,,,,
previous_fidelity,0,True,332481,0.9835629705156084,0,post_hoc_visible_previous_val_only,5.2820487768473985,0.00016241529591164608,0.6878111373751432,0.00032182290115826166,0.6976637210566168,0.43434222145870743,4.1150329830877554,0.007456065158610567,0.4444287999492828,0.0020001142922452713,0.4305816975960656,0.6670522443857694,0.07942718540096089,0.9772558431910395,0.9798198113670405,0.9702930393014939,0.9848414094057254,0.022259090689228295,0.9849628072824486,0.9770934278951279,0.29200867399189734,1,RIM_ONE_r3->Drishti_GS,RIM_ONE_r3,Drishti_GS,,,,
