run_name,checkpoint,checkpoint_name,checkpoint_sha256,method_name,site_id,site_index,records,pixels,has_historical_model,component_area_p10
fundus_seed0_lcrseg_v0_2_r0_uniform_full200e,/home/jiangsuiyang/SSL_CL/runs/fundus_seed0_lcrseg_v0_2_r0_uniform_full200e/checkpoint_final_site0_REFUGE.pt,checkpoint_final_site0_REFUGE.pt,7cf2741b2a59802683fefc7cd340aefe7dd4e4e4b20e633be14dcae73823b33c,lcrseg_v0_2,REFUGE,0,160,1474560,False,"{""0"": 248.0000000000001, ""1"": 30.6, ""2"": 2672.6}"
fundus_seed0_lcrseg_v0_2_r0_uniform_full200e,/home/jiangsuiyang/SSL_CL/runs/fundus_seed0_lcrseg_v0_2_r0_uniform_full200e/checkpoint_final_site1_RIM_ONE_r3.pt,checkpoint_final_site1_RIM_ONE_r3.pt,d1fa3d4c4872e549b5278dbeef966ff304fe5786aa76b0d8b482674879e073c3,lcrseg_v0_2,RIM_ONE_r3,1,63,580608,True,"{""0"": 1.0, ""1"": 1.0, ""2"": 1.0}"
fundus_seed0_lcrseg_v0_2_r0_uniform_full200e,/home/jiangsuiyang/SSL_CL/runs/fundus_seed0_lcrseg_v0_2_r0_uniform_full200e/checkpoint_final_site2_Drishti_GS.pt,checkpoint_final_site2_Drishti_GS.pt,e86aceefa2324a59d58df3ee434647bf24728d53fcd0717424812cd947f21467,lcrseg_v0_2,Drishti_GS,2,41,377856,True,"{""0"": 58605.0, ""1"": 1.0, ""2"": 1.0}"
