site_id,site_index,class_id,calibrator_status,calibrator_last_update_epoch,pseudo_candidate_count,assim_selected_count,assim_selected_fraction,relation_valid_count,compat_rejected_count,compat_rejected_fraction
REFUGE,0,0,not_applicable_first_site,-1,238489005,238489005,1.0,0,0,nan
REFUGE,0,1,not_applicable_first_site,-1,19189794,19189794,1.0,0,0,nan
REFUGE,0,2,not_applicable_first_site,-1,6823696,6823696,1.0,0,0,nan
RIM_ONE_r3,1,0,disabled_uniform,-1,101017408,101017408,1.0,100107708,0,0.0
RIM_ONE_r3,1,1,disabled_uniform,-1,5927908,5927908,1.0,7459410,0,0.0
RIM_ONE_r3,1,2,disabled_uniform,-1,2854194,2854194,1.0,6043282,0,0.0
Drishti_GS,2,0,disabled_uniform,-1,62207875,62207875,1.0,63880126,0,0.0
Drishti_GS,2,1,disabled_uniform,-1,4919532,4919532,1.0,6539111,0,0.0
Drishti_GS,2,2,disabled_uniform,-1,3674672,3674672,1.0,3500763,0,0.0
