run_name,checkpoint,checkpoint_name,checkpoint_sha256,method_name,site_id,site_index,region,class_id,pixel_count,pixel_fraction,pseudo_valid_coverage,pseudo_label_accuracy,admission_fraction,assim_effective_sample_size,compatibility_available,old_relation_accuracy,rejection_fraction,consolidation_weight_mean,cons_effective_sample_size,raw_l_mean,raw_l_p10,raw_l_p50,raw_l_p90,raw_c_mean,raw_c_p10,raw_c_p50,raw_c_p90,calibrated_c_mean,calibrated_c_p10,calibrated_c_p50,calibrated_c_p90
fundus_seed0_lcrseg_v0_2_r0_uniform_full200e,/home/jiangsuiyang/SSL_CL/runs/fundus_seed0_lcrseg_v0_2_r0_uniform_full200e/checkpoint_final_site0_REFUGE.pt,checkpoint_final_site0_REFUGE.pt,7cf2741b2a59802683fefc7cd340aefe7dd4e4e4b20e633be14dcae73823b33c,lcrseg_v0_2,REFUGE,0,small_component,1,94,6.374782986111112e-05,0.2127659574468085,0.55,1.0,19.999999999999,False,nan,nan,nan,nan,0.0417432021745976,0.0,0.0,0.19224636107683182,nan,nan,nan,nan,nan,nan,nan,nan
fundus_seed0_lcrseg_v0_2_r0_uniform_full200e,/home/jiangsuiyang/SSL_CL/runs/fundus_seed0_lcrseg_v0_2_r0_uniform_full200e/checkpoint_final_site0_REFUGE.pt,checkpoint_final_site0_REFUGE.pt,7cf2741b2a59802683fefc7cd340aefe7dd4e4e4b20e633be14dcae73823b33c,lcrseg_v0_2,REFUGE,0,small_component,2,1265,0.0008578830295138889,0.9494071146245059,0.8850957535387177,1.0,1200.999999999999,False,nan,nan,nan,nan,0.5592370806313433,0.13392190039157867,0.7035231590270996,0.7305910110473632,nan,nan,nan,nan,nan,nan,nan,nan
fundus_seed0_lcrseg_v0_2_r0_uniform_full200e,/home/jiangsuiyang/SSL_CL/runs/fundus_seed0_lcrseg_v0_2_r0_uniform_full200e/checkpoint_final_site1_RIM_ONE_r3.pt,checkpoint_final_site1_RIM_ONE_r3.pt,d1fa3d4c4872e549b5278dbeef966ff304fe5786aa76b0d8b482674879e073c3,lcrseg_v0_2,RIM_ONE_r3,1,all,0,516522,0.8896226025132276,0.9943390600981178,0.9906210693966877,1.0,513598.0,True,0.9713313276104406,0.0,1.0,516522.0,0.5795399452469879,0.2090844213962555,0.69785475730896,0.7302567303180695,0.9475390007699636,0.9185672044754029,0.9894204139709473,0.9944485425949097,0.9475390007699636,0.9185672044754029,0.9894204139709473,0.9944485425949097
fundus_seed0_lcrseg_v0_2_r0_uniform_full200e,/home/jiangsuiyang/SSL_CL/runs/fundus_seed0_lcrseg_v0_2_r0_uniform_full200e/checkpoint_final_site1_RIM_ONE_r3.pt,checkpoint_final_site1_RIM_ONE_r3.pt,d1fa3d4c4872e549b5278dbeef966ff304fe5786aa76b0d8b482674879e073c3,lcrseg_v0_2,RIM_ONE_r3,1,all,1,43120,0.07426697530864197,0.8155844155844156,0.7334224294813467,1.0,35168.0,True,0.5433441558441559,0.0,1.0,43120.0,0.46826398057555557,0.0,0.6454268097877502,0.7291184723377228,0.5103532666419088,0.0,0.6354749500751495,0.9772178888320923,0.5103532666419088,0.0,0.6354749500751495,0.9772178888320923
fundus_seed0_lcrseg_v0_2_r0_uniform_full200e,/home/jiangsuiyang/SSL_CL/runs/fundus_seed0_lcrseg_v0_2_r0_uniform_full200e/checkpoint_final_site1_RIM_ONE_r3.pt,checkpoint_final_site1_RIM_ONE_r3.pt,d1fa3d4c4872e549b5278dbeef966ff304fe5786aa76b0d8b482674879e073c3,lcrseg_v0_2,RIM_ONE_r3,1,all,2,20966,0.036110422178130513,0.8002480206047887,0.6367862677315532,1.0,16778.0,True,0.5803205189354192,0.0,1.0,20966.0,0.4467986658900755,0.0,0.579683780670166,0.7301494181156158,0.7877527764688942,0.3501030057668686,0.9487609267234802,0.9954827129840851,0.7877527764688942,0.3501030057668686,0.9487609267234802,0.9954827129840851
fundus_seed0_lcrseg_v0_2_r0_uniform_full200e,/home/jiangsuiyang/SSL_CL/runs/fundus_seed0_lcrseg_v0_2_r0_uniform_full200e/checkpoint_final_site1_RIM_ONE_r3.pt,checkpoint_final_site1_RIM_ONE_r3.pt,d1fa3d4c4872e549b5278dbeef966ff304fe5786aa76b0d8b482674879e073c3,lcrseg_v0_2,RIM_ONE_r3,1,boundary,0,5261,0.00906119102733686,0.8234176012164988,0.5837950138504155,1.0,4331.999999999999,True,0.4947728568713172,0.0,1.0,5260.999999999999,0.2381417391176667,0.0,0.1227278783917427,0.6737629175186157,0.5835286481792773,0.0,0.7144359350204468,0.9731071591377258,0.5835286481792773,0.0,0.7144359350204468,0.9731071591377258
fundus_seed0_lcrseg_v0_2_r0_uniform_full200e,/home/jiangsuiyang/SSL_CL/runs/fundus_seed0_lcrseg_v0_2_r0_uniform_full200e/checkpoint_final_site1_RIM_ONE_r3.pt,checkpoint_final_site1_RIM_ONE_r3.pt,d1fa3d4c4872e549b5278dbeef966ff304fe5786aa76b0d8b482674879e073c3,lcrseg_v0_2,RIM_ONE_r3,1,boundary,1,9279,0.015981522817460316,0.8018105399288716,0.5905913978494624,1.0,7439.999999999999,True,0.4970363185688113,0.0,1.0,9278.999999999998,0.3763182184211601,0.0,0.38794881105422974,0.7256069183349609,0.5151393814390799,0.0,0.648099958896637,0.9694945216178894,0.5151393814390799,0.0,0.648099958896637,0.9694945216178894
fundus_seed0_lcrseg_v0_2_r0_uniform_full200e,/home/jiangsuiyang/SSL_CL/runs/fundus_seed0_lcrseg_v0_2_r0_uniform_full200e/checkpoint_final_site1_RIM_ONE_r3.pt,checkpoint_final_site1_RIM_ONE_r3.pt,d1fa3d4c4872e549b5278dbeef966ff304fe5786aa76b0d8b482674879e073c3,lcrseg_v0_2,RIM_ONE_r3,1,boundary,2,4490,0.0077332727072310405,0.7621380846325168,0.42811221507890124,1.0,3421.999999999999,True,0.4062360801781737,0.0,1.0,4489.999999999999,0.37533622229811975,0.0,0.3695947825908661,0.7284076690673829,0.7520603321542453,0.27068438231945047,0.8986342251300812,0.9931516349315643,0.7520603321542453,0.27068438231945047,0.8986342251300812,0.9931516349315643
fundus_seed0_lcrseg_v0_2_r0_uniform_full200e,/home/jiangsuiyang/SSL_CL/runs/fundus_seed0_lcrseg_v0_2_r0_uniform_full200e/checkpoint_final_site1_RIM_ONE_r3.pt,checkpoint_final_site1_RIM_ONE_r3.pt,d1fa3d4c4872e549b5278dbeef966ff304fe5786aa76b0d8b482674879e073c3,lcrseg_v0_2,RIM_ONE_r3,1,interior,0,511261,0.8805614114858906,0.9960978834685219,0.9940816783370576,1.0,509266.0,True,0.9762352301466374,0.0,1.0,511261.0,0.5830530157969542,0.217549130320549,0.6991680860519409,0.7302629947662354,0.9512847558050231,0.9270938634872437,0.9895049929618835,0.9944618940353394,0.9512847558050231,0.9270938634872437,0.9895049929618835,0.9944618940353394
fundus_seed0_lcrseg_v0_2_r0_uniform_full200e,/home/jiangsuiyang/SSL_CL/runs/fundus_seed0_lcrseg_v0_2_r0_uniform_full200e/checkpoint_final_site1_RIM_ONE_r3.pt,checkpoint_final_site1_RIM_ONE_r3.pt,d1fa3d4c4872e549b5278dbeef966ff304fe5786aa76b0d8b482674879e073c3,lcrseg_v0_2,RIM_ONE_r3,1,interior,1,33841,0.05828545249118166,0.8193611299902485,0.7717469705712637,1.0,27728.0,True,0.5560414881356934,0.0,1.0,33841.0,0.493474959182294,0.0,0.6828230023384094,0.7293557524681091,0.509040942561564,0.0,0.6312859058380127,0.978981614112854,0.509040942561564,0.0,0.6312859058380127,0.978981614112854
