run_name,checkpoint,checkpoint_name,checkpoint_sha256,method_name,site_id,site_index,route,scope,class_id,valid_count,weighted_pixel_count,effective_pixel_count,effective_fraction_of_valid,weight_mean_over_valid
fundus_seed0_lcrseg_v0_2_r0_uniform_full200e,/home/jiangsuiyang/SSL_CL/runs/fundus_seed0_lcrseg_v0_2_r0_uniform_full200e/checkpoint_final_site0_REFUGE.pt,checkpoint_final_site0_REFUGE.pt,7cf2741b2a59802683fefc7cd340aefe7dd4e4e4b20e633be14dcae73823b33c,lcrseg_v0_2,REFUGE,0,assimilation,global,,1457839,1457839.0,1457839.0,1.0,1.0
fundus_seed0_lcrseg_v0_2_r0_uniform_full200e,/home/jiangsuiyang/SSL_CL/runs/fundus_seed0_lcrseg_v0_2_r0_uniform_full200e/checkpoint_final_site0_REFUGE.pt,checkpoint_final_site0_REFUGE.pt,7cf2741b2a59802683fefc7cd340aefe7dd4e4e4b20e633be14dcae73823b33c,lcrseg_v0_2,REFUGE,0,assimilation,class,0,1301400,1301400.0,1301400.0,1.0,1.0
fundus_seed0_lcrseg_v0_2_r0_uniform_full200e,/home/jiangsuiyang/SSL_CL/runs/fundus_seed0_lcrseg_v0_2_r0_uniform_full200e/checkpoint_final_site0_REFUGE.pt,checkpoint_final_site0_REFUGE.pt,7cf2741b2a59802683fefc7cd340aefe7dd4e4e4b20e633be14dcae73823b33c,lcrseg_v0_2,REFUGE,0,assimilation,class,1,113520,113520.0,113520.0,1.0,1.0
fundus_seed0_lcrseg_v0_2_r0_uniform_full200e,/home/jiangsuiyang/SSL_CL/runs/fundus_seed0_lcrseg_v0_2_r0_uniform_full200e/checkpoint_final_site0_REFUGE.pt,checkpoint_final_site0_REFUGE.pt,7cf2741b2a59802683fefc7cd340aefe7dd4e4e4b20e633be14dcae73823b33c,lcrseg_v0_2,REFUGE,0,assimilation,class,2,42919,42919.0,42919.0,1.0,1.0
fundus_seed0_lcrseg_v0_2_r0_uniform_full200e,/home/jiangsuiyang/SSL_CL/runs/fundus_seed0_lcrseg_v0_2_r0_uniform_full200e/checkpoint_final_site1_RIM_ONE_r3.pt,checkpoint_final_site1_RIM_ONE_r3.pt,d1fa3d4c4872e549b5278dbeef966ff304fe5786aa76b0d8b482674879e073c3,lcrseg_v0_2,RIM_ONE_r3,1,assimilation,global,,565544,565544.0,565544.0,1.0,1.0
fundus_seed0_lcrseg_v0_2_r0_uniform_full200e,/home/jiangsuiyang/SSL_CL/runs/fundus_seed0_lcrseg_v0_2_r0_uniform_full200e/checkpoint_final_site1_RIM_ONE_r3.pt,checkpoint_final_site1_RIM_ONE_r3.pt,d1fa3d4c4872e549b5278dbeef966ff304fe5786aa76b0d8b482674879e073c3,lcrseg_v0_2,RIM_ONE_r3,1,assimilation,class,0,513598,513598.0,513598.0,1.0,1.0
fundus_seed0_lcrseg_v0_2_r0_uniform_full200e,/home/jiangsuiyang/SSL_CL/runs/fundus_seed0_lcrseg_v0_2_r0_uniform_full200e/checkpoint_final_site1_RIM_ONE_r3.pt,checkpoint_final_site1_RIM_ONE_r3.pt,d1fa3d4c4872e549b5278dbeef966ff304fe5786aa76b0d8b482674879e073c3,lcrseg_v0_2,RIM_ONE_r3,1,assimilation,class,1,35168,35168.0,35168.0,1.0,1.0
fundus_seed0_lcrseg_v0_2_r0_uniform_full200e,/home/jiangsuiyang/SSL_CL/runs/fundus_seed0_lcrseg_v0_2_r0_uniform_full200e/checkpoint_final_site1_RIM_ONE_r3.pt,checkpoint_final_site1_RIM_ONE_r3.pt,d1fa3d4c4872e549b5278dbeef966ff304fe5786aa76b0d8b482674879e073c3,lcrseg_v0_2,RIM_ONE_r3,1,assimilation,class,2,16778,16778.0,16778.0,1.0,1.0
fundus_seed0_lcrseg_v0_2_r0_uniform_full200e,/home/jiangsuiyang/SSL_CL/runs/fundus_seed0_lcrseg_v0_2_r0_uniform_full200e/checkpoint_final_site1_RIM_ONE_r3.pt,checkpoint_final_site1_RIM_ONE_r3.pt,d1fa3d4c4872e549b5278dbeef966ff304fe5786aa76b0d8b482674879e073c3,lcrseg_v0_2,RIM_ONE_r3,1,consolidation,global,,580608,580608.0,580608.0,1.0,1.0
fundus_seed0_lcrseg_v0_2_r0_uniform_full200e,/home/jiangsuiyang/SSL_CL/runs/fundus_seed0_lcrseg_v0_2_r0_uniform_full200e/checkpoint_final_site1_RIM_ONE_r3.pt,checkpoint_final_site1_RIM_ONE_r3.pt,d1fa3d4c4872e549b5278dbeef966ff304fe5786aa76b0d8b482674879e073c3,lcrseg_v0_2,RIM_ONE_r3,1,consolidation,class,0,511049,511049.0,511049.0,1.0,1.0
