run_name,checkpoint,checkpoint_name,checkpoint_sha256,method_name,site_id,site_index,route,class_id,bin,pixel_count,valid_pixel_count,valid_coverage,correctness,applied_count,applied_fraction,weight_mean_over_valid,effective_pixel_count,score_mean,score_p10,score_p50,score_p90
fundus_seed0_lcrseg_v0_2_r0_uniform_full200e,/home/jiangsuiyang/SSL_CL/runs/fundus_seed0_lcrseg_v0_2_r0_uniform_full200e/checkpoint_final_site0_REFUGE.pt,checkpoint_final_site0_REFUGE.pt,7cf2741b2a59802683fefc7cd340aefe7dd4e4e4b20e633be14dcae73823b33c,lcrseg_v0_2,REFUGE,0,learnability,1,0,11352,11352,1.0,0.6321353065539113,11352,1.0,1.0,11351.999999999998,0.15574244874427154,0.08523885756731034,0.16041000932455063,0.21916398406028748
fundus_seed0_lcrseg_v0_2_r0_uniform_full200e,/home/jiangsuiyang/SSL_CL/runs/fundus_seed0_lcrseg_v0_2_r0_uniform_full200e/checkpoint_final_site0_REFUGE.pt,checkpoint_final_site0_REFUGE.pt,7cf2741b2a59802683fefc7cd340aefe7dd4e4e4b20e633be14dcae73823b33c,lcrseg_v0_2,REFUGE,0,learnability,1,1,11352,11352,1.0,0.7284178999295279,11352,1.0,1.0,11351.999999999998,0.31699557538085876,0.24896369874477386,0.3147341310977936,0.38876895904541015
fundus_seed0_lcrseg_v0_2_r0_uniform_full200e,/home/jiangsuiyang/SSL_CL/runs/fundus_seed0_lcrseg_v0_2_r0_uniform_full200e/checkpoint_final_site0_REFUGE.pt,checkpoint_final_site0_REFUGE.pt,7cf2741b2a59802683fefc7cd340aefe7dd4e4e4b20e633be14dcae73823b33c,lcrseg_v0_2,REFUGE,0,learnability,1,2,11352,11352,1.0,0.7973925299506694,11352,1.0,1.0,11351.999999999998,0.49028066840807766,0.4248529314994812,0.49283507466316223,0.5506392061710358
fundus_seed0_lcrseg_v0_2_r0_uniform_full200e,/home/jiangsuiyang/SSL_CL/runs/fundus_seed0_lcrseg_v0_2_r0_uniform_full200e/checkpoint_final_site0_REFUGE.pt,checkpoint_final_site0_REFUGE.pt,7cf2741b2a59802683fefc7cd340aefe7dd4e4e4b20e633be14dcae73823b33c,lcrseg_v0_2,REFUGE,0,learnability,1,3,11352,11352,1.0,0.8601127554615927,11352,1.0,1.0,11351.999999999998,0.6133569054636341,0.5754696726799011,0.6157104671001434,0.6469152569770813
fundus_seed0_lcrseg_v0_2_r0_uniform_full200e,/home/jiangsuiyang/SSL_CL/runs/fundus_seed0_lcrseg_v0_2_r0_uniform_full200e/checkpoint_final_site0_REFUGE.pt,checkpoint_final_site0_REFUGE.pt,7cf2741b2a59802683fefc7cd340aefe7dd4e4e4b20e633be14dcae73823b33c,lcrseg_v0_2,REFUGE,0,learnability,1,4,11352,11352,1.0,0.9049506694855532,11352,1.0,1.0,11351.999999999998,0.6777476646777943,0.6594752311706543,0.6793575882911682,0.6931594729423523
fundus_seed0_lcrseg_v0_2_r0_uniform_full200e,/home/jiangsuiyang/SSL_CL/runs/fundus_seed0_lcrseg_v0_2_r0_uniform_full200e/checkpoint_final_site0_REFUGE.pt,checkpoint_final_site0_REFUGE.pt,7cf2741b2a59802683fefc7cd340aefe7dd4e4e4b20e633be14dcae73823b33c,lcrseg_v0_2,REFUGE,0,learnability,1,5,11352,11352,1.0,0.9301444679351656,11352,1.0,1.0,11351.999999999998,0.7058240573714114,0.6984484195709229,0.7064614295959473,0.7120335817337036
fundus_seed0_lcrseg_v0_2_r0_uniform_full200e,/home/jiangsuiyang/SSL_CL/runs/fundus_seed0_lcrseg_v0_2_r0_uniform_full200e/checkpoint_final_site0_REFUGE.pt,checkpoint_final_site0_REFUGE.pt,7cf2741b2a59802683fefc7cd340aefe7dd4e4e4b20e633be14dcae73823b33c,lcrseg_v0_2,REFUGE,0,learnability,1,6,11352,11352,1.0,0.9386011275546159,11352,1.0,1.0,11351.999999999998,0.717453739240272,0.7141969382762909,0.7176616489887238,0.7202768146991729
fundus_seed0_lcrseg_v0_2_r0_uniform_full200e,/home/jiangsuiyang/SSL_CL/runs/fundus_seed0_lcrseg_v0_2_r0_uniform_full200e/checkpoint_final_site0_REFUGE.pt,checkpoint_final_site0_REFUGE.pt,7cf2741b2a59802683fefc7cd340aefe7dd4e4e4b20e633be14dcae73823b33c,lcrseg_v0_2,REFUGE,0,learnability,1,7,11352,11352,1.0,0.9562191684284708,11352,1.0,1.0,11351.999999999998,0.7230454696167767,0.7213058531284332,0.7231467366218567,0.7246048390865326
fundus_seed0_lcrseg_v0_2_r0_uniform_full200e,/home/jiangsuiyang/SSL_CL/runs/fundus_seed0_lcrseg_v0_2_r0_uniform_full200e/checkpoint_final_site0_REFUGE.pt,checkpoint_final_site0_REFUGE.pt,7cf2741b2a59802683fefc7cd340aefe7dd4e4e4b20e633be14dcae73823b33c,lcrseg_v0_2,REFUGE,0,learnability,1,8,11352,11352,1.0,0.9706659619450317,11352,1.0,1.0,11351.999999999998,0.7263952325911401,0.7252732574939728,0.7264329493045807,0.7274386405944824
fundus_seed0_lcrseg_v0_2_r0_uniform_full200e,/home/jiangsuiyang/SSL_CL/runs/fundus_seed0_lcrseg_v0_2_r0_uniform_full200e/checkpoint_final_site0_REFUGE.pt,checkpoint_final_site0_REFUGE.pt,7cf2741b2a59802683fefc7cd340aefe7dd4e4e4b20e633be14dcae73823b33c,lcrseg_v0_2,REFUGE,0,learnability,1,9,11352,11352,1.0,0.9741014799154334,11352,1.0,1.0,11351.999999999998,0.7292025892498462,0.7279220938682556,0.7288876175880432,0.7300588428974152
