trained_domain,REFUGE,RIM_ONE_r3,Drishti_GS
REFUGE,0.8031783629532564,,
RIM_ONE_r3,0.6854412476189774,0.6939878095816487,
Drishti_GS,0.5038682326307456,0.4769530719801518,0.7577087180416107
