lambda_align,contrast,seed,order,Final,Old,Incoming,Forget
0.05,C3-C0,163,1,-7.636491276341584e-05,-0.00019852378422346995,0.00016795283015658136,0.00019852378422341443
0.05,C2-C0,163,1,-0.00015527835091677655,-0.00028562953243793654,0.00010542401212565444,0.00028562953243793654
0.05,C3-C2,163,1,7.891343815336072e-05,8.71057482144666e-05,6.252881803092691e-05,-8.71057482145221e-05
0.5,C3-C0,163,1,-0.0004303612107755539,-0.0010053272530057278,0.0007195708736846829,0.0010053272530056723
0.5,C2-C0,163,1,-0.0010619849814559323,-0.0018970043103042622,0.0006080536762408384,0.0018970043103042622
0.5,C3-C2,163,1,0.0006316237706803784,0.0008916770572985344,0.00011151719744384447,-0.0008916770572985899
2.0,C3-C0,163,1,-0.0004362355223582748,-0.002433267965486152,0.003557829363897369,0.0024332679654860967
2.0,C2-C0,163,1,-0.0039114123043441085,-0.006639443700611425,0.0015446504881904133,0.006639443700611425
2.0,C3-C2,163,1,0.0034751767819858337,0.004206175735125273,0.0020131788757069558,-0.004206175735125328
