node_id,arm,lambda_align,seed,order,origin,domain,rim,cup,disc_union,macro_Dice
D1__C0__S163__O1__STAGE2,C0,0.0,163,1,historical_import,REFUGE,0.714951813655913,0.7205105914125619,0.8767946157031549,0.7177312025342375
D1__C0__S163__O1__STAGE2,C0,0.0,163,1,historical_import,RIM_ONE_r3,0.5401228878479282,0.5867033671078096,0.7736522963716268,0.5634131274778689
D1__C0__S163__O1__STAGE2,C0,0.0,163,1,historical_import,Drishti_GS,0.7146527621332295,0.7332979724523528,0.9356174084492718,0.7239753672927911
D1__C2__S163__O1__STAGE2,C2,0.05,163,1,historical_import,REFUGE,0.7148259954808962,0.7206930163385037,0.8766385591144926,0.7177595059097
D1__C2__S163__O1__STAGE2,C2,0.05,163,1,historical_import,RIM_ONE_r3,0.5393734067625816,0.5862537233124796,0.7735027928821661,0.5628135650375305
D1__C2__S163__O1__STAGE2,C2,0.05,163,1,historical_import,Drishti_GS,0.7147590071152198,0.7334025754946139,0.9356455239191571,0.7240807913049168
D1__C3__S163__O1__STAGE2,C3,0.05,163,1,historical_import,REFUGE,0.7148718606082043,0.7208670118624008,0.8767193920340709,0.7178694362353025
D1__C3__S163__O1__STAGE2,C3,0.05,163,1,historical_import,RIM_ONE_r3,0.5393309774908991,0.586424714925815,0.7735443819786505,0.562877846208357
D1__C3__S163__O1__STAGE2,C3,0.05,163,1,historical_import,Drishti_GS,0.7148882876605159,0.7333983525853796,0.9357077774661081,0.7241433201229477
DOSE__C2__L0p5__S163__O1__STAGE2,C2,0.5,163,1,new_execution,REFUGE,0.7149606704669265,0.721760282341089,0.8763620094370426,0.7183604764040077
DOSE__C2__L0p5__S163__O1__STAGE2,C2,0.5,163,1,new_execution,RIM_ONE_r3,0.5346759838926818,0.5833037060822986,0.7730974860564332,0.5589898449874902
DOSE__C2__L0p5__S163__O1__STAGE2,C2,0.5,163,1,new_execution,Drishti_GS,0.7150582256735563,0.7341086162645076,0.9360275161184365,0.7245834209690319
DOSE__C3__L0p5__S163__O1__STAGE2,C3,0.5,163,1,new_execution,REFUGE,0.7153171345612886,0.7240433941183056,0.8767431188585253,0.7196802643397971
DOSE__C3__L0p5__S163__O1__STAGE2,C3,0.5,163,1,new_execution,RIM_ONE_r3,0.5344733039788971,0.5844335183536986,0.7739702236420953,0.5594534111662979
DOSE__C3__L0p5__S163__O1__STAGE2,C3,0.5,163,1,new_execution,Drishti_GS,0.715911393467058,0.7334784828658937,0.9360790973488364,0.7246949381664758
DOSE__C2__L2p0__S163__O1__STAGE2,C2,2.0,163,1,new_execution,REFUGE,0.7170228789697927,0.722094878520525,0.8767040833907177,0.7195588787451588
DOSE__C2__L2p0__S163__O1__STAGE2,C2,2.0,163,1,new_execution,RIM_ONE_r3,0.5207700867000973,0.5758430410313521,0.7707912416557335,0.5483065638657247
DOSE__C2__L2p0__S163__O1__STAGE2,C2,2.0,163,1,new_execution,Drishti_GS,0.7146971576257024,0.7363428779362607,0.9364305627973956,0.7255200177809815
DOSE__C3__L2p0__S163__O1__STAGE2,C3,2.0,163,1,new_execution,REFUGE,0.7178916786423983,0.7297880793387211,0.8776558758453591,0.7238398789905598
DOSE__C3__L2p0__S163__O1__STAGE2,C3,2.0,163,1,new_execution,RIM_ONE_r3,0.5228625698627207,0.582013260318428,0.774534023370449,0.5524379150905744
DOSE__C3__L2p0__S163__O1__STAGE2,C3,2.0,163,1,new_execution,Drishti_GS,0.7200764974734015,0.7349898958399753,0.9368895874166067,0.7275331966566885
