backbone,contrast,delta
UNET_QUERY_128,Q0-D0,0.012832191474735799
UNET_QUERY_128,Q3-Q0,-0.006245746174827316
UNET_QUERY_128,Q3-Q1,-0.006733300546184262
UNET_QUERY_128,Q3-Q2,-0.0022019644873216837
UNET_QUERY_128,Q3-Q4,-0.002012947192415626
DINOV2_VITS14_QUERY,Q0-D0,-0.006711097434163094
DINOV2_VITS14_QUERY,Q3-Q0,0.0004755274578929214
DINOV2_VITS14_QUERY,Q3-Q1,6.26359134913157e-05
DINOV2_VITS14_QUERY,Q3-Q2,0.00015100568532955272
DINOV2_VITS14_QUERY,Q3-Q4,0.00034171272069227765
