arm,backbone,checkpoint_sha256,code_commit,config_digest,cup,deployment_equal,disc_union,domain,latency_ms_mean,latency_ms_p95,macro,rim,supported_images,task,training_code_commit
D0,DINOV2_VITS14_QUERY,c6b7205b30e2ec718a6b0fc9c4a52f88a3db446abeb8cee3221a58ce59e472ba,41dfa243f15b184d728c19422a9f23ddcb346de9,b3a8b9b95b9546b14ed007ab104b313ace54f4d5f6a0190d1452486c3f50094c,0.8153595745563507,True,0.9599266007542611,RIM_ONE_r3,21.352651715278625,21.881362609565258,0.837332883477211,0.8593061923980713,40,DINOV2_VITS14_QUERY__RIM_ONE_r3__D0,41dfa243f15b184d728c19422a9f23ddcb346de9
D0,DINOV2_VITS14_QUERY,68d25df1e498c8090846656ce0532b6f07292679efc94e2b60b3f643b5925909,41dfa243f15b184d728c19422a9f23ddcb346de9,b3a8b9b95b9546b14ed007ab104b313ace54f4d5f6a0190d1452486c3f50094c,0.8580497765541076,True,0.9644471168518066,Drishti_GS,21.205612178891897,21.53855476062745,0.8507563889026641,0.8434630012512208,25,DINOV2_VITS14_QUERY__Drishti_GS__D0,41dfa243f15b184d728c19422a9f23ddcb346de9
Q1,UNET_QUERY_128,e45f0e39e27e9a072ee5911a06558069dfa5c7e6e0f1176e9b1e3f6c7ab35c44,41dfa243f15b184d728c19422a9f23ddcb346de9,b3a8b9b95b9546b14ed007ab104b313ace54f4d5f6a0190d1452486c3f50094c,0.6939279682934284,True,0.8969374090433121,RIM_ONE_r3,12.534050922840834,14.64812436606735,0.7245273556560278,0.7551267430186271,40,UNET_QUERY_128__RIM_ONE_r3__Q1,41dfa243f15b184d728c19422a9f23ddcb346de9
Q1,UNET_QUERY_128,cbb0c75ddf84ec590b362ad14e580c8177ae3b50d0f09b7158d5b840adb81cef,41dfa243f15b184d728c19422a9f23ddcb346de9,b3a8b9b95b9546b14ed007ab104b313ace54f4d5f6a0190d1452486c3f50094c,0.7653149688243865,True,0.9421655869483948,Drishti_GS,13.450882979668677,14.02380398940295,0.7381114926934242,0.7109080165624618,25,UNET_QUERY_128__Drishti_GS__Q1,41dfa243f15b184d728c19422a9f23ddcb346de9
Q1,DINOV2_VITS14_QUERY,e58c7105d92672f0e75c5c8cdeb0623390ed0c3766be6ed53b051511705cd4f8,41dfa243f15b184d728c19422a9f23ddcb346de9,b3a8b9b95b9546b14ed007ab104b313ace54f4d5f6a0190d1452486c3f50094c,0.7944389000535012,True,0.9539002507925034,RIM_ONE_r3,29.72079934552312,31.752596516162157,0.8189992975443602,0.8435596950352192,40,DINOV2_VITS14_QUERY__RIM_ONE_r3__Q1,41dfa243f15b184d728c19422a9f23ddcb346de9
Q1,DINOV2_VITS14_QUERY,0bb73085d02c374cea304f8bcb26977f4280a4256120ed82e5c0f3514754b0c4,41dfa243f15b184d728c19422a9f23ddcb346de9,b3a8b9b95b9546b14ed007ab104b313ace54f4d5f6a0190d1452486c3f50094c,0.864303218126297,True,0.9638171935081482,Drishti_GS,27.03175761271268,30.675227101892233,0.8564935630559921,0.8486839079856873,25,DINOV2_VITS14_QUERY__Drishti_GS__Q1,41dfa243f15b184d728c19422a9f23ddcb346de9
Q2,UNET_QUERY_128,62ebf0577dd3ae9a7ab546f7fb63fdd182d149f81222df5bcf807335764b02fa,41dfa243f15b184d728c19422a9f23ddcb346de9,b3a8b9b95b9546b14ed007ab104b313ace54f4d5f6a0190d1452486c3f50094c,0.6878330511040985,True,0.8913812272250652,RIM_ONE_r3,13.986968249082565,17.026093252934515,0.720985792344436,0.7541385335847736,40,UNET_QUERY_128__RIM_ONE_r3__Q2,41dfa243f15b184d728c19422a9f23ddcb346de9
Q2,UNET_QUERY_128,61d6fa2cd969633aee8695380bd82578d3274d2270c27cefe8a3b89e77b09fc4,41dfa243f15b184d728c19422a9f23ddcb346de9,b3a8b9b95b9546b14ed007ab104b313ace54f4d5f6a0190d1452486c3f50094c,0.7659735041856766,True,0.9383554196357727,Drishti_GS,7.687544240616262,7.719776057638228,0.7325903838872909,0.6992072635889053,25,UNET_QUERY_128__Drishti_GS__Q2,41dfa243f15b184d728c19422a9f23ddcb346de9
Q2,DINOV2_VITS14_QUERY,47473d452000c3ad637939e93d267b526c2d66dbc166fbe5fffb85b039d47e77,41dfa243f15b184d728c19422a9f23ddcb346de9,b3a8b9b95b9546b14ed007ab104b313ace54f4d5f6a0190d1452486c3f50094c,0.792957691848278,True,0.9541595727205276,RIM_ONE_r3,22.592142107896507,22.89096068125218,0.8183988306671381,0.8438399694859982,40,DINOV2_VITS14_QUERY__RIM_ONE_r3__Q2,41dfa243f15b184d728c19422a9f23ddcb346de9
Q2,DINOV2_VITS14_QUERY,75606ce1fdcdce151afc9d0450103bdfe0b76d340b9525bc1cd6c634d6a10d8f,41dfa243f15b184d728c19422a9f23ddcb346de9,b3a8b9b95b9546b14ed007ab104b313ace54f4d5f6a0190d1452486c3f50094c,0.8644190376996994,True,0.9639608955383301,Drishti_GS,29.666083748452365,31.10895436257124,0.8569172903895378,0.8494155430793762,25,DINOV2_VITS14_QUERY__Drishti_GS__Q2,41dfa243f15b184d728c19422a9f23ddcb346de9
Q4,UNET_QUERY_128,e8258056856ffe232be3ab66bc66f0be860c2e97d80a4b3084f5b9e526f37ac9,41dfa243f15b184d728c19422a9f23ddcb346de9,b3a8b9b95b9546b14ed007ab104b313ace54f4d5f6a0190d1452486c3f50094c,0.6934634257107973,True,0.8903646342456341,RIM_ONE_r3,11.957097589038312,14.143402990885079,0.7205089787021279,0.7475545316934585,40,UNET_QUERY_128__RIM_ONE_r3__Q4,41dfa243f15b184d728c19422a9f23ddcb346de9
Q4,UNET_QUERY_128,571f3254707949a2a2c3d99f58f6c370ee158c965fa48ae143e706a098c6dd38,41dfa243f15b184d728c19422a9f23ddcb346de9,b3a8b9b95b9546b14ed007ab104b313ace54f4d5f6a0190d1452486c3f50094c,0.7620388102531434,True,0.9394424557685852,Drishti_GS,12.361610867083073,14.961511758156123,0.7326891629397869,0.7033395156264305,25,UNET_QUERY_128__Drishti_GS__Q4,41dfa243f15b184d728c19422a9f23ddcb346de9
Q4,DINOV2_VITS14_QUERY,413d3b90dd69863e7bafbe65e2be3356df40375fb88aa0f03cf7f7027c720320,41dfa243f15b184d728c19422a9f23ddcb346de9,b3a8b9b95b9546b14ed007ab104b313ace54f4d5f6a0190d1452486c3f50094c,0.7944652654230595,True,0.9541952967643738,RIM_ONE_r3,22.961003938689828,23.094096011482193,0.8191460415720939,0.8438268177211284,40,DINOV2_VITS14_QUERY__RIM_ONE_r3__Q4,41dfa243f15b184d728c19422a9f23ddcb346de9
Q4,DINOV2_VITS14_QUERY,5af10afccd2ceb01d939eae1db7ecada200f6d4c98db441b48cb19099df5809e,41dfa243f15b184d728c19422a9f23ddcb346de9,b3a8b9b95b9546b14ed007ab104b313ace54f4d5f6a0190d1452486c3f50094c,0.8633848059177399,True,0.9639339160919189,Drishti_GS,22.15210807044059,22.19430822879076,0.8557886654138565,0.8481925249099731,25,DINOV2_VITS14_QUERY__Drishti_GS__Q4,41dfa243f15b184d728c19422a9f23ddcb346de9
