backbone,arm,domains,rim,cup,macro,disc_union
UNET_QUERY_128,D0,2,0.7298081327974796,0.7061912238597869,0.7179996783286333,0.9154000331024872
UNET_QUERY_128,Q0,2,0.7352141979709268,0.7264495416358113,0.7308318698033691,0.92090487472713
UNET_QUERY_128,Q1,2,0.7330173797905445,0.7296214685589075,0.7313194241747261,0.9195514979958535
UNET_QUERY_128,Q2,2,0.7266728985868394,0.7269032776448876,0.7267880881158635,0.9148683234304189
UNET_QUERY_128,Q3,2,0.7216077047400176,0.727564542517066,0.7245861236285418,0.9131020277738571
UNET_QUERY_128,Q4,2,0.7254470236599445,0.7277511179819703,0.7265990708209574,0.9149035450071097
DINOV2_VITS14_QUERY,D0,2,0.8513845968246461,0.8367046755552292,0.8440446361899376,0.9621868588030338
DINOV2_VITS14_QUERY,Q0,2,0.8445870834589004,0.8300799940526485,0.8373335387557745,0.9594219321012497
DINOV2_VITS14_QUERY,Q1,2,0.8461218015104532,0.829371059089899,0.8377464303001761,0.9588587221503257
DINOV2_VITS14_QUERY,Q2,2,0.8466277562826872,0.8286883647739887,0.8376580605283379,0.9590602341294289
DINOV2_VITS14_QUERY,Q3,2,0.8468100971728563,0.8288080352544784,0.8378090662136675,0.9591108401119709
DINOV2_VITS14_QUERY,Q4,2,0.8460096713155507,0.8289250356703997,0.8374673534929752,0.9590646064281463
