arm,backbone,checkpoint_bytes,code_commit,committed_updates,config_digest,data_schedule_digest,deployment_equal,domain,global_step,latency_ms_mean,latency_ms_p95,model_initialization_digest,peak_allocated,peak_reserved,status,task,trainable_parameters,training_seconds,updates_per_second
Q3,DINOV2_VITS14_QUERY,360397624,41dfa243f15b184d728c19422a9f23ddcb346de9,1000,b3a8b9b95b9546b14ed007ab104b313ace54f4d5f6a0190d1452486c3f50094c,c208ea5141f2b71772b5288cbb0d9fb1a867e70c5c134e6ce7961192b7a9eac4,True,RIM_ONE_r3,3000,22.341910703107715,22.429573629051447,190859844203f530e178165b42ed96c811144b0c1945d8b8e8306e68e468ab48,1411063808,1447034880,COMPLETED,DINOV2_VITS14_QUERY__RIM_ONE_r3__Q3,22505540,397.80725397728384,2.5137802038599917
Q3,DINOV2_VITS14_QUERY,360397624,41dfa243f15b184d728c19422a9f23ddcb346de9,1000,b3a8b9b95b9546b14ed007ab104b313ace54f4d5f6a0190d1452486c3f50094c,f0de6a35cdfcab3095a01a403be2c60d06f1af8101bb978bac059f61a9b6795f,True,Drishti_GS,3000,22.178089199587703,22.377727855928242,190859844203f530e178165b42ed96c811144b0c1945d8b8e8306e68e468ab48,1415300096,1447034880,COMPLETED,DINOV2_VITS14_QUERY__Drishti_GS__Q3,22505540,251.33816263219342,3.978703391189317
D0,UNET_QUERY_128,5873118,41dfa243f15b184d728c19422a9f23ddcb346de9,3000,b3a8b9b95b9546b14ed007ab104b313ace54f4d5f6a0190d1452486c3f50094c,c208ea5141f2b71772b5288cbb0d9fb1a867e70c5c134e6ce7961192b7a9eac4,True,RIM_ONE_r3,3000,7.666635583154857,8.218685071915388,9186ff15a7cd3f5b666535c4e8741ac1590e5037d389220609a7dade716d529a,480786944,555745280,COMPLETED,UNET_QUERY_128__RIM_ONE_r3__D0,483155,269.48485802998766,11.132350893222235
D0,UNET_QUERY_128,5873118,41dfa243f15b184d728c19422a9f23ddcb346de9,3000,b3a8b9b95b9546b14ed007ab104b313ace54f4d5f6a0190d1452486c3f50094c,f0de6a35cdfcab3095a01a403be2c60d06f1af8101bb978bac059f61a9b6795f,True,Drishti_GS,3000,6.152497371658683,8.521596458740532,9186ff15a7cd3f5b666535c4e8741ac1590e5037d389220609a7dade716d529a,482490880,555745280,COMPLETED,UNET_QUERY_128__Drishti_GS__D0,483155,269.7504399069585,11.121390575061715
D0,DINOV2_VITS14_QUERY,269637000,41dfa243f15b184d728c19422a9f23ddcb346de9,3000,b3a8b9b95b9546b14ed007ab104b313ace54f4d5f6a0190d1452486c3f50094c,c208ea5141f2b71772b5288cbb0d9fb1a867e70c5c134e6ce7961192b7a9eac4,True,RIM_ONE_r3,3000,21.352651715278625,21.881362609565258,190859844203f530e178165b42ed96c811144b0c1945d8b8e8306e68e468ab48,1298568704,1337982976,COMPLETED,DINOV2_VITS14_QUERY__RIM_ONE_r3__D0,22450499,550.0414278791286,5.454134630490503
D0,DINOV2_VITS14_QUERY,269637000,41dfa243f15b184d728c19422a9f23ddcb346de9,3000,b3a8b9b95b9546b14ed007ab104b313ace54f4d5f6a0190d1452486c3f50094c,f0de6a35cdfcab3095a01a403be2c60d06f1af8101bb978bac059f61a9b6795f,True,Drishti_GS,3000,21.205612178891897,21.53855476062745,190859844203f530e178165b42ed96c811144b0c1945d8b8e8306e68e468ab48,1303477760,1337982976,COMPLETED,DINOV2_VITS14_QUERY__Drishti_GS__D0,22450499,515.9057707353495,5.815015396559591
Q1,UNET_QUERY_128,8317410,41dfa243f15b184d728c19422a9f23ddcb346de9,1000,b3a8b9b95b9546b14ed007ab104b313ace54f4d5f6a0190d1452486c3f50094c,c208ea5141f2b71772b5288cbb0d9fb1a867e70c5c134e6ce7961192b7a9eac4,True,RIM_ONE_r3,3000,12.534050922840834,14.64812436606735,9186ff15a7cd3f5b666535c4e8741ac1590e5037d389220609a7dade716d529a,674635264,746586112,COMPLETED,UNET_QUERY_128__RIM_ONE_r3__Q1,685220,223.50597973261029,4.474153224877216
Q1,UNET_QUERY_128,8317410,41dfa243f15b184d728c19422a9f23ddcb346de9,1000,b3a8b9b95b9546b14ed007ab104b313ace54f4d5f6a0190d1452486c3f50094c,f0de6a35cdfcab3095a01a403be2c60d06f1af8101bb978bac059f61a9b6795f,True,Drishti_GS,3000,13.450882979668677,14.02380398940295,9186ff15a7cd3f5b666535c4e8741ac1590e5037d389220609a7dade716d529a,674635264,746586112,COMPLETED,UNET_QUERY_128__Drishti_GS__Q1,685220,191.4976329258643,5.221996662418988
Q1,DINOV2_VITS14_QUERY,270306156,41dfa243f15b184d728c19422a9f23ddcb346de9,1000,b3a8b9b95b9546b14ed007ab104b313ace54f4d5f6a0190d1452486c3f50094c,c208ea5141f2b71772b5288cbb0d9fb1a867e70c5c134e6ce7961192b7a9eac4,True,RIM_ONE_r3,3000,29.72079934552312,31.752596516162157,190859844203f530e178165b42ed96c811144b0c1945d8b8e8306e68e468ab48,1323041280,1350565888,COMPLETED,DINOV2_VITS14_QUERY__RIM_ONE_r3__Q1,22505540,290.6080785440281,3.44106056861904
Q1,DINOV2_VITS14_QUERY,270306156,41dfa243f15b184d728c19422a9f23ddcb346de9,1000,b3a8b9b95b9546b14ed007ab104b313ace54f4d5f6a0190d1452486c3f50094c,f0de6a35cdfcab3095a01a403be2c60d06f1af8101bb978bac059f61a9b6795f,True,Drishti_GS,3000,27.03175761271268,30.675227101892233,190859844203f530e178165b42ed96c811144b0c1945d8b8e8306e68e468ab48,1323710464,1350565888,COMPLETED,DINOV2_VITS14_QUERY__Drishti_GS__Q1,22505540,300.60223028529435,3.326655291449182
Q2,UNET_QUERY_128,11081888,41dfa243f15b184d728c19422a9f23ddcb346de9,1000,b3a8b9b95b9546b14ed007ab104b313ace54f4d5f6a0190d1452486c3f50094c,c208ea5141f2b71772b5288cbb0d9fb1a867e70c5c134e6ce7961192b7a9eac4,True,RIM_ONE_r3,3000,13.986968249082565,17.026093252934515,9186ff15a7cd3f5b666535c4e8741ac1590e5037d389220609a7dade716d529a,807065088,933232640,COMPLETED,UNET_QUERY_128__RIM_ONE_r3__Q2,685220,270.427344573196,3.6978509017949257
Q2,UNET_QUERY_128,11081888,41dfa243f15b184d728c19422a9f23ddcb346de9,1000,b3a8b9b95b9546b14ed007ab104b313ace54f4d5f6a0190d1452486c3f50094c,f0de6a35cdfcab3095a01a403be2c60d06f1af8101bb978bac059f61a9b6795f,True,Drishti_GS,3000,7.687544240616262,7.719776057638228,9186ff15a7cd3f5b666535c4e8741ac1590e5037d389220609a7dade716d529a,807065088,933232640,COMPLETED,UNET_QUERY_128__Drishti_GS__Q2,685220,132.7428531399928,7.533362259024096
Q2,DINOV2_VITS14_QUERY,360397624,41dfa243f15b184d728c19422a9f23ddcb346de9,1000,b3a8b9b95b9546b14ed007ab104b313ace54f4d5f6a0190d1452486c3f50094c,c208ea5141f2b71772b5288cbb0d9fb1a867e70c5c134e6ce7961192b7a9eac4,True,RIM_ONE_r3,3000,22.592142107896507,22.89096068125218,190859844203f530e178165b42ed96c811144b0c1945d8b8e8306e68e468ab48,1411063808,1447034880,COMPLETED,DINOV2_VITS14_QUERY__RIM_ONE_r3__Q2,22505540,223.7634462947026,4.469005177382604
Q2,DINOV2_VITS14_QUERY,360397624,41dfa243f15b184d728c19422a9f23ddcb346de9,1000,b3a8b9b95b9546b14ed007ab104b313ace54f4d5f6a0190d1452486c3f50094c,f0de6a35cdfcab3095a01a403be2c60d06f1af8101bb978bac059f61a9b6795f,True,Drishti_GS,3000,29.666083748452365,31.10895436257124,190859844203f530e178165b42ed96c811144b0c1945d8b8e8306e68e468ab48,1415300096,1447034880,COMPLETED,DINOV2_VITS14_QUERY__Drishti_GS__Q2,22505540,373.4922478599474,2.6774317425056204
Q4,UNET_QUERY_128,11081888,41dfa243f15b184d728c19422a9f23ddcb346de9,1000,b3a8b9b95b9546b14ed007ab104b313ace54f4d5f6a0190d1452486c3f50094c,c208ea5141f2b71772b5288cbb0d9fb1a867e70c5c134e6ce7961192b7a9eac4,True,RIM_ONE_r3,3000,11.957097589038312,14.143402990885079,9186ff15a7cd3f5b666535c4e8741ac1590e5037d389220609a7dade716d529a,807065088,933232640,COMPLETED,UNET_QUERY_128__RIM_ONE_r3__Q4,685220,275.8983917981386,3.6245227581161514
Q4,UNET_QUERY_128,11081888,41dfa243f15b184d728c19422a9f23ddcb346de9,1000,b3a8b9b95b9546b14ed007ab104b313ace54f4d5f6a0190d1452486c3f50094c,f0de6a35cdfcab3095a01a403be2c60d06f1af8101bb978bac059f61a9b6795f,True,Drishti_GS,3000,12.361610867083073,14.961511758156123,9186ff15a7cd3f5b666535c4e8741ac1590e5037d389220609a7dade716d529a,807065088,933232640,COMPLETED,UNET_QUERY_128__Drishti_GS__Q4,685220,263.92779519734904,3.788915067669403
Q4,DINOV2_VITS14_QUERY,360397624,41dfa243f15b184d728c19422a9f23ddcb346de9,1000,b3a8b9b95b9546b14ed007ab104b313ace54f4d5f6a0190d1452486c3f50094c,c208ea5141f2b71772b5288cbb0d9fb1a867e70c5c134e6ce7961192b7a9eac4,True,RIM_ONE_r3,3000,22.961003938689828,23.094096011482193,190859844203f530e178165b42ed96c811144b0c1945d8b8e8306e68e468ab48,1411066880,1447034880,COMPLETED,DINOV2_VITS14_QUERY__RIM_ONE_r3__Q4,22505540,238.2776495842263,4.196784724647539
Q4,DINOV2_VITS14_QUERY,360397624,41dfa243f15b184d728c19422a9f23ddcb346de9,1000,b3a8b9b95b9546b14ed007ab104b313ace54f4d5f6a0190d1452486c3f50094c,f0de6a35cdfcab3095a01a403be2c60d06f1af8101bb978bac059f61a9b6795f,True,Drishti_GS,3000,22.15210807044059,22.19430822879076,190859844203f530e178165b42ed96c811144b0c1945d8b8e8306e68e468ab48,1415303168,1447034880,COMPLETED,DINOV2_VITS14_QUERY__Drishti_GS__Q4,22505540,375.40945864701644,2.6637581365265035
