seed,memory_source,source_site,source_site_index,later_site,later_site_index,class_id,source_model_self_cosine,later_model_static_cosine,cosine_degradation
2,labeled,REFUGE,0,RIM_ONE_r3,1,1,0.999113917350769,0.6664139032363892,0.3327000141143799
2,labeled,REFUGE,0,RIM_ONE_r3,1,2,0.991702675819397,0.38973164558410645,0.6019710302352905
2,labeled,REFUGE,0,Drishti_GS,2,1,0.999113917350769,-0.3168327212333679,1.315946638584137
2,labeled,REFUGE,0,Drishti_GS,2,2,0.991702675819397,-0.1502920538187027,1.1419947296380997
2,labeled,RIM_ONE_r3,1,Drishti_GS,2,1,0.9866771101951599,-0.6215704679489136,1.6082475781440735
2,labeled,RIM_ONE_r3,1,Drishti_GS,2,2,0.9059575796127319,-0.44735586643218994,1.3533134460449219
2,combined,REFUGE,0,RIM_ONE_r3,1,1,0.9981520175933838,0.6557232737541199,0.3424287438392639
2,combined,REFUGE,0,RIM_ONE_r3,1,2,0.9874855875968933,0.36852362751960754,0.6189619600772858
2,combined,REFUGE,0,Drishti_GS,2,1,0.9981520175933838,-0.2971881330013275,1.2953401505947113
2,combined,REFUGE,0,Drishti_GS,2,2,0.9874855875968933,-0.12822744250297546,1.1157130300998688
2,combined,RIM_ONE_r3,1,Drishti_GS,2,1,0.9893649220466614,-0.62947678565979,1.6188417077064514
2,combined,RIM_ONE_r3,1,Drishti_GS,2,2,0.9084351658821106,-0.4472751319408417,1.3557102978229523
