seed,domain,arm,reference,background_dice_delta,rim_dice_delta,cup_dice_delta,macro_fg_dice_delta
11,RIM_ONE_r3,MT_CONF_G0,SUP_G0,-7.709152468238223e-05,-0.001259600308481157,0.004553621752672488,0.0016470107220957209
11,Drishti_GS,MT_CONF_G0,SUP_G0,-0.0020076686122975085,-0.018525796090674063,-0.0010564202814348223,-0.009791108186054664
11,RIM_ONE_r3,MT_CONF_G1,SUP_G1,-0.001969913937576062,-0.003292357442173821,-0.0038035783383731925,-0.0035479678902734513
11,Drishti_GS,MT_CONF_G1,SUP_G1,0.0014355501978545737,-0.010012069401943657,-0.006622036150940147,-0.008317052776441902
11,RIM_ONE_r3,MT_PAS_G0,SUP_G0,-0.00020345013795941558,-0.00011231058350913425,0.0073302588289617665,0.003608974122726538
11,Drishti_GS,MT_PAS_G0,SUP_G0,-0.0018769350152193498,-0.017286358419820513,0.015993945405707866,-0.0006462065070563794
11,RIM_ONE_r3,MT_PAS_G1,SUP_G1,-8.803906408860751e-05,0.00435392295040804,-0.0018446818707656965,0.0012546205398212829
11,Drishti_GS,MT_PAS_G1,SUP_G1,0.0016974085214215284,0.02340930487268522,0.0019499962996274434,0.012679650586156277
11,RIM_ONE_r3,MT_PAS_G0,MT_CONF_G0,-0.00012635861327703335,0.0011472897249720226,0.002776637076289279,0.0019619634006308173
11,Drishti_GS,MT_PAS_G0,MT_CONF_G0,0.00013073359707815868,0.0012394376708535493,0.017050365687142688,0.009144901678998285
11,RIM_ONE_r3,MT_PAS_G1,MT_CONF_G1,0.0018818748734874546,0.007646280392581861,0.001958896467607496,0.004802588430094734
11,Drishti_GS,MT_PAS_G1,MT_CONF_G1,0.0002618583235669547,0.03342137427462888,0.00857203245056759,0.02099670336259818
11,RIM_ONE_r3,SUP_G1,SUP_G0,-0.0012700334560641346,-0.021456639433836466,0.012005864556449697,-0.00472538743869344
11,Drishti_GS,SUP_G1,SUP_G0,0.0006962527287163178,0.013130920811652014,0.03361484316750285,0.023372881989577543
11,RIM_ONE_r3,MT_CONF_G1,MT_CONF_G0,-0.0031628558689578146,-0.02348939656752913,0.003648664465404017,-0.009920366051062612
11,Drishti_GS,MT_CONF_G1,MT_CONF_G0,0.0041394715388684,0.02164464750038242,0.028049227297997525,0.024846937399190305
11,RIM_ONE_r3,MT_PAS_G1,MT_PAS_G0,-0.0011546223821933266,-0.016990405899919292,0.002830923856722234,-0.0070797410215986956
11,Drishti_GS,MT_PAS_G1,MT_PAS_G0,0.004270596265357196,0.05382658410415775,0.019570894061422428,0.0366987390827902
