epoch,domain,arm,seed,model,n_cases,n_evaluable,background_dice,rim_dice,cup_dice,macro_fg_dice,evaluable_only_background_dice,evaluable_only_rim_dice,evaluable_only_cup_dice,evaluable_only_macro_fg_dice
100,Drishti_GS,MT_CONF_G0,11,student,25,25,0.9839323428081385,0.637508880003852,0.7175434555904512,0.6775261677971514,0.9839323428081385,0.637508880003852,0.7175434555904512,0.6775261677971514
100,Drishti_GS,MT_CONF_G1,11,student,25,25,0.9880718143470069,0.6591535275042344,0.7455926828884487,0.7023731051963417,0.9880718143470069,0.6591535275042344,0.7455926828884487,0.7023731051963417
100,Drishti_GS,MT_PAS_G0,11,student,25,25,0.9840630764052166,0.6387483176747055,0.7345938212775939,0.6866710694761496,0.9840630764052166,0.6387483176747055,0.7345938212775939,0.6866710694761496
100,Drishti_GS,MT_PAS_G1,11,student,25,25,0.9883336726705738,0.6925749017788633,0.7541647153390163,0.7233698085589398,0.9883336726705738,0.6925749017788633,0.7541647153390163,0.7233698085589398
100,Drishti_GS,SUP_G0,11,student,25,25,0.985940011420436,0.656034676094526,0.718599875871886,0.687317275983206,0.985940011420436,0.656034676094526,0.718599875871886,0.687317275983206
100,Drishti_GS,SUP_G1,11,student,25,25,0.9866362641491523,0.669165596906178,0.7522147190393889,0.7106901579727836,0.9866362641491523,0.669165596906178,0.7522147190393889,0.7106901579727836
100,RIM_ONE_r3,MT_CONF_G0,11,student,40,40,0.9897788441196012,0.7466548929530805,0.6661677955311749,0.7064113442421277,0.9897788441196012,0.7466548929530805,0.6661677955311749,0.7064113442421277
100,RIM_ONE_r3,MT_CONF_G1,11,student,40,40,0.9866159882506433,0.7231654963855514,0.6698164599965789,0.6964909781910651,0.9866159882506433,0.7231654963855514,0.6698164599965789,0.6964909781910651
100,RIM_ONE_r3,MT_PAS_G0,11,student,40,40,0.9896524855063241,0.7478021826780525,0.6689444326074642,0.7083733076427585,0.9896524855063241,0.7478021826780525,0.6689444326074642,0.7083733076427585
100,RIM_ONE_r3,MT_PAS_G1,11,student,40,40,0.9884978631241308,0.7308117767781332,0.6717753564641864,0.7012935666211598,0.9884978631241308,0.7308117767781332,0.6717753564641864,0.7012935666211598
100,RIM_ONE_r3,SUP_G0,11,student,40,40,0.9898559356442835,0.7479144932615617,0.6616141737785024,0.704764333520032,0.9898559356442835,0.7479144932615617,0.6616141737785024,0.704764333520032
100,RIM_ONE_r3,SUP_G1,11,student,40,40,0.9885859021882194,0.7264578538277252,0.6736200383349521,0.7000389460813385,0.9885859021882194,0.7264578538277252,0.6736200383349521,0.7000389460813385
