epoch,domain,arm,seed,model,n_cases,n_evaluable,background_dice,rim_dice,cup_dice,macro_fg_dice,evaluable_only_background_dice,evaluable_only_rim_dice,evaluable_only_cup_dice,evaluable_only_macro_fg_dice
20,Drishti_GS,MT_CONF_G0,11,student,25,25,0.9863442848980073,0.642551097044278,0.7392846667452068,0.6909178818947425,0.9863442848980073,0.642551097044278,0.7392846667452068,0.6909178818947425
20,Drishti_GS,MT_CONF_G0,11,ema,25,25,0.9878202762170999,0.6746792589382277,0.7458205168267193,0.7102498878824737,0.9878202762170999,0.6746792589382277,0.7458205168267193,0.7102498878824737
40,Drishti_GS,MT_CONF_G0,11,student,25,25,0.9869247623816535,0.6464687829038838,0.6454149110682051,0.6459418469860445,0.9869247623816535,0.6464687829038838,0.6454149110682051,0.6459418469860445
40,Drishti_GS,MT_CONF_G0,11,ema,25,25,0.9877661367370857,0.6564998658931297,0.7444412961448166,0.7004705810189732,0.9877661367370857,0.6564998658931297,0.7444412961448166,0.7004705810189732
60,Drishti_GS,MT_CONF_G0,11,student,25,25,0.987398534142675,0.6409278739074626,0.7380683130288463,0.6894980934681544,0.987398534142675,0.6409278739074626,0.7380683130288463,0.6894980934681544
60,Drishti_GS,MT_CONF_G0,11,ema,25,25,0.98691053386538,0.6535152076806124,0.7375315764189244,0.6955233920497684,0.98691053386538,0.6535152076806124,0.7375315764189244,0.6955233920497684
80,Drishti_GS,MT_CONF_G0,11,student,25,25,0.986269353746024,0.6625480984199515,0.7265340636703893,0.6945410810451704,0.986269353746024,0.6625480984199515,0.7265340636703893,0.6945410810451704
80,Drishti_GS,MT_CONF_G0,11,ema,25,25,0.9858621809274435,0.6523122589975978,0.7355045275570273,0.6939083932773126,0.9858621809274435,0.6523122589975978,0.7355045275570273,0.6939083932773126
100,Drishti_GS,MT_CONF_G0,11,student,25,25,0.9839323428081385,0.637508880003852,0.7175434555904512,0.6775261677971514,0.9839323428081385,0.637508880003852,0.7175434555904512,0.6775261677971514
100,Drishti_GS,MT_CONF_G0,11,ema,25,25,0.9842233580130759,0.6396987814713527,0.720294133903689,0.6799964576875209,0.9842233580130759,0.6396987814713527,0.720294133903689,0.6799964576875209
20,Drishti_GS,MT_CONF_G1,11,student,25,25,0.9887340528104239,0.7115811925754311,0.5877602577937517,0.6496707251845913,0.9887340528104239,0.7115811925754311,0.5877602577937517,0.6496707251845913
20,Drishti_GS,MT_CONF_G1,11,ema,25,25,0.9885230323835382,0.7207367443152232,0.738845526317932,0.7297911353165777,0.9885230323835382,0.7207367443152232,0.738845526317932,0.7297911353165777
40,Drishti_GS,MT_CONF_G1,11,student,25,25,0.9883450521759488,0.6899001326987545,0.7521308383462858,0.7210154855225203,0.9883450521759488,0.6899001326987545,0.7521308383462858,0.7210154855225203
40,Drishti_GS,MT_CONF_G1,11,ema,25,25,0.9888482714378456,0.7231938256354293,0.7340404824753332,0.7286171540553811,0.9888482714378456,0.7231938256354293,0.7340404824753332,0.7286171540553811
60,Drishti_GS,MT_CONF_G1,11,student,25,25,0.9866100204032837,0.6627367597643602,0.754474442023355,0.7086056008938576,0.9866100204032837,0.6627367597643602,0.754474442023355,0.7086056008938576
60,Drishti_GS,MT_CONF_G1,11,ema,25,25,0.9877933405395646,0.6591487983363165,0.7487740738207777,0.7039614360785471,0.9877933405395646,0.6591487983363165,0.7487740738207777,0.7039614360785471
80,Drishti_GS,MT_CONF_G1,11,student,25,25,0.9876701092772011,0.6627785713084927,0.750128720575645,0.7064536459420688,0.9876701092772011,0.6627785713084927,0.750128720575645,0.7064536459420688
80,Drishti_GS,MT_CONF_G1,11,ema,25,25,0.9884176995159051,0.6579497339835225,0.745582556325016,0.7017661451542694,0.9884176995159051,0.6579497339835225,0.745582556325016,0.7017661451542694
100,Drishti_GS,MT_CONF_G1,11,student,25,25,0.9880718143470069,0.6591535275042344,0.7455926828884487,0.7023731051963417,0.9880718143470069,0.6591535275042344,0.7455926828884487,0.7023731051963417
100,Drishti_GS,MT_CONF_G1,11,ema,25,25,0.9881468072861647,0.6623013519385019,0.7460423778848626,0.7041718649116823,0.9881468072861647,0.6623013519385019,0.7460423778848626,0.7041718649116823
